timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764191326.5319633,20,47,104,19,17,22,16,20,6652,-14006,3186,-4227,610,-1727,-1159,5,5,-3
1764191326.550772,21,47,100,18,17,19,16,20,6652,-14006,3186,-4227,608,-1724,-1155,1,4,-3
1764191326.565962,20,44,88,18,18,20,17,20,6652,-14006,3186,-4227,608,-1732,-1160,-8,3,-3
1764191326.59565,21,27,46,21,47,27,25,23,6652,-14006,3187,-4227,612,-1734,-1166,-15,3,-3
1764191326.6109955,23,22,38,27,89,57,48,29,6648,-14008,3188,-4225,620,-1731,-1165,-34,-5,4
1764191326.624866,27,23,32,37,168,89,90,35,6627,-14020,3192,-4215,621,-1687,-1172,-131,-36,9
1764191326.6483817,31,25,30,42,184,105,101,45,6582,-14046,3199,-4194,665,-1688,-1163,-313,-95,11
1764191326.671132,42,28,29,45,203,150,130,67,6494,-14090,3222,-4167,739,-1771,-1217,-602,-80,41
1764191326.685097,52,33,30,55,214,237,180,83,6433,-14121,3252,-4131,765,-2027,-1239,-544,-132,123
1764191326.7083478,73,38,32,65,326,407,265,112,6455,-14125,3281,-4062,624,-2206,-1092,-240,-334,257
1764191326.7306552,78,39,31,64,356,448,306,133,6546,-14109,3296,-3957,698,-2250,-1244,171,-599,430
1764191326.7455196,90,43,32,63,360,455,314,140,6723,-14074,3260,-3812,727,-2251,-1469,774,-965,457
1764191326.7682579,92,40,33,64,359,486,350,146,6995,-14016,3174,-3605,486,-2532,-1517,1254,-1385,406
1764191326.7911308,90,40,34,57,358,472,340,147,7291,-13958,3066,-3327,142,-2615,-1488,1370,-1814,523
1764191326.8053632,75,36,32,151,262,363,290,129,7581,-13909,2971,-2948,-267,-2627,-1453,1206,-2242,791
1764191326.8284712,72,35,39,198,276,320,240,106,7865,-13855,2913,-2479,-659,-2891,-1373,1038,-2553,1167
1764191326.8507733,53,27,39,223,345,322,230,94,8189,-13760,2887,-1920,-1027,-3045,-1252,1213,-2891,1621
1764191326.8650718,41,27,39,240,422,270,149,69,8564,-13605,2870,-1335,-1257,-3007,-935,1567,-2998,1820
1764191326.8879783,33,22,39,248,578,256,125,52,8956,-13398,2855,-762,-1279,-2982,-833,1819,-2939,1879
1764191326.9112651,35,32,57,282,610,224,89,44,9360,-13134,2877,-225,-1256,-2971,-617,2067,-2676,2018
1764191326.9250786,33,42,116,282,638,215,73,43,9768,-12813,2965,257,-1123,-2743,-504,2332,-2231,2234
1764191326.9487245,40,180,236,275,722,220,67,50,10159,-12460,3089,660,-1011,-2534,-470,2473,-1766,2186
1764191326.9706972,90,250,248,321,764,215,70,94,10506,-12114,3217,981,-1053,-2394,-499,2376,-1367,1923
1764191326.9848764,92,265,289,331,685,187,57,97,10834,-11766,3336,1218,-962,-2399,-683,2434,-1049,1620
1764191327.008591,91,272,315,267,693,187,56,98,11145,-11416,3455,1402,-756,-2266,-784,2469,-836,1459
1764191327.0309215,94,274,328,261,673,210,58,101,11442,-11060,3588,1522,-664,-2035,-644,2508,-519,1293
1764191327.0450063,94,213,269,331,615,192,54,99,11704,-10732,3713,1577,-648,-1782,-535,2343,-248,977
1764191327.0682256,52,174,337,351,547,175,52,62,11931,-10446,3813,1552,-665,-1526,-465,2135,11,522
1764191327.0909548,48,159,325,379,581,175,54,59,12134,-10204,3875,1433,-541,-1521,-490,1983,245,-26
1764191327.1135921,63,169,325,381,551,175,59,85,12330,-9978,3914,1235,-304,-1453,-445,1978,446,-433
1764191327.1364248,71,185,326,401,553,130,62,92,12508,-9771,3942,985,-157,-1305,-472,1910,610,-696
1764191327.158134,72,193,319,360,569,136,64,89,12657,-9599,3945,714,26,-1351,-415,1685,638,-890
1764191327.1730688,74,154,239,300,570,139,71,90,12758,-9496,3912,419,86,-1417,-234,1444,613,-920
1764191327.1883955,79,154,241,337,543,148,76,90,12849,-9398,3871,136,114,-1408,-110,1328,586,-905
1764191327.2107038,68,150,227,369,570,140,72,67,12941,-9291,3823,-147,-39,-1536,29,1330,567,-976
1764191327.2335062,57,140,185,381,542,155,70,52,13055,-9142,3772,-432,-31,-1512,93,1575,539,-961
1764191327.2483134,50,132,191,392,476,168,80,57,13186,-8949,3745,-672,-30,-1279,125,1618,493,-832
1764191327.272713,46,128,188,477,459,168,69,50,13321,-8733,3681,-1073,-183,-1267,395,803,413,-701
1764191327.2924645,37,126,145,424,408,161,63,42,13356,-8667,3658,-1250,-220,-1420,502,655,442,-664
1764191327.3101966,33,101,101,411,366,159,64,40,13387,-8599,3646,-1410,-202,-1456,585,599,456,-548
1764191327.332514,33,77,103,456,372,146,60,43,13409,-8540,3651,-1539,-274,-1410,633,460,443,-422
1764191327.3525472,35,64,78,448,331,119,50,38,13415,-8502,3667,-1651,-360,-1468,684,275,439,-383
1764191327.3706715,35,59,74,357,349,117,56,39,13408,-8484,3685,-1756,-405,-1494,727,124,427,-396
1764191327.3929331,35,47,76,362,368,115,55,41,13397,-8474,3697,-1862,-357,-1448,730,67,409,-422
1764191327.4126182,37,40,77,366,396,110,54,40,13369,-8486,3719,-1967,-420,-1610,748,-66,451,-441
1764191327.4348743,35,33,64,255,397,117,52,36,13340,-8493,3742,-2082,-468,-1724,769,-26,481,-489
1764191327.4525654,42,151,85,233,413,102,45,34,13321,-8484,3763,-2205,-443,-1724,749,94,492,-503
1764191327.472453,44,162,91,252,381,105,48,34,13297,-8481,3785,-2312,-449,-1735,763,24,452,-438
1764191327.4900854,47,165,99,292,370,110,56,41,13272,-8487,3807,-2399,-398,-1719,791,-59,398,-348
1764191327.5131497,47,169,107,296,320,110,56,42,13227,-8519,3840,-2479,-381,-1802,743,-229,433,-317
1764191327.5323272,46,170,109,302,270,102,58,42,13182,-8554,3882,-2537,-460,-2026,805,-271,396,-208
1764191327.5503714,39,89,100,325,289,238,119,58,13170,-8547,3891,-2603,-293,-1815,867,-17,305,-203
1764191327.5729816,41,68,130,360,308,244,122,60,13142,-8568,3892,-2675,-198,-1698,801,-170,287,-279
1764191327.5923462,46,64,181,456,290,246,121,56,13120,-8578,3905,-2735,-271,-1841,873,-136,305,-192
1764191327.6102185,51,53,189,471,298,317,192,79,13100,-8584,3917,-2790,-260,-1956,773,-55,270,-150
1764191327.6402595,56,59,215,485,374,358,235,98,13099,-8562,3921,-2854,-369,-1835,734,149,244,-230
1764191327.6522105,57,53,221,491,406,419,257,105,13084,-8557,3929,-2929,-377,-1855,659,83,278,-308
1764191327.6700852,57,61,244,477,428,479,270,108,13048,-8587,3959,-2962,-491,-1905,493,-123,214,-184
1764191327.6927216,69,61,241,474,481,514,303,125,13014,-8625,3985,-2965,-540,-2090,402,-123,73,-73
1764191327.7130497,70,62,256,447,599,497,273,114,12993,-8652,4004,-2954,-523,-1895,466,-118,15,-12
1764191327.7349014,76,62,245,447,602,562,285,132,12967,-8675,4027,-2968,-446,-1750,508,-134,131,-87
1764191327.7527359,75,65,272,506,571,486,251,121,12929,-8709,4062,-2987,-488,-1783,532,-237,203,-126
1764191327.772755,76,59,243,496,572,463,247,121,12883,-8754,4103,-2999,-528,-1827,552,-346,204,-111
