timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764191827.7360692,92,310,334,1221,513,106,66,53,7424,-14030,-1375,3820,-301,-1458,-869,425,508,-66
1764191827.758251,95,402,367,1255,530,111,68,58,7501,-14032,-1367,3661,-216,-1474,-888,308,723,-314
1764191827.781105,106,417,440,1286,515,129,80,71,7551,-14054,-1385,3464,-115,-1493,-874,68,844,-461
1764191827.7953994,109,427,462,1326,543,124,86,83,7574,-14089,-1420,3249,-105,-1666,-941,-142,890,-544
1764191827.8180578,116,478,534,1347,608,144,94,92,7618,-14108,-1462,3037,-51,-1686,-942,-19,844,-599
1764191827.8410487,117,443,518,1306,630,143,97,95,7677,-14114,-1523,2821,48,-1626,-903,68,798,-702
1764191827.855443,123,406,543,1280,702,161,116,104,7738,-14111,-1590,2631,-63,-1764,-1070,146,677,-730
1764191827.8786268,157,448,522,1280,783,178,120,109,7830,-14079,-1643,2491,-159,-1989,-1133,392,495,-622
1764191827.9011755,193,643,523,1274,744,180,119,108,7939,-14033,-1678,2383,-202,-1796,-1135,609,408,-525
1764191827.9154415,230,611,447,1256,695,173,113,101,8019,-14005,-1700,2264,-140,-1573,-1132,496,483,-459
1764191827.9382334,236,661,466,1267,663,170,109,98,8026,-14020,-1723,2120,-30,-1538,-1153,29,577,-416
1764191827.9613638,284,693,474,1258,556,150,89,109,8020,-14042,-1740,1983,41,-1934,-1017,-221,550,-309
1764191827.975499,300,706,440,1126,418,118,73,120,8034,-14046,-1744,1886,57,-1937,-1028,-41,399,-164
1764191827.9983652,303,567,558,1131,463,125,80,124,8024,-14058,-1744,1839,43,-1848,-1064,-106,165,-6
1764191828.0213506,271,557,648,1148,450,120,77,125,7973,-14089,-1740,1834,-49,-1780,-1093,-303,-23,119
1764191828.0353518,270,531,649,1106,430,123,77,126,7950,-14098,-1737,1862,-45,-2054,-1013,-205,-170,193
1764191828.0586324,215,460,621,1068,442,120,76,107,7965,-14083,-1725,1919,-127,-1859,-902,70,-259,237
1764191828.0810678,165,416,624,1164,458,115,77,80,7967,-14078,-1718,1960,-94,-1609,-832,2,-205,186
1764191828.0952973,107,364,490,1093,409,99,61,62,7967,-14077,-1728,1957,-65,-1659,-868,-47,-41,5
1764191828.1185744,98,325,338,997,450,89,53,55,7991,-14064,-1746,1936,-109,-1826,-934,68,34,-118
1764191828.1410773,74,228,293,917,414,79,52,52,8014,-14051,-1762,1916,-142,-1681,-930,106,45,-135
1764191828.155238,71,211,228,897,395,76,54,62,8014,-14052,-1781,1892,-145,-1765,-907,-79,56,-137
1764191828.1786733,54,131,173,770,387,108,82,78,8014,-14052,-1800,1876,-104,-1821,-991,-48,7,-97
1764191828.2022786,57,108,129,629,413,136,102,84,8012,-14051,-1815,1879,-136,-1830,-1010,-31,-69,-38
1764191828.2169766,72,98,118,568,358,138,104,85,8007,-14050,-1830,1892,-154,-1764,-965,-45,-113,-18
1764191828.2381225,70,89,107,631,358,153,106,84,8002,-14050,-1844,1900,-99,-1752,-907,-72,-100,-5
1764191828.2609842,100,248,211,638,366,245,142,100,8006,-14045,-1853,1908,-111,-1789,-968,2,-79,8
1764191828.2836087,113,309,239,710,339,246,135,109,8006,-14041,-1856,1932,-317,-1759,-1059,47,-95,-14
1764191828.2985523,118,343,312,792,321,255,124,110,8024,-14026,-1867,1961,-215,-2076,-909,11,-154,7
1764191828.3207982,144,345,340,800,327,276,132,122,8083,-13991,-1842,1991,-25,-2010,-811,265,-104,236
1764191828.3433096,164,381,529,799,382,295,138,121,8092,-13987,-1796,2023,-211,-1529,-954,156,-16,285
1764191828.3581023,451,345,669,777,392,259,129,203,8019,-14034,-1760,2024,-235,-1749,-999,-450,84,242
1764191828.3810418,507,315,730,662,533,315,179,237,7997,-14051,-1728,2022,-187,-2138,-991,-241,86,215
1764191828.4036462,515,379,871,565,567,312,196,236,7976,-14066,-1673,2044,-187,-1955,-1093,-102,23,381
1764191828.418787,512,394,1006,543,656,320,199,237,7918,-14096,-1617,2101,-551,-1716,-1354,-124,-74,345
1764191828.4413934,521,358,1009,406,740,433,247,247,7807,-14155,-1567,2160,-380,-1797,-1230,-558,-154,469
1764191828.4634168,314,319,936,273,861,487,235,252,7757,-14182,-1495,2213,-398,-2042,-1139,-281,-49,518
1764191828.4782875,213,293,894,276,940,472,195,220,7715,-14201,-1411,2290,-704,-2003,-1228,-156,-69,505
1764191828.5008388,217,165,801,290,952,470,182,246,7711,-14197,-1327,2383,-742,-2380,-1227,-8,-146,540
1764191828.5236335,242,118,628,259,907,473,186,409,7765,-14154,-1230,2511,-874,-2103,-1171,474,-256,562
1764191828.5374603,250,117,481,240,931,383,112,462,7801,-14117,-1152,2638,-884,-1953,-1299,463,-331,486
1764191828.5609317,255,113,451,259,917,411,153,451,7842,-14075,-1082,2770,-896,-2108,-1263,450,-388,480
1764191828.5823174,258,121,453,241,800,431,202,469,7955,-13957,-919,3084,-995,-1815,-1051,550,-493,554
1764191828.6056864,240,88,366,218,773,453,218,458,7984,-13914,-852,3220,-1037,-1778,-1006,402,-402,437
1764191828.6231935,206,80,364,238,932,450,211,325,7993,-13888,-798,3324,-1031,-1964,-960,172,-279,364
1764191828.642818,154,79,356,241,883,433,210,238,8062,-13826,-758,3422,-1141,-2041,-894,503,-287,171
1764191828.6681757,109,72,307,219,808,341,185,182,8189,-13735,-723,3495,-986,-2005,-971,919,-270,76
1764191828.6830728,83,69,280,222,810,304,130,131,8285,-13658,-702,3570,-1014,-1688,-973,806,-313,-10
1764191828.7024918,70,136,230,321,807,272,95,121,8378,-13587,-724,3623,-901,-1851,-993,708,-362,-188
1764191828.7253911,70,162,195,458,613,255,87,97,8517,-13479,-763,3690,-896,-1734,-984,1056,-517,-310
1764191828.7431362,72,180,308,520,514,263,81,89,8650,-13373,-815,3757,-917,-1620,-934,1027,-556,-398
1764191828.7626855,74,183,450,524,474,294,75,91,8772,-13280,-883,3789,-749,-1461,-748,865,-428,-511
1764191828.7857249,89,187,562,544,435,290,74,115,8865,-13219,-945,3772,-651,-1348,-789,678,-190,-565
1764191828.8031971,93,147,582,490,493,291,72,122,8929,-13184,-1012,3724,-573,-1634,-574,309,-6,-559
1764191828.8224013,78,121,644,369,674,314,72,117,9020,-13141,-1075,3637,-431,-1676,-518,413,164,-632
1764191828.8454635,80,94,608,292,691,309,72,125,9093,-13117,-1129,3523,-335,-1674,-513,288,322,-619
1764191828.863104,82,97,565,281,679,264,68,149,9161,-13102,-1173,3387,-284,-1760,-473,207,458,-611
1764191828.8828244,75,84,476,245,690,291,77,136,9219,-13095,-1218,3236,-295,-1879,-530,137,528,-653
1764191828.9052842,72,79,481,257,733,286,75,129,9276,-13090,-1261,3076,-185,-1895,-570,150,563,-633
1764191828.9229448,70,71,398,246,546,261,72,129,9322,-13087,-1284,2936,-243,-1899,-642,163,533,-518
