timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1762810865.7732575,23,20,18,21,24,22,18,18,11397,-10960,-12,-4293,726,-1944,224,2,0,-1
1762810865.7957096,20,19,22,22,25,22,17,20,11397,-10960,-12,-4293,728,-1938,230,5,-2,1
1762810865.811133,20,19,22,21,23,21,19,21,11397,-10960,-12,-4293,727,-1940,217,2,-4,0
1762810865.83307,20,21,22,22,24,20,18,21,11397,-10960,-12,-4293,735,-1932,221,3,-3,-4
1762810865.8559775,20,17,20,23,21,20,18,21,11397,-10960,-12,-4293,727,-1934,213,1,-1,-6
1762810865.8710494,19,19,22,21,20,19,19,20,11397,-10960,-12,-4293,737,-1943,209,1,-3,-8
1762810865.8930569,19,20,19,22,19,19,18,17,11397,-10960,-12,-4293,734,-1938,210,4,-3,-8
1762810865.9157267,19,20,20,23,20,19,17,17,11396,-10961,-15,-4293,732,-1957,216,2,-11,-17
1762810865.9305174,18,19,23,22,23,20,18,17,11396,-10960,-21,-4294,747,-1960,225,12,-17,-25
1762810865.9535058,18,19,23,20,23,19,17,17,11398,-10957,-28,-4295,737,-1963,246,16,-27,-34
1762810865.9756067,17,19,22,20,24,19,16,17,11401,-10955,-38,-4296,729,-1964,239,24,-37,-47
1762810865.990786,18,21,21,18,25,20,16,19,11403,-10952,-52,-4297,737,-1944,252,27,-50,-54
1762810866.0132504,18,20,19,17,26,19,17,18,11406,-10948,-67,-4298,731,-1936,251,31,-60,-63
1762810866.0437553,18,20,16,18,23,17,17,17,11409,-10945,-85,-4298,734,-1935,235,45,-67,-65
1762810866.0508473,17,20,18,19,23,18,17,19,11414,-10941,-103,-4296,736,-1929,223,59,-71,-63
1762810866.0736363,18,19,19,19,24,17,15,19,11418,-10936,-121,-4295,734,-1927,227,62,-67,-62
1762810866.096056,16,16,18,20,24,19,13,18,11421,-10934,-137,-4293,746,-1930,199,54,-63,-57
1762810866.1109126,16,16,21,21,24,19,14,19,11422,-10932,-153,-4293,754,-1920,197,50,-56,-56
1762810866.1334202,17,15,21,22,25,23,15,20,11423,-10931,-168,-4293,757,-1918,193,46,-51,-52
1762810866.1554887,18,17,25,21,59,106,36,21,11423,-10931,-182,-4293,766,-1912,199,33,-48,-48
1762810866.1707957,19,17,80,81,138,301,175,26,11408,-10948,-200,-4291,792,-1918,165,-65,-90,-61
1762810866.1934946,32,32,225,171,378,541,462,55,11345,-11018,-238,-4275,850,-1860,357,-539,-341,-116
1762810866.215655,37,41,238,208,488,681,690,83,11124,-11243,-195,-4273,1149,-1568,496,-1812,-204,-70
1762810866.2395198,46,51,256,226,544,953,841,98,10848,-11521,-132,-4243,1243,-1612,132,-2223,-307,44
1762810866.2530062,48,56,312,546,571,1029,905,102,10637,-11774,56,-4083,1115,-3326,84,-2060,-317,1023
1762810866.2758029,49,61,375,636,605,1018,895,104,10672,-11844,238,-3768,450,-3952,14,-479,-721,1462
1762810866.2908335,44,57,394,684,541,938,793,92,10916,-11712,368,-3460,135,-3548,235,1236,-636,1861
1762810866.3134973,43,56,392,690,455,855,610,69,11227,-11498,617,-3133,-181,-2666,565,1634,-182,2508
1762810866.335891,38,97,449,752,412,544,381,48,11451,-11331,992,-2816,-479,-2274,763,963,307,2852
1762810866.3507738,48,104,434,580,377,372,192,38,11597,-11207,1417,-2522,-521,-2480,829,445,578,2881
1762810866.3734577,80,152,484,566,299,293,165,34,11763,-11024,1823,-2283,-389,-2533,751,818,762,2668
1762810866.3958385,234,309,523,582,205,199,131,47,11983,-10742,2208,-2141,-271,-2298,553,1528,1094,2344
1762810866.4108474,407,385,686,741,205,147,120,89,12203,-10420,2586,-2064,-335,-2227,466,1772,1333,2080
1762810866.4335146,593,613,771,703,162,117,153,138,12432,-10057,2941,-2023,-386,-2121,258,2060,1385,1903
1762810866.4557896,812,738,795,758,155,107,411,471,12652,-9680,3249,-2025,-403,-1964,220,2175,1346,1572
1762810866.4709427,888,808,760,723,149,100,449,514,12817,-9355,3511,-2078,-313,-1822,270,1858,1342,1115
1762810866.4935813,918,801,769,682,164,171,452,534,12891,-9148,3710,-2191,-365,-1862,156,1336,1253,464
1762810866.5158951,922,898,770,572,145,187,450,556,12939,-9014,3800,-2304,-465,-1554,178,969,738,-68
1762810866.5309267,853,771,817,661,155,195,453,550,12940,-8993,3769,-2433,-80,-1431,166,431,279,-528
1762810866.5535684,680,668,809,608,166,220,264,330,12907,-9047,3648,-2587,346,-1674,-83,266,-20,-810
1762810866.5758448,595,604,850,650,171,230,199,265,12927,-9047,3442,-2762,645,-1743,-51,778,-300,-915
1762810866.5905545,538,592,854,635,149,186,198,220,12994,-8994,3209,-2899,550,-1576,-109,1147,-551,-813
1762810866.6136146,439,404,774,599,139,162,197,140,13075,-8931,2980,-2971,419,-1368,-33,1102,-754,-593
1762810866.6359634,380,386,614,483,112,150,150,124,13129,-8919,2756,-2987,356,-1410,132,660,-924,-445
1762810866.6594057,324,364,655,473,83,114,96,91,13187,-8888,2556,-3002,286,-1534,365,655,-806,-399
1762810866.673517,288,324,633,518,194,248,83,85,13310,-8723,2400,-3067,387,-1966,1009,1240,-344,-254
1762810866.6958477,215,254,607,589,227,262,66,92,13364,-8621,2364,-3152,617,-1461,838,638,300,-20
1762810866.719258,157,203,677,565,323,274,56,94,13367,-8589,2398,-3199,-490,-1012,840,-38,231,-309
1762810866.7332423,106,192,752,684,514,276,59,97,13290,-8713,2294,-3260,93,-1559,1000,-793,-333,-710
