timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-17T17:33:56.550164,39,41,202,295,36,30,26,28,3715,-5384,-10211,11017,-320,-2075,23,-17,-10,5
2025-11-17T17:33:56.567186,39,39,190,284,38,28,23,30,3717,-5381,-10209,11020,-317,-2063,25,20,-2,1
2025-11-17T17:33:56.580067,35,50,193,409,49,31,23,31,3717,-5381,-10209,11020,-325,-2038,20,15,-7,-3
2025-11-17T17:33:56.603150,44,55,203,396,48,32,22,29,3716,-5380,-10210,11020,-318,-2051,40,-20,-6,2
2025-11-17T17:33:56.626968,49,54,171,396,48,29,20,29,3716,-5380,-10210,11020,-331,-2057,28,9,-8,1
2025-11-17T17:33:56.642383,49,57,170,404,49,29,22,32,3714,-5378,-10212,11020,-333,-2048,16,-8,-18,-4
2025-11-17T17:33:56.662589,48,57,166,414,48,32,22,30,3713,-5374,-10217,11018,-337,-2061,35,-34,-22,-24
2025-11-17T17:33:56.682849,48,51,172,311,40,33,25,30,3712,-5368,-10223,11015,-327,-2080,3,-22,-28,-27
2025-11-17T17:33:56.699083,41,52,208,340,51,35,29,31,3715,-5363,-10224,11016,-317,-2065,14,14,-16,-25
2025-11-17T17:33:56.722976,41,46,192,314,46,33,30,29,3719,-5358,-10221,11019,-312,-2047,34,20,-4,-16
2025-11-17T17:33:56.745913,46,48,205,319,48,35,31,29,3719,-5358,-10221,11019,-319,-2052,13,-6,-10,-1
2025-11-17T17:33:56.759689,45,49,214,336,50,35,32,29,3716,-5357,-10223,11019,-311,-2054,28,-19,-14,8
2025-11-17T17:33:56.782173,43,47,214,340,50,31,30,26,3717,-5357,-10224,11019,-310,-2065,18,-6,-6,10
2025-11-17T17:33:56.805506,41,41,166,295,37,28,28,26,3718,-5357,-10219,11022,-325,-2056,30,20,6,10
2025-11-17T17:33:56.819892,34,43,166,307,41,29,28,26,3718,-5357,-10219,11022,-317,-2051,37,15,3,12
2025-11-17T17:33:56.842100,27,43,162,295,38,27,26,22,3716,-5357,-10223,11019,-317,-2046,25,-38,-6,3
2025-11-17T17:33:56.865320,27,46,185,318,39,30,26,23,3715,-5356,-10227,11017,-321,-2081,36,-33,-9,-6
2025-11-17T17:33:56.879599,38,47,191,304,43,31,27,22,3719,-5353,-10224,11019,-316,-2073,31,24,6,-10
2025-11-17T17:33:56.901798,40,49,206,364,47,31,25,23,3722,-5353,-10219,11023,-329,-2038,24,30,10,-4
2025-11-17T17:33:56.925944,41,48,210,383,45,33,25,24,3719,-5355,-10222,11020,-332,-2037,13,-23,-3,4
2025-11-17T17:33:56.939595,42,45,225,372,44,33,28,26,3716,-5356,-10227,11016,-335,-2089,13,-40,-5,-2
