timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-10T19:19:07.265493,62,240,135,196,188,59,26,62,13292,-9089,2882,-913,-460,-1856,659,44,-61,22
2025-11-10T19:19:07.281691,64,227,160,199,203,55,25,92,13297,-9085,2874,-906,-456,-1856,651,34,-65,9
2025-11-10T19:19:07.300211,74,242,152,215,204,58,24,190,13303,-9080,2865,-901,-439,-1868,651,39,-60,9
2025-11-10T19:19:07.322430,80,229,182,241,212,57,26,225,13310,-9072,2856,-896,-442,-1851,672,48,-58,11
2025-11-10T19:19:07.337304,78,229,216,228,215,63,27,236,13315,-9067,2851,-892,-447,-1848,673,29,-37,10
2025-11-10T19:19:07.361143,85,256,204,221,209,67,30,240,13317,-9066,2850,-888,-450,-1904,653,19,-22,22
2025-11-10T19:19:07.385868,87,231,185,240,212,71,33,243,13325,-9055,2846,-882,-446,-1860,681,64,-37,28
2025-11-10T19:19:07.398385,84,218,186,239,218,72,35,187,13331,-9048,2841,-874,-460,-1849,649,48,-59,26
2025-11-10T19:19:07.419544,94,239,162,230,232,74,35,141,13336,-9043,2837,-866,-459,-1819,655,32,-47,23
2025-11-10T19:19:07.442656,97,339,123,262,250,73,35,155,13339,-9040,2833,-862,-448,-1849,673,20,-30,10
2025-11-10T19:19:07.458164,111,371,144,268,241,71,34,157,13345,-9033,2829,-861,-454,-1845,680,42,-25,-2
2025-11-10T19:19:07.484497,126,402,167,270,236,72,34,168,13351,-9026,2823,-863,-429,-1841,664,56,-22,-11
2025-11-10T19:19:07.504712,138,548,182,277,247,74,34,157,13356,-9019,2818,-865,-424,-1865,664,61,-20,-4
2025-11-10T19:19:07.519836,140,541,186,257,227,77,32,158,13367,-9005,2812,-865,-444,-1827,676,96,-35,-1
2025-11-10T19:19:07.542070,140,497,238,221,199,76,32,133,13375,-8995,2806,-860,-468,-1816,666,70,-52,5
