timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1762811570.433689,22,20,21,18,31,20,20,18,12217,-10406,-2378,-2290,806,-1869,305,-7,-4,-5
1762811570.4567053,20,19,20,17,30,20,21,20,12217,-10406,-2378,-2290,817,-1879,298,-6,-2,-2
1762811570.4706364,20,20,19,15,30,20,21,20,12217,-10406,-2378,-2289,800,-1891,294,-2,2,-1
1762811570.493293,20,21,20,17,31,19,21,20,12217,-10407,-2378,-2289,793,-1894,297,-2,4,1
1762811570.516005,19,22,22,16,36,16,19,21,12217,-10407,-2377,-2289,799,-1887,302,-4,4,-1
1762811570.5306857,20,21,22,16,32,16,18,21,12217,-10407,-2377,-2288,801,-1886,304,-5,6,-3
1762811570.5531657,21,20,21,16,31,16,18,20,12217,-10407,-2377,-2288,808,-1886,315,-3,5,-2
1762811570.5756385,21,19,21,18,30,19,17,21,12217,-10407,-2377,-2288,796,-1875,313,-2,3,0
1762811570.5908637,20,17,22,17,43,22,19,22,12217,-10407,-2376,-2288,802,-1883,310,-5,1,-2
1762811570.61332,19,17,20,16,38,23,19,21,12217,-10407,-2376,-2287,806,-1891,303,-3,1,-1
1762811570.636212,18,17,20,17,39,22,18,21,12217,-10408,-2376,-2287,801,-1886,310,1,-1,-5
1762811570.6509042,19,18,20,17,40,22,19,20,12216,-10408,-2376,-2287,800,-1874,292,3,-2,-4
1762811570.6733134,19,19,21,17,45,22,20,17,12216,-10408,-2376,-2287,804,-1890,300,3,-3,-5
1762811570.6958995,19,20,18,18,35,18,18,16,12216,-10409,-2375,-2287,807,-1884,297,5,-2,-6
1762811570.711047,19,21,19,18,35,17,16,17,12216,-10409,-2375,-2286,803,-1877,296,4,1,-4
1762811570.7331078,19,21,21,18,32,19,20,17,12215,-10409,-2375,-2286,810,-1886,292,2,-2,-5
1762811570.763894,18,21,21,17,40,50,37,23,12215,-10409,-2375,-2286,805,-1882,303,2,-3,-3
1762811570.7791436,24,22,22,25,53,237,138,49,12213,-10413,-2377,-2284,800,-1898,309,-17,-21,-8
1762811570.7931201,25,61,27,39,165,409,395,61,12196,-10431,-2390,-2275,802,-1930,380,-153,-131,-24
1762811570.8155758,33,94,105,76,540,438,490,74,12122,-10515,-2421,-2252,758,-2107,830,-833,-461,-86
1762811570.839388,41,123,181,146,604,569,573,92,11847,-10818,-2462,-2234,1006,-1257,436,-2241,-707,25
1762811570.8531184,43,137,241,163,644,778,782,99,11650,-11076,-2346,-2130,1182,-3017,138,-1773,-279,907
1762811570.876033,44,150,257,175,676,812,831,97,11572,-11246,-2175,-1827,295,-3593,76,-840,-669,1401
1762811570.89935,43,160,263,181,672,754,750,91,11658,-11236,-2052,-1440,295,-3424,145,578,-935,1947
1762811570.9130445,41,145,266,214,446,746,697,82,11839,-11128,-1860,-998,-300,-2966,405,1306,-767,2376
1762811570.93574,100,150,395,268,362,661,640,63,11993,-11042,-1553,-516,-344,-2501,729,1063,-484,3004
1762811570.9666164,172,180,396,268,289,398,369,59,12110,-10973,-1180,-49,-591,-2516,876,822,-183,3188
1762811570.973575,221,183,489,336,204,235,204,49,12250,-10844,-805,372,-559,-2522,908,1139,13,3011
1762811570.9957552,250,206,499,343,155,192,184,57,12439,-10631,-431,701,-412,-2275,724,1684,362,2629
1762811571.0189269,417,217,516,365,122,161,166,68,12634,-10390,-63,935,-400,-1962,662,1820,680,2216
1762811571.0335932,427,218,467,377,108,119,126,68,12794,-10172,289,1088,-425,-1849,576,1605,905,1822
1762811571.0560715,416,192,455,420,110,96,73,59,12941,-9962,619,1159,-466,-1858,446,1573,1077,1327
1762811571.0792444,431,192,400,408,117,102,58,60,13099,-9738,865,1128,-467,-1757,397,1649,1060,665
1762811571.0935333,427,160,446,434,110,181,50,53,13238,-9549,1009,988,-320,-1698,374,1501,973,-155
1762811571.115853,286,159,431,405,105,184,49,36,13340,-9424,1032,769,-15,-1769,388,1108,770,-765
1762811571.1389675,268,167,366,388,96,184,44,34,13418,-9331,1014,547,147,-1865,337,928,632,-838
1762811571.1533716,253,166,357,450,97,199,42,35,13501,-9224,979,341,198,-1788,295,1021,504,-815
1762811571.1756992,219,196,303,452,88,206,52,49,13584,-9116,892,127,279,-1695,395,973,302,-1003
1762811571.199023,281,217,229,455,86,148,65,69,13635,-9053,742,-77,418,-1615,440,629,25,-1119
1762811571.2215767,274,221,204,465,82,143,67,73,13682,-8991,566,-277,595,-1704,471,621,-78,-1128
1762811571.2447493,275,215,196,439,78,143,66,75,13754,-8882,398,-464,661,-1738,492,930,-65,-1017
1762811571.25951,282,220,185,328,62,122,67,83,13839,-8745,257,-623,602,-1708,507,1095,-40,-856
1762811571.273389,259,187,174,272,49,158,68,91,13936,-8582,105,-746,577,-1482,603,1177,-196,-747
1762811571.2957368,170,163,172,211,91,152,64,117,14027,-8423,-25,-850,577,-1611,707,1132,-156,-618
1762811571.3193758,151,148,162,167,98,153,63,130,14132,-8234,-111,-955,974,-1342,996,1122,168,-304
1762811571.333668,127,121,155,130,109,160,69,134,14182,-8138,-118,-1021,491,-1423,906,574,281,-153
1762811571.3559356,98,107,153,132,126,161,68,136,14220,-8067,-127,-1056,273,-1745,1095,432,112,-129
1762811571.3790991,75,97,149,316,130,95,82,130,14278,-7958,-182,-1103,363,-1767,1166,677,-45,-277
1762811571.393535,54,74,105,363,158,90,78,98,14367,-7784,-259,-1161,366,-1770,1114,1140,-96,-392
1762811571.4157922,46,65,107,448,187,94,80,79,14495,-7534,-344,-1200,335,-1624,1174,1590,-167,-337
1762811571.4387708,40,64,109,464,197,105,90,70,14641,-7236,-434,-1241,257,-1376,1133,1873,-198,-404
1762811571.4534714,46,59,160,495,216,108,111,65,14764,-6965,-555,-1281,104,-1371,1032,1714,-380,-496
1762811571.476058,46,64,201,436,218,116,118,63,14863,-6735,-681,-1303,214,-1254,1055,1469,-468,-421
1762811571.498142,50,77,362,435,212,128,146,67,14938,-6555,-829,-1276,-207,-1378,854,1334,-864,-415
1762811571.513437,55,85,420,371,193,131,225,93,15059,-6245,-1013,-1280,296,-1878,1130,2001,-758,-483
1762811571.5359073,58,85,428,371,181,121,302,119,15222,-5792,-1201,-1309,106,-1202,1023,2783,-669,-658
1762811571.5580885,55,84,413,354,150,115,303,119,15340,-5444,-1335,-1307,336,-987,1309,2099,-500,-342
1762811571.573625,53,104,404,308,144,141,302,116,15432,-5153,-1428,-1303,695,-424,1422,1468,-190,-74
1762811571.5960214,48,103,271,298,105,184,301,123,15443,-5132,-1404,-1280,683,-463,1558,-164,216,323
1762811571.618568,89,103,177,293,95,187,266,132,15377,-5355,-1301,-1266,369,-1039,1538,-1395,374,337
1762811571.6333835,109,137,251,294,107,188,192,135,15310,-5575,-1209,-1224,365,-1332,1514,-1264,276,444
1762811571.6558986,119,159,255,264,107,212,198,139,15270,-5711,-1143,-1157,293,-1410,1415,-709,126,481
1762811571.678272,124,235,258,292,106,197,194,158,15272,-5729,-1100,-1080,372,-1320,1466,-50,82,502
1762811571.6931782,132,235,284,263,105,149,177,153,15300,-5683,-1039,-984,282,-1316,1532,308,142,598
1762811571.7158854,150,250,316,287,100,143,153,132,15334,-5621,-975,-870,86,-1253,1601,370,49,636
1762811571.7385745,242,243,264,311,92,150,165,263,15344,-5617,-909,-782,-40,-1161,1514,5,51,485
1762811571.761226,250,237,256,320,95,154,148,275,15322,-5692,-855,-724,100,-1142,1492,-487,83,378
1762811571.7759616,301,187,360,321,99,153,141,330,15292,-5788,-795,-678,176,-1186,1611,-657,159,365
1762811571.798361,387,203,460,385,110,150,174,559,15239,-5942,-730,-610,-59,-1395,1460,-883,41,411
1762811571.8219564,392,210,488,371,114,147,209,614,15188,-6082,-711,-520,-121,-1551,1265,-675,-247,395
1762811571.835936,351,216,485,349,107,129,183,582,15181,-6104,-705,-461,78,-1446,1317,-43,-141,272
1762811571.8584957,352,222,554,411,109,89,188,591,15198,-6069,-662,-417,-59,-1170,1367,167,50,231
1762811571.8814769,321,201,533,420,112,71,189,567,15199,-6074,-616,-392,-63,-1128,1536,-153,83,147
1762811571.8962307,220,253,442,394,98,69,157,383,15161,-6171,-591,-389,43,-1117,1519,-731,50,51
1762811571.9181445,229,254,435,455,95,64,99,313,15108,-6301,-573,-392,158,-1336,1473,-846,68,40
1762811571.9415522,214,242,455,467,93,64,85,286,15074,-6385,-548,-385,220,-1595,1521,-497,109,118
1762811571.9557753,221,249,424,522,88,48,67,266,15072,-6394,-502,-368,130,-1465,1512,-91,185,181
1762811571.9784286,210,247,404,577,92,52,62,250,15075,-6390,-455,-358,15,-1203,1386,-68,176,117
1762811572.0019097,197,182,440,566,99,55,59,192,15062,-6422,-421,-380,2,-1083,1392,-336,168,-78
1762811572.0160089,142,166,406,513,92,56,64,163,15022,-6513,-408,-434,109,-1168,1348,-667,158,-242
1762811572.0383084,138,161,380,597,106,59,69,157,14984,-6593,-425,-498,133,-1315,1222,-511,43,-355
1762811572.0615416,127,130,331,596,141,59,73,135,14942,-6679,-506,-532,160,-1634,975,-325,-346,-362
