timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-10T19:31:34.841898,42,62,74,79,147,38,182,51,14398,-4974,-3692,4771,461,-1291,1400,15,-21,-4
2025-11-10T19:31:34.856967,48,76,70,61,122,34,172,46,14398,-4974,-3693,4770,462,-1263,1373,4,-10,-13
2025-11-10T19:31:34.875617,48,90,99,56,116,34,167,48,14394,-4980,-3700,4768,456,-1299,1374,-46,-13,0
2025-11-10T19:31:34.897626,49,90,98,54,107,31,175,47,14392,-4983,-3703,4770,433,-1323,1378,-5,-17,11
2025-11-10T19:31:34.912852,45,90,93,64,130,30,179,50,14392,-4978,-3705,4772,439,-1297,1408,15,-18,1
2025-11-10T19:31:34.936366,47,95,92,73,132,32,171,44,14396,-4969,-3706,4771,460,-1279,1389,42,0,-12
2025-11-10T19:31:34.956944,40,89,90,70,129,31,180,44,14398,-4961,-3709,4771,454,-1267,1378,31,-13,-7
2025-11-10T19:31:34.971081,41,83,69,70,139,30,186,43,14398,-4956,-3713,4773,458,-1293,1406,13,-25,5
2025-11-10T19:31:34.994180,42,80,68,71,142,31,183,43,14400,-4947,-3717,4774,462,-1289,1407,36,-22,-5
2025-11-10T19:31:35.016322,45,83,64,65,119,39,181,40,14400,-4944,-3723,4770,460,-1267,1361,4,-17,-20
2025-11-10T19:31:35.032351,42,80,64,72,150,47,176,43,14400,-4944,-3724,4770,466,-1322,1383,-7,-11,1
2025-11-10T19:31:35.056658,51,80,70,78,146,47,169,41,14401,-4941,-3724,4769,452,-1295,1372,23,7,-5
2025-11-10T19:31:35.078690,51,73,73,77,134,44,190,40,14401,-4942,-3724,4769,453,-1302,1379,-1,10,-1
2025-11-10T19:31:35.093916,52,76,74,128,158,51,187,41,14401,-4941,-3725,4769,456,-1283,1394,8,5,4
2025-11-10T19:31:35.116803,50,72,75,137,173,49,188,42,14404,-4940,-3723,4762,459,-1262,1362,7,35,-25
2025-11-10T19:31:35.138935,50,66,74,135,153,45,221,44,14404,-4942,-3726,4758,466,-1283,1375,-19,8,-14
2025-11-10T19:31:35.161282,51,55,92,134,164,44,224,46,14404,-4942,-3727,4757,466,-1299,1373,11,12,2
2025-11-10T19:31:35.176432,49,52,89,142,182,52,209,51,14405,-4942,-3723,4757,431,-1288,1379,8,20,-2
2025-11-10T19:31:35.198889,48,65,88,100,169,45,220,51,14406,-4945,-3722,4751,469,-1294,1373,-9,33,-12
2025-11-10T19:31:35.221483,49,66,85,90,154,41,214,49,14405,-4951,-3721,4749,438,-1301,1383,-28,21,-1
2025-11-10T19:31:35.236490,49,68,91,86,147,38,211,46,14405,-4951,-3721,4749,455,-1305,1388,-16,10,2
2025-11-10T19:31:35.258597,35,69,72,94,162,46,227,47,14407,-4948,-3719,4748,456,-1281,1404,16,17,2
