timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-10T19:25:32.287110,141,372,225,266,152,83,72,458,12423,-9240,4981,1980,-1199,-1595,393,-26,24,17
2025-11-10T19:25:32.297210,143,342,174,275,162,85,72,466,12420,-9241,4985,1980,-1226,-1573,369,-17,25,3
2025-11-10T19:25:32.318540,120,329,135,252,156,85,72,395,12419,-9241,4987,1979,-1234,-1592,381,-7,18,-7
2025-11-10T19:25:32.341390,108,266,117,236,163,84,70,289,12419,-9240,4990,1977,-1247,-1589,370,4,16,-10
2025-11-10T19:25:32.357030,78,208,95,218,139,103,68,262,12419,-9241,4990,1977,-1242,-1580,380,-13,2,-17
2025-11-10T19:25:32.379467,55,199,85,193,163,101,61,169,12418,-9241,4990,1978,-1237,-1581,361,-12,-1,-9
2025-11-10T19:25:32.401561,45,175,64,205,183,101,54,128,12423,-9233,4995,1977,-1262,-1549,356,52,3,-9
2025-11-10T19:25:32.416606,37,178,59,222,193,98,53,129,12429,-9224,4996,1973,-1257,-1555,329,73,-19,-33
2025-11-10T19:25:32.444499,65,245,61,212,192,108,64,220,12431,-9224,4993,1974,-1232,-1567,308,26,-40,-19
2025-11-10T19:25:32.463090,81,320,76,210,206,98,61,260,12431,-9225,4988,1977,-1186,-1574,351,-8,-30,5
2025-11-10T19:25:32.478488,88,361,86,194,186,96,60,267,12427,-9229,4990,1981,-1211,-1594,326,-16,-6,19
2025-11-10T19:25:32.501015,136,434,184,190,175,101,63,366,12425,-9229,4996,1979,-1197,-1589,342,8,27,23
2025-11-10T19:25:32.523212,150,459,197,182,172,102,64,371,12423,-9227,5005,1977,-1226,-1571,327,25,36,15
2025-11-10T19:25:32.545984,145,481,200,189,177,97,53,332,12422,-9228,5006,1977,-1230,-1559,335,14,15,-2
2025-11-10T19:25:32.561242,150,490,201,222,171,79,52,313,12422,-9228,5006,1977,-1210,-1556,339,-7,-6,-12
2025-11-10T19:25:32.583597,158,550,209,230,174,75,53,349,12420,-9231,5004,1979,-1211,-1550,347,-18,-16,-14
2025-11-10T19:25:32.606041,124,506,151,221,163,85,54,255,12419,-9234,5001,1977,-1205,-1567,360,-16,0,-23
2025-11-10T19:25:32.621444,114,492,142,266,170,94,56,252,12417,-9238,5002,1972,-1232,-1564,355,-16,19,-40
2025-11-10T19:25:32.643536,107,455,138,286,174,91,56,236,12413,-9245,5000,1970,-1237,-1569,338,-36,2,-39
2025-11-10T19:25:32.665840,91,412,132,269,166,94,55,238,12410,-9252,4995,1971,-1232,-1588,350,-38,-17,-28
2025-11-10T19:25:32.680993,83,383,116,274,211,95,56,182,12409,-9254,4992,1972,-1221,-1583,373,-24,-14,-16
2025-11-10T19:25:32.703469,85,424,90,292,220,87,59,212,12409,-9255,4989,1972,-1230,-1586,367,-13,-10,-19
2025-11-10T19:25:32.726453,84,458,80,248,219,73,58,221,12407,-9259,4986,1975,-1234,-1601,370,-31,-13,-8
2025-11-10T19:25:32.740983,94,495,87,242,246,76,64,260,12406,-9260,4985,1980,-1229,-1590,354,-19,-18,9
2025-11-10T19:25:32.763355,105,521,216,246,252,71,71,286,12406,-9260,4985,1980,-1228,-1585,369,-12,-4,5
2025-11-10T19:25:32.785995,105,458,240,245,214,64,68,295,12403,-9261,4987,1984,-1228,-1597,354,-17,-2,17
2025-11-10T19:25:32.800959,104,416,246,217,212,61,61,278,12401,-9263,4988,1988,-1218,-1601,348,-15,-9,18
2025-11-10T19:25:32.827785,108,397,253,225,223,77,57,267,12400,-9263,4988,1993,-1229,-1583,356,-12,-12,16
2025-11-10T19:25:32.846050,103,344,251,219,180,76,53,281,12401,-9262,4986,1998,-1214,-1589,356,0,-28,19
2025-11-10T19:25:32.861088,98,276,152,217,177,78,51,273,12401,-9261,4986,1998,-1204,-1580,360,2,-13,9
2025-11-10T19:25:32.883500,99,359,116,218,207,83,54,261,12401,-9262,4986,1998,-1206,-1577,353,1,-13,13
2025-11-10T19:25:32.906120,108,378,106,206,204,83,60,258,12402,-9262,4984,2001,-1219,-1587,353,-7,-25,3
2025-11-10T19:25:32.918036,99,343,91,216,223,70,59,255,12401,-9265,4978,2007,-1220,-1578,357,-30,-40,-3
2025-11-10T19:25:32.941671,100,374,83,247,248,66,56,206,12400,-9268,4971,2014,-1229,-1583,356,-36,-51,-3
2025-11-10T19:25:32.965926,94,394,87,257,253,65,55,196,12400,-9272,4961,2020,-1222,-1567,331,-22,-67,-23
2025-11-10T19:25:32.980683,116,344,93,255,257,71,56,253,12397,-9279,4953,2029,-1236,-1570,307,-41,-74,-15
2025-11-10T19:25:33.003494,110,419,92,258,261,68,49,273,12393,-9287,4944,2036,-1253,-1577,298,-40,-67,-30
2025-11-10T19:25:33.025678,121,445,84,236,236,68,57,282,12388,-9295,4936,2049,-1259,-1576,307,-60,-85,-8
2025-11-10T19:25:33.041061,120,425,88,200,237,74,62,288,12383,-9303,4926,2067,-1242,-1575,330,-79,-96,17
2025-11-10T19:25:33.063600,141,501,134,173,231,73,65,298,12382,-9307,4915,2083,-1221,-1569,353,-60,-96,19
2025-11-10T19:25:33.085899,124,486,131,177,209,75,65,272,12383,-9307,4908,2090,-1195,-1585,377,-21,-42,12
2025-11-10T19:25:33.101017,122,411,130,187,228,74,66,279,12385,-9306,4906,2092,-1222,-1583,363,2,-17,-1
2025-11-10T19:25:33.123556,117,384,133,184,221,74,62,286,12386,-9305,4902,2100,-1213,-1578,374,-20,-40,16
2025-11-10T19:25:33.145746,127,385,132,172,189,71,55,276,12383,-9310,4897,2108,-1199,-1598,361,-46,-35,26
