timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-18T15:21:45.604827,23,50,96,229,241,151,46,35,-9692,11617,-5137,3629,-129,-2068,-424,37,-9,-3
2025-11-18T15:21:45.619366,25,37,96,239,234,147,47,37,-9696,11613,-5136,3630,-124,-2082,-409,25,-4,1
2025-11-18T15:21:45.642810,26,47,93,239,316,141,49,36,-9696,11613,-5136,3630,-119,-2070,-427,-5,3,1
2025-11-18T15:21:45.661600,27,47,100,241,336,148,48,34,-9692,11616,-5138,3628,-122,-2074,-421,-39,5,5
2025-11-18T15:21:45.679431,30,48,85,233,339,139,47,35,-9690,11617,-5141,3625,-126,-2108,-432,-23,-4,15
2025-11-18T15:21:45.699701,28,56,98,228,343,136,44,35,-9695,11613,-5141,3627,-116,-2071,-423,33,4,8
2025-11-18T15:21:45.717133,28,58,100,228,346,180,45,35,-9698,11608,-5142,3631,-126,-2062,-415,28,20,4
2025-11-18T15:21:45.739296,28,50,101,228,274,202,50,37,-9692,11612,-5147,3629,-131,-2048,-424,-48,17,3
2025-11-18T15:21:45.754490,32,49,92,236,274,210,55,42,-9683,11620,-5151,3621,-144,-2105,-435,-83,-12,10
2025-11-18T15:21:45.777439,32,65,95,237,276,216,56,40,-9683,11620,-5151,3621,-129,-2092,-432,-11,-5,-3
2025-11-18T15:21:45.807839,31,59,107,221,283,223,59,38,-9683,11620,-5151,3621,-125,-2072,-424,11,-1,-2
2025-11-18T15:21:45.814637,31,62,101,215,259,184,58,37,-9684,11620,-5151,3621,-123,-2080,-421,2,-3,8
2025-11-18T15:21:45.837052,30,64,101,244,267,157,51,36,-9688,11616,-5151,3623,-116,-2063,-401,18,6,9
2025-11-18T15:21:45.867835,26,69,111,218,277,152,48,31,-9685,11616,-5155,3622,-134,-2049,-429,-19,15,6
2025-11-18T15:21:45.875867,24,54,113,216,304,156,45,30,-9676,11623,-5161,3615,-152,-2083,-461,-62,-1,9
2025-11-18T15:21:45.905271,24,54,106,244,314,151,39,30,-9676,11623,-5161,3615,-132,-2083,-445,4,-14,1
2025-11-18T15:21:45.919594,22,66,105,249,309,154,37,28,-9684,11618,-5157,3617,-121,-2075,-426,52,-13,0
2025-11-18T15:21:45.946446,23,71,106,214,271,141,37,25,-9690,11613,-5156,3620,-127,-2056,-419,43,4,-3
2025-11-18T15:21:45.957170,19,66,95,215,262,142,32,23,-9690,11612,-5156,3620,-137,-2072,-412,-6,1,7
2025-11-18T15:21:45.979332,22,66,98,208,226,133,34,24,-9684,11618,-5159,3612,-149,-2089,-454,-52,-18,8
2025-11-18T15:21:45.994605,23,65,81,162,220,125,35,24,-9691,11615,-5155,3611,-122,-2102,-418,28,-22,3
2025-11-18T15:21:46.025041,24,49,91,192,216,129,36,24,-9699,11609,-5151,3615,-119,-2069,-412,54,-5,-4
2025-11-18T15:21:46.039548,23,54,95,200,221,131,38,23,-9704,11605,-5150,3616,-130,-2063,-408,28,-2,3
2025-11-18T15:21:46.054531,26,58,101,184,213,118,37,26,-9704,11605,-5150,3616,-127,-2069,-416,1,-4,1
2025-11-18T15:21:46.085301,23,60,102,222,227,121,36,27,-9701,11608,-5152,3613,-136,-2084,-439,-25,-6,6
2025-11-18T15:21:46.099645,22,64,101,219,241,133,37,26,-9701,11608,-5152,3613,-123,-2087,-431,-11,-8,2
2025-11-18T15:21:46.114644,23,65,96,181,300,143,36,29,-9706,11603,-5150,3615,-123,-2079,-407,32,-4,3
2025-11-18T15:21:46.136848,24,55,85,171,333,153,38,34,-9711,11599,-5150,3617,-130,-2067,-410,29,3,3
2025-11-18T15:21:46.159577,26,74,82,168,319,150,44,34,-9712,11597,-5152,3618,-137,-2070,-416,3,16,6
2025-11-18T15:21:46.179147,25,72,75,152,373,161,43,33,-9705,11602,-5155,3613,-132,-2083,-433,-53,-5,7
2025-11-18T15:21:46.201457,26,71,84,167,369,169,44,33,-9704,11603,-5156,3611,-132,-2084,-427,-17,-6,6
2025-11-18T15:21:46.219015,25,68,86,167,329,164,45,35,-9706,11602,-5156,3611,-129,-2078,-432,17,-1,1
2025-11-18T15:21:46.234231,27,69,98,166,300,149,47,35,-9706,11602,-5156,3611,-135,-2072,-431,9,-4,1
2025-11-18T15:21:46.256743,26,44,97,162,299,146,43,36,-9706,11602,-5156,3611,-126,-2085,-417,15,1,0
2025-11-18T15:21:46.279940,28,53,102,147,295,129,44,37,-9706,11602,-5156,3612,-123,-2063,-420,-16,-1,0
2025-11-18T15:21:46.294631,30,62,98,130,276,124,44,37,-9701,11607,-5159,3606,-139,-2084,-445,-45,-7,10
2025-11-18T15:21:46.317118,32,62,96,148,272,119,47,36,-9707,11602,-5156,3606,-122,-2097,-427,43,-16,9
2025-11-18T15:21:46.339599,30,60,86,152,267,119,42,33,-9716,11594,-5154,3610,-132,-2064,-406,63,2,3
2025-11-18T15:21:46.354548,28,61,98,159,286,128,43,31,-9717,11594,-5155,3610,-143,-2073,-411,10,4,8
2025-11-18T15:21:46.377152,25,66,90,157,200,125,43,30,-9712,11597,-5158,3607,-140,-2056,-422,-40,3,4
2025-11-18T15:21:46.399458,22,66,100,167,189,119,46,31,-9708,11602,-5159,3600,-144,-2095,-446,-37,-20,6
2025-11-18T15:21:46.422563,21,69,99,149,189,112,45,29,-9713,11599,-5155,3602,-119,-2088,-430,40,-13,-2
2025-11-18T15:21:46.436571,20,71,126,162,189,121,45,27,-9720,11593,-5153,3606,-135,-2056,-399,41,4,-4
2025-11-18T15:21:46.459145,20,70,115,155,192,128,46,26,-9720,11593,-5153,3606,-144,-2063,-401,-13,7,-2
