timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-18T15:38:10.673388,74,45,32,18,21,22,22,37,-9919,6559,-5826,9647,88,-1829,861,-1,3,-6
2025-11-18T15:38:10.687157,71,45,32,18,21,22,20,39,-9920,6557,-5825,9649,83,-1832,867,16,5,-7
2025-11-18T15:38:10.706025,71,47,50,18,19,24,22,40,-9921,6554,-5821,9653,88,-1813,874,25,4,-6
2025-11-18T15:38:10.729503,81,47,50,20,17,23,22,48,-9923,6550,-5818,9655,79,-1805,866,27,3,-4
2025-11-18T15:38:10.744631,74,46,51,20,18,21,22,51,-9923,6550,-5817,9656,91,-1792,870,12,1,-2
2025-11-18T15:38:10.767224,72,49,52,20,17,21,21,48,-9923,6549,-5817,9656,86,-1794,885,-7,0,2
2025-11-18T15:38:10.789955,79,42,50,22,16,20,24,47,-9923,6550,-5818,9655,82,-1809,870,-17,0,2
2025-11-18T15:38:10.802529,78,39,33,21,17,20,23,51,-9923,6550,-5818,9655,84,-1820,870,-12,1,2
2025-11-18T15:38:10.825076,71,48,39,24,19,20,21,45,-9923,6550,-5818,9655,84,-1804,860,-5,3,1
2025-11-18T15:38:10.849024,68,50,39,22,18,20,20,40,-9923,6550,-5818,9655,86,-1809,867,-3,1,-1
2025-11-18T15:38:10.863979,76,48,36,22,19,20,20,50,-9923,6550,-5817,9655,88,-1804,867,-9,0,-3
2025-11-18T15:38:10.887837,88,49,39,20,20,21,18,49,-9923,6549,-5817,9656,84,-1812,880,-11,0,-1
2025-11-18T15:38:10.910705,90,52,39,20,22,18,18,45,-9923,6550,-5817,9656,81,-1822,857,-9,2,0
2025-11-18T15:38:10.925001,98,45,37,16,21,18,22,50,-9923,6550,-5817,9656,87,-1820,863,1,2,1
2025-11-18T15:38:10.947647,100,44,43,18,22,19,22,52,-9923,6550,-5817,9656,85,-1814,869,11,2,0
2025-11-18T15:38:10.971548,93,52,50,20,21,20,21,41,-9923,6549,-5817,9656,94,-1813,883,13,2,-2
2025-11-18T15:38:10.985588,92,53,49,18,20,21,22,57,-9923,6549,-5816,9656,90,-1790,878,10,1,-1
2025-11-18T15:38:11.007273,98,51,49,20,17,22,25,61,-9923,6549,-5816,9657,87,-1792,878,-1,0,-2
2025-11-18T15:38:11.030903,95,50,46,21,18,21,22,60,-9924,6549,-5815,9657,94,-1802,879,-9,1,1
2025-11-18T15:38:11.045151,110,55,55,19,17,22,24,62,-9924,6549,-5815,9657,86,-1806,868,-12,-2,2
2025-11-18T15:38:11.070180,111,44,50,20,18,22,24,64,-9924,6549,-5815,9657,92,-1812,864,-12,1,0
2025-11-18T15:38:11.090658,101,48,50,20,19,23,24,52,-9924,6548,-5815,9657,85,-1812,881,-6,1,2
2025-11-18T15:38:11.105130,91,51,52,19,20,21,22,46,-9924,6548,-5814,9657,86,-1809,868,-3,1,-1
2025-11-18T15:38:11.128009,80,52,53,21,19,21,23,39,-9924,6548,-5814,9658,88,-1814,867,0,3,1
2025-11-18T15:38:11.150755,53,62,50,24,22,21,20,34,-9924,6548,-5814,9658,86,-1813,880,3,1,3
2025-11-18T15:38:11.173234,45,62,52,23,24,20,20,29,-9924,6548,-5814,9658,87,-1804,884,1,1,7
2025-11-18T15:38:11.187972,36,69,56,39,82,69,26,26,-9925,6547,-5815,9657,80,-1800,885,-18,1,10
2025-11-18T15:38:11.210868,29,85,59,60,115,78,31,27,-9923,6549,-5820,9654,81,-1807,885,-50,4,10
2025-11-18T15:38:11.233165,38,95,80,84,138,91,31,26,-9917,6559,-5833,9646,73,-1809,890,-126,3,10
2025-11-18T15:38:11.255881,37,100,83,120,159,99,36,26,-9902,6583,-5854,9632,79,-1826,882,-227,-6,-2
2025-11-18T15:38:11.270872,39,115,90,153,177,103,36,26,-9887,6611,-5880,9612,76,-1873,855,-251,-27,17
2025-11-18T15:38:11.293769,42,111,89,155,170,95,38,27,-9875,6637,-5912,9587,58,-2010,862,-248,-13,52
2025-11-18T15:38:11.307556,48,99,87,158,155,98,45,29,-9864,6654,-5935,9572,132,-1945,831,-172,23,55
2025-11-18T15:38:11.331718,42,92,71,153,137,88,46,30,-9857,6663,-5950,9565,164,-1893,842,-110,38,60
2025-11-18T15:38:11.353446,42,77,66,148,144,80,43,28,-9859,6655,-5965,9559,70,-1843,816,-26,57,76
2025-11-18T15:38:11.367273,46,54,71,155,135,83,46,31,-9858,6648,-5982,9554,-2,-1829,833,-61,53,32
2025-11-18T15:38:11.390700,49,47,78,210,128,77,43,29,-9849,6655,-5996,9549,31,-1938,806,-74,26,-15
2025-11-18T15:38:11.413352,47,49,83,222,137,69,37,25,-9844,6660,-6002,9548,52,-1952,803,-25,5,-20
2025-11-18T15:38:11.427615,53,45,90,241,143,70,38,25,-9848,6660,-5995,9548,39,-1968,809,59,-40,-20
2025-11-18T15:38:11.450875,62,44,116,260,151,75,38,28,-9865,6640,-5965,9563,34,-1986,848,250,-42,-46
2025-11-18T15:38:11.472847,64,38,117,253,154,71,35,25,-9893,6600,-5921,9589,-2,-2020,892,411,-35,-54
2025-11-18T15:38:11.487677,63,40,116,231,156,56,33,25,-9945,6523,-5862,9624,-143,-1946,913,641,-24,-32
2025-11-18T15:38:11.510831,74,65,144,271,154,52,28,26,-10006,6435,-5776,9672,-32,-1884,939,807,-42,-28
2025-11-18T15:38:11.533418,74,78,153,266,169,47,25,26,-10071,6329,-5693,9723,-105,-1861,971,880,6,-15
2025-11-18T15:38:11.547469,70,80,158,257,184,40,26,24,-10145,6209,-5595,9781,-108,-1727,976,993,2,-16
2025-11-18T15:38:11.570846,66,85,158,315,228,91,37,27,-10207,6098,-5509,9834,-155,-1592,925,897,8,-47
2025-11-18T15:38:11.593077,66,96,166,343,254,96,40,28,-10245,6037,-5454,9863,-177,-1451,971,479,-62,-81
2025-11-18T15:38:11.607656,54,96,153,306,268,99,41,27,-10241,6045,-5447,9866,-122,-1541,960,-38,-88,-130
2025-11-18T15:38:11.630876,58,91,147,350,265,101,46,28,-10214,6079,-5471,9860,-58,-1765,972,-238,-27,-142
2025-11-18T15:38:11.652801,71,91,133,420,285,105,48,31,-10193,6081,-5478,9876,-16,-1834,950,7,74,-156
2025-11-18T15:38:11.667622,78,115,126,420,267,66,41,31,-10189,6033,-5453,9925,13,-1718,961,357,166,-173
2025-11-18T15:38:11.691065,78,109,112,405,269,61,41,33,-10185,5968,-5407,9992,47,-1573,969,490,203,-229
2025-11-18T15:38:11.714941,76,98,96,424,275,60,42,35,-10168,5923,-5361,10061,82,-1518,988,378,167,-299
2025-11-18T15:38:11.728046,69,95,84,393,279,59,37,33,-10131,5908,-5319,10129,183,-1527,1034,210,138,-371
2025-11-18T15:38:11.750875,55,93,65,309,234,53,36,31,-10080,5920,-5278,10194,300,-1579,1084,76,95,-417
2025-11-18T15:38:11.773235,43,61,72,244,224,71,38,30,-10027,5948,-5240,10250,405,-1617,1115,-17,64,-373
2025-11-18T15:38:11.787633,48,98,122,217,194,107,41,28,-9969,5989,-5223,10291,460,-1642,1078,-147,76,-303
2025-11-18T15:38:11.810918,55,101,123,182,162,108,43,27,-9919,6041,-5215,10313,456,-1638,1089,-246,9,-219
2025-11-18T15:38:11.833360,61,107,126,195,158,110,42,29,-9882,6085,-5197,10332,466,-1657,1094,-163,-30,-170
2025-11-18T15:38:11.855827,59,115,132,202,190,116,42,28,-9858,6114,-5162,10356,484,-1678,1087,-10,-43,-149
2025-11-18T15:38:11.870710,58,119,140,205,185,113,43,27,-9848,6124,-5103,10388,456,-1688,1110,186,-80,-167
2025-11-18T15:38:11.893216,50,97,118,224,181,80,38,24,-9841,6131,-5026,10428,469,-1600,1118,253,-120,-211
2025-11-18T15:38:11.907622,44,92,122,225,177,81,35,23,-9832,6143,-4939,10471,497,-1601,1142,272,-155,-253
2025-11-18T15:38:11.930750,33,83,127,198,173,88,40,25,-9821,6152,-4847,10519,515,-1573,1151,302,-147,-285
2025-11-18T15:38:11.953304,32,71,125,192,145,93,40,27,-9806,6156,-4762,10569,552,-1511,1167,270,-90,-271
2025-11-18T15:38:11.967619,34,62,114,194,139,88,42,31,-9779,6173,-4712,10606,500,-1590,1119,103,-47,-252
2025-11-18T15:38:11.990743,35,50,108,317,168,94,43,31,-9761,6173,-4674,10640,570,-1565,1170,103,46,-131
2025-11-18T15:38:12.013270,32,50,110,343,181,90,45,32,-9743,6167,-4640,10674,533,-1615,1124,149,80,-139
2025-11-18T15:38:12.027131,32,49,105,342,185,85,40,31,-9735,6153,-4593,10710,553,-1490,1143,205,53,-108
2025-11-18T15:38:12.050365,32,61,115,345,208,73,42,31,-9723,6152,-4555,10738,497,-1549,1164,122,4,-132
2025-11-18T15:38:12.073294,30,55,113,354,210,72,39,28,-9708,6155,-4523,10763,449,-1616,1159,102,-6,-160
