timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-18T15:44:31.371576,23,33,106,112,80,56,27,25,-2539,5498,-14284,5267,-150,-1465,-1641,-29,12,8
2025-11-18T15:44:31.394059,23,35,104,121,83,58,27,26,-2537,5497,-14287,5261,-141,-1467,-1652,-36,16,4
2025-11-18T15:44:31.416936,26,36,104,130,85,49,28,26,-2536,5496,-14288,5260,-143,-1487,-1644,-20,11,-2
2025-11-18T15:44:31.432905,26,41,74,135,83,43,28,28,-2536,5494,-14287,5263,-141,-1461,-1637,22,16,-3
2025-11-18T15:44:31.456864,23,42,101,133,73,41,26,24,-2537,5492,-14286,5268,-137,-1459,-1616,21,18,-2
2025-11-18T15:44:31.481625,25,40,101,122,70,39,25,24,-2537,5492,-14286,5268,-140,-1463,-1629,15,8,-5
2025-11-18T15:44:31.501346,25,38,101,115,75,42,26,24,-2538,5491,-14286,5268,-141,-1468,-1626,5,3,-3
2025-11-18T15:44:31.523542,24,37,106,139,78,45,28,25,-2538,5491,-14286,5268,-142,-1467,-1639,-7,-7,-1
2025-11-18T15:44:31.548697,24,34,129,158,85,48,27,25,-2538,5491,-14286,5268,-134,-1456,-1659,-8,-11,11
2025-11-18T15:44:31.560301,25,27,100,151,90,47,28,25,-2539,5491,-14286,5268,-154,-1485,-1643,-7,-1,11
2025-11-18T15:44:31.577110,22,26,99,152,88,50,27,24,-2540,5491,-14286,5268,-144,-1484,-1637,13,4,-1
2025-11-18T15:44:31.598885,23,28,95,152,81,45,27,24,-2538,5489,-14285,5272,-134,-1449,-1627,20,21,-7
2025-11-18T15:44:31.622080,23,29,94,127,80,44,26,21,-2536,5488,-14287,5271,-142,-1465,-1641,-11,24,-1
2025-11-18T15:44:31.636662,22,26,60,95,69,47,28,19,-2533,5487,-14289,5268,-150,-1481,-1643,-31,21,-5
2025-11-18T15:44:31.659568,22,26,84,140,82,50,27,20,-2532,5487,-14288,5269,-142,-1482,-1622,-10,19,-14
2025-11-18T15:44:31.682102,21,29,88,151,93,62,30,21,-2532,5487,-14288,5269,-129,-1459,-1635,7,7,-7
2025-11-18T15:44:31.696978,21,27,86,153,92,61,29,21,-2532,5487,-14289,5269,-137,-1459,-1644,2,5,-2
2025-11-18T15:44:31.719577,22,30,87,150,91,60,29,24,-2533,5487,-14289,5269,-140,-1462,-1641,-8,3,0
2025-11-18T15:44:31.742042,21,30,82,154,91,58,29,24,-2533,5486,-14289,5269,-144,-1478,-1641,-3,12,-5
2025-11-18T15:44:31.757622,20,31,80,118,74,60,30,24,-2532,5485,-14288,5273,-124,-1465,-1628,16,17,-5
2025-11-18T15:44:31.779442,23,30,96,98,62,45,28,25,-2532,5485,-14288,5273,-130,-1467,-1637,-2,10,-2
2025-11-18T15:44:31.806952,25,33,98,91,72,59,32,28,-2531,5484,-14290,5269,-144,-1465,-1634,-27,11,0
2025-11-18T15:44:31.829532,23,28,93,83,71,64,32,26,-2530,5483,-14291,5266,-152,-1487,-1631,-33,14,-3
2025-11-18T15:44:31.839543,29,29,97,81,72,64,31,26,-2530,5482,-14291,5268,-145,-1477,-1626,0,17,-6
2025-11-18T15:44:31.862020,29,29,98,89,73,63,30,26,-2531,5482,-14291,5268,-135,-1444,-1631,6,14,-1
2025-11-18T15:44:31.876928,28,26,80,89,70,63,30,26,-2530,5481,-14293,5264,-132,-1448,-1641,-17,3,5
2025-11-18T15:44:31.899596,26,24,85,89,63,52,28,24,-2531,5481,-14294,5262,-129,-1479,-1636,-21,-7,3
2025-11-18T15:44:31.922297,26,26,84,89,70,45,26,23,-2532,5481,-14294,5262,-141,-1475,-1644,13,-6,-5
2025-11-18T15:44:31.936568,18,27,105,116,78,49,26,24,-2535,5480,-14292,5264,-140,-1455,-1646,25,-2,-4
2025-11-18T15:44:31.959896,18,28,91,113,76,45,26,26,-2535,5480,-14292,5264,-147,-1458,-1643,-14,3,3
2025-11-18T15:44:31.986057,19,30,90,109,75,44,26,24,-2535,5479,-14293,5262,-139,-1480,-1629,-22,6,0
2025-11-18T15:44:32.004540,19,31,85,109,79,61,28,22,-2536,5479,-14293,5262,-133,-1478,-1636,0,4,-3
2025-11-18T15:44:32.028516,21,32,105,110,72,62,29,24,-2536,5479,-14292,5267,-124,-1465,-1638,21,8,-7
2025-11-18T15:44:32.042006,22,30,87,77,60,58,29,25,-2536,5479,-14292,5266,-130,-1438,-1642,-6,3,-3
2025-11-18T15:44:32.057046,21,30,86,95,67,60,29,24,-2535,5479,-14295,5258,-145,-1468,-1649,-45,1,3
2025-11-18T15:44:32.079518,21,29,86,100,68,64,29,24,-2535,5479,-14295,5257,-140,-1494,-1642,-20,6,-5
2025-11-18T15:44:32.102006,22,26,85,95,61,50,27,24,-2535,5479,-14293,5264,-138,-1478,-1637,26,17,-16
2025-11-18T15:44:32.117011,23,25,74,114,60,50,25,23,-2535,5479,-14291,5269,-135,-1444,-1631,34,14,-12
2025-11-18T15:44:32.139526,22,26,73,116,62,49,26,21,-2535,5479,-14291,5269,-135,-1463,-1626,-9,2,-3
2025-11-18T15:44:32.161637,23,24,73,94,57,54,28,22,-2535,5478,-14293,5264,-146,-1468,-1638,-34,6,1
2025-11-18T15:44:32.176896,23,27,76,88,67,53,29,22,-2534,5478,-14294,5262,-139,-1472,-1632,-19,11,-4
2025-11-18T15:44:32.199158,26,30,80,102,71,53,26,21,-2534,5478,-14294,5262,-136,-1467,-1642,1,13,-9
2025-11-18T15:44:32.222172,24,32,90,80,69,52,28,23,-2534,5477,-14294,5262,-139,-1460,-1632,11,11,-10
2025-11-18T15:44:32.237055,26,30,88,91,72,59,29,27,-2534,5477,-14294,5262,-128,-1467,-1634,3,9,-9
2025-11-18T15:44:32.259543,28,35,91,92,78,55,26,26,-2535,5477,-14294,5262,-127,-1461,-1641,-13,9,-5
2025-11-18T15:44:32.286040,27,34,89,94,74,49,25,27,-2535,5477,-14294,5263,-127,-1469,-1632,-16,12,-5
2025-11-18T15:44:32.304540,25,33,86,88,75,59,29,28,-2533,5477,-14295,5262,-137,-1466,-1635,-16,16,-5
