timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-18T16:04:18.395192,22,25,101,79,135,138,68,37,-11616,10130,-3154,-4576,-1254,-1560,329,-15,2,-11
2025-11-18T16:04:18.417764,21,21,82,87,104,126,63,36,-11615,10134,-3151,-4573,-1258,-1565,321,-14,0,-26
2025-11-18T16:04:18.431956,23,24,93,81,102,129,61,32,-11615,10138,-3145,-4570,-1245,-1574,319,-21,-5,-29
2025-11-18T16:04:18.454620,22,27,97,77,150,161,65,31,-11614,10142,-3138,-4568,-1246,-1581,335,-32,-10,-29
2025-11-18T16:04:18.479445,20,27,76,88,162,131,54,29,-11614,10145,-3130,-4565,-1236,-1601,337,-24,-11,-25
2025-11-18T16:04:18.501961,21,29,105,96,179,122,52,28,-11616,10145,-3124,-4563,-1238,-1586,355,-9,-10,-19
2025-11-18T16:04:18.516195,20,28,106,101,185,123,53,28,-11617,10145,-3124,-4563,-1237,-1586,328,-11,-13,-16
2025-11-18T16:04:18.539765,18,26,95,110,191,143,60,30,-11617,10145,-3123,-4562,-1235,-1601,349,-8,-11,-16
2025-11-18T16:04:18.561926,22,25,90,107,159,109,55,31,-11617,10145,-3123,-4562,-1234,-1603,335,12,-4,-15
2025-11-18T16:04:18.576246,21,23,92,100,149,114,60,31,-11621,10144,-3120,-4557,-1241,-1596,325,23,1,-20
2025-11-18T16:04:18.598974,21,20,83,104,123,112,61,32,-11626,10141,-3118,-4552,-1241,-1589,336,26,3,-24
2025-11-18T16:04:18.621877,22,21,82,92,122,127,62,31,-11631,10137,-3116,-4549,-1240,-1576,348,29,-3,-18
2025-11-18T16:04:18.636200,21,21,82,80,118,112,57,29,-11635,10133,-3115,-4547,-1241,-1564,327,28,-6,-16
2025-11-18T16:04:18.659368,19,23,88,87,130,105,56,32,-11640,10130,-3115,-4545,-1245,-1565,334,29,-6,-12
2025-11-18T16:04:18.681916,20,23,86,89,112,97,51,32,-11642,10127,-3117,-4544,-1257,-1558,312,29,-3,-3
2025-11-18T16:04:18.695696,18,26,70,79,116,120,51,32,-11642,10125,-3121,-4545,-1254,-1540,313,20,2,6
2025-11-18T16:04:18.719411,19,26,81,82,127,120,49,32,-11642,10125,-3122,-4546,-1257,-1549,320,10,6,9
2025-11-18T16:04:18.741777,21,29,81,88,127,116,46,33,-11641,10125,-3122,-4546,-1248,-1547,319,2,7,7
2025-11-18T16:04:18.756052,22,29,81,77,106,146,49,29,-11641,10125,-3122,-4546,-1248,-1544,318,-2,0,0
2025-11-18T16:04:18.779479,22,30,81,75,107,147,49,26,-11641,10125,-3122,-4546,-1248,-1555,326,-14,-6,-6
2025-11-18T16:04:18.801983,22,30,92,87,118,127,49,27,-11641,10125,-3123,-4546,-1249,-1563,318,-16,-8,-6
2025-11-18T16:04:18.816248,22,30,84,90,146,114,50,26,-11641,10125,-3123,-4546,-1243,-1564,327,-10,-7,-4
2025-11-18T16:04:18.839440,21,26,85,86,165,127,58,31,-11641,10125,-3123,-4546,-1240,-1566,334,-14,-8,-8
2025-11-18T16:04:18.861372,21,25,90,107,165,104,53,34,-11639,10129,-3118,-4545,-1232,-1567,324,-26,-8,-15
2025-11-18T16:04:18.873911,20,24,90,105,175,104,55,38,-11637,10133,-3113,-4544,-1238,-1589,334,-28,-10,-14
2025-11-18T16:04:18.896274,20,22,80,96,182,107,54,37,-11638,10133,-3112,-4544,-1237,-1590,346,-13,-11,-14
2025-11-18T16:04:18.919061,22,25,99,96,149,123,56,40,-11638,10133,-3112,-4544,-1236,-1595,343,-2,-9,-12
2025-11-18T16:04:18.934033,21,26,100,104,140,112,52,40,-11638,10132,-3111,-4544,-1230,-1588,348,6,-10,-11
2025-11-18T16:04:18.958126,20,28,90,92,163,107,53,41,-11639,10132,-3111,-4544,-1231,-1573,345,5,-10,-5
2025-11-18T16:04:18.981708,21,28,91,95,157,106,50,38,-11639,10132,-3111,-4544,-1240,-1582,349,5,0,-3
2025-11-18T16:04:18.995957,22,29,107,110,148,112,52,39,-11639,10132,-3111,-4544,-1247,-1584,339,8,0,3
2025-11-18T16:04:19.019008,20,26,91,104,147,105,50,35,-11639,10132,-3110,-4543,-1234,-1584,335,12,1,6
2025-11-18T16:04:19.041581,21,26,99,98,134,100,54,34,-11639,10132,-3110,-4543,-1236,-1585,327,14,-1,9
2025-11-18T16:04:19.056150,21,22,97,101,133,97,52,28,-11639,10132,-3110,-4543,-1243,-1572,331,11,-2,5
2025-11-18T16:04:19.079060,20,21,100,103,136,97,51,29,-11639,10132,-3110,-4543,-1231,-1573,341,1,-6,0
2025-11-18T16:04:19.102272,22,24,99,88,136,88,52,30,-11640,10132,-3110,-4543,-1232,-1568,344,7,-6,-3
2025-11-18T16:04:19.116064,21,26,99,85,132,72,50,32,-11640,10132,-3109,-4543,-1229,-1572,336,11,-9,-6
2025-11-18T16:04:19.139428,21,27,119,97,145,87,41,29,-11640,10132,-3109,-4543,-1230,-1571,345,9,-7,-7
2025-11-18T16:04:19.161879,21,29,118,98,145,99,43,32,-11640,10131,-3109,-4543,-1237,-1571,344,5,-6,-11
2025-11-18T16:04:19.176254,20,30,117,93,136,99,47,35,-11640,10131,-3109,-4543,-1228,-1566,329,1,-3,-10
2025-11-18T16:04:19.199493,19,30,114,96,125,99,47,39,-11641,10131,-3109,-4542,-1233,-1569,335,2,-5,-8
2025-11-18T16:04:19.221350,19,29,115,113,130,106,51,39,-11641,10131,-3109,-4543,-1250,-1566,338,6,-3,-4
2025-11-18T16:04:19.236258,20,29,99,106,120,97,52,40,-11641,10131,-3109,-4543,-1253,-1554,349,1,-2,-2
2025-11-18T16:04:19.259019,20,27,99,97,92,89,49,38,-11641,10131,-3109,-4543,-1246,-1571,331,-7,-1,3
2025-11-18T16:04:19.281978,21,27,113,100,98,89,50,38,-11641,10131,-3109,-4543,-1240,-1568,342,0,0,9
