timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1763471575.4122837,46,27,150,101,44,59,51,35,10687,-11808,-1921,3331,-350,-2066,-88,26,-42,34
1763471575.435088,47,26,183,110,49,65,60,39,10692,-11801,-1914,3342,-447,-2180,-84,29,-13,-13
1763471575.4497528,35,25,176,118,49,69,63,40,10689,-11801,-1894,3367,-528,-2195,-98,1,-21,63
1763471575.4721167,31,25,178,155,61,78,65,43,10690,-11796,-1862,3401,-630,-2267,-59,35,-7,91
1763471575.4873056,29,28,224,160,59,72,62,39,10699,-11783,-1815,3439,-684,-2210,-37,112,24,129
1763471575.5099657,30,32,227,172,67,71,59,39,10701,-11778,-1765,3475,-676,-2187,-36,56,54,162
1763471575.5406995,29,36,207,205,78,66,49,35,10693,-11783,-1712,3510,-698,-2223,-73,2,69,183
1763471575.5472765,26,38,211,210,80,60,44,34,10688,-11782,-1665,3552,-727,-2236,-104,52,8,177
1763471575.5696921,29,46,209,288,90,50,42,31,10683,-11776,-1635,3601,-687,-2233,-150,85,-94,156
1763471575.5921128,30,48,136,330,97,53,43,31,10694,-11752,-1613,3656,-602,-2221,-136,203,-161,173
1763471575.6071026,29,51,109,379,97,50,41,30,10713,-11717,-1591,3722,-591,-2259,-156,301,-221,210
1763471575.6296947,87,53,91,407,89,47,41,28,10741,-11673,-1560,3791,-634,-2185,-114,369,-206,224
1763471575.6521783,91,52,71,474,96,53,43,27,10762,-11638,-1525,3852,-618,-2144,-108,315,-153,233
1763471575.6673155,94,53,76,529,113,52,45,28,10772,-11617,-1486,3902,-588,-2136,-96,219,-82,253
1763471575.6901095,96,50,81,571,134,60,48,34,10767,-11613,-1450,3943,-587,-2143,-118,104,-48,248
1763471575.7125287,102,49,85,576,163,68,52,36,10753,-11618,-1423,3976,-586,-2168,-162,41,-44,213
1763471575.727474,139,79,92,630,197,71,52,37,10738,-11624,-1405,4004,-529,-2112,-138,3,-55,185
1763471575.7498813,141,86,94,633,198,84,60,43,10729,-11629,-1396,4019,-430,-2095,-116,6,-36,149
1763471575.7725015,145,86,84,601,216,89,61,43,10716,-11642,-1394,4014,-318,-2095,-148,-49,24,116
1763471575.7870967,145,87,99,577,202,85,57,41,10711,-11652,-1396,4000,-221,-2065,-109,-38,45,106
1763471575.810045,141,88,212,621,180,80,56,40,10700,-11668,-1397,3981,-197,-2050,-151,-62,72,107
1763471575.8320706,68,62,220,548,141,75,53,37,10694,-11681,-1397,3960,-194,-1993,-145,-43,86,90
1763471575.847247,60,58,227,555,143,57,41,29,10692,-11689,-1404,3939,-201,-1983,-148,-9,53,44
1763471575.8695283,42,54,226,528,97,53,38,30,10700,-11687,-1414,3920,-191,-1955,-143,53,20,23
1763471575.8928182,39,52,219,503,99,55,39,28,10712,-11681,-1428,3899,-143,-1904,-94,55,25,5
1763471575.90727,37,64,381,422,119,59,41,28,10720,-11679,-1445,3878,-159,-1879,-96,26,14,-11
1763471575.9295824,34,67,451,444,133,69,45,31,10721,-11684,-1458,3856,-101,-1902,-85,-28,37,45
