timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-18T15:32:57.388438,30,85,274,45,174,72,26,24,-10688,4006,-4593,10820,-71,-1334,1409,29,9,0
2025-11-18T15:32:57.411579,27,76,310,42,170,76,28,23,-10688,4002,-4591,10821,-92,-1335,1404,20,6,-5
2025-11-18T15:32:57.430511,30,76,309,42,167,76,26,22,-10688,4001,-4590,10822,-78,-1359,1404,17,5,-3
2025-11-18T15:32:57.446137,29,76,309,46,196,87,22,21,-10688,3997,-4589,10825,-90,-1328,1398,22,7,-9
2025-11-18T15:32:57.469734,32,62,313,43,196,93,26,21,-10688,3997,-4589,10825,-96,-1325,1401,-12,9,-12
2025-11-18T15:32:57.494483,40,68,263,42,185,94,28,22,-10688,3997,-4589,10825,-100,-1359,1410,-5,-1,-10
2025-11-18T15:32:57.508728,41,79,202,44,200,94,28,22,-10687,3996,-4588,10826,-91,-1350,1391,21,-3,-9
2025-11-18T15:32:57.531740,41,79,200,44,207,100,28,24,-10687,3996,-4588,10826,-99,-1342,1403,13,4,-10
2025-11-18T15:32:57.551943,42,80,197,43,194,88,29,25,-10686,3996,-4591,10826,-100,-1346,1425,-18,8,-10
2025-11-18T15:32:57.565911,45,81,265,42,194,79,27,27,-10683,3999,-4597,10826,-92,-1352,1398,-28,11,-9
2025-11-18T15:32:57.588964,41,74,275,43,212,81,29,29,-10683,3999,-4597,10826,-93,-1339,1409,-8,3,6
2025-11-18T15:32:57.619508,40,71,272,42,199,81,28,30,-10683,3998,-4597,10825,-99,-1345,1398,-11,0,8
2025-11-18T15:32:57.626312,38,68,258,41,197,65,28,27,-10683,3999,-4598,10825,-89,-1351,1387,-13,3,3
2025-11-18T15:32:57.650857,37,73,335,38,174,62,29,26,-10683,3999,-4598,10825,-96,-1355,1401,-15,4,1
2025-11-18T15:32:57.672117,30,68,335,39,174,73,29,25,-10682,4000,-4603,10823,-101,-1350,1406,-25,3,6
2025-11-18T15:32:57.686716,29,67,326,41,180,80,27,22,-10682,4000,-4603,10823,-93,-1336,1393,-9,0,8
2025-11-18T15:32:57.709938,39,67,374,40,177,81,28,23,-10682,4000,-4603,10823,-78,-1330,1393,-1,-11,12
2025-11-18T15:32:57.732443,41,73,369,38,159,85,26,23,-10683,4004,-4605,10820,-91,-1347,1396,-19,-12,9
2025-11-18T15:32:57.746720,41,70,300,37,176,83,25,27,-10683,4009,-4607,10817,-79,-1339,1399,-27,-14,5
2025-11-18T15:32:57.770268,40,76,233,42,189,74,26,25,-10682,4014,-4610,10815,-87,-1326,1383,-37,-15,1
2025-11-18T15:32:57.792158,38,74,218,37,178,79,29,24,-10680,4022,-4612,10813,-73,-1327,1404,-52,-15,-5
2025-11-18T15:32:57.806774,28,68,164,39,236,94,30,22,-10677,4033,-4618,10809,-84,-1376,1410,-60,-21,-10
2025-11-18T15:32:57.829968,28,66,245,45,239,89,30,24,-10675,4039,-4620,10808,-90,-1366,1411,-35,-14,-12
2025-11-18T15:32:57.852676,39,64,252,45,228,87,29,20,-10675,4039,-4620,10808,-85,-1329,1385,1,-12,-12
2025-11-18T15:32:57.866459,41,52,262,40,246,98,28,22,-10675,4038,-4620,10808,-86,-1334,1412,-16,-11,-11
2025-11-18T15:32:57.890115,41,55,272,52,260,87,25,24,-10674,4042,-4622,10807,-95,-1354,1432,-35,-13,-9
2025-11-18T15:32:57.912431,40,56,264,51,210,72,25,26,-10673,4046,-4625,10806,-91,-1355,1407,-33,-1,-5
2025-11-18T15:32:57.926676,41,60,190,47,196,71,25,24,-10671,4048,-4627,10806,-89,-1353,1413,-22,-1,-10
2025-11-18T15:32:57.949954,30,59,174,47,201,84,27,24,-10671,4048,-4627,10806,-89,-1373,1418,-13,4,-13
2025-11-18T15:32:57.973002,32,60,207,47,163,78,28,24,-10671,4047,-4627,10806,-81,-1371,1428,3,5,-14
2025-11-18T15:32:57.986673,36,63,217,35,114,76,28,23,-10668,4047,-4628,10808,-86,-1332,1411,-15,12,-19
2025-11-18T15:32:58.009980,37,72,196,32,125,72,26,23,-10664,4050,-4633,10810,-77,-1361,1398,-31,16,-20
2025-11-18T15:32:58.032415,38,81,201,32,144,74,27,23,-10659,4053,-4637,10812,-69,-1371,1394,-18,18,-18
2025-11-18T15:32:58.047472,39,84,247,35,174,89,26,24,-10655,4054,-4641,10813,-85,-1369,1395,-20,20,-18
2025-11-18T15:32:58.070038,37,86,214,37,169,89,28,23,-10650,4055,-4645,10816,-70,-1369,1386,-13,22,-21
2025-11-18T15:32:58.090094,34,88,183,35,171,90,27,22,-10647,4055,-4647,10818,-73,-1346,1383,-6,20,-14
