timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1763560830.8014777,24,21,20,22,60,53,47,28,11120,-11923,-913,-1340,355,-2076,-157,-103,1,-32
1763560830.823538,23,22,22,25,64,53,49,29,11090,-11950,-918,-1346,402,-2068,-162,-216,-9,-56
1763560830.837352,23,23,22,27,66,51,49,30,11036,-11997,-924,-1364,417,-2141,-149,-412,10,-111
1763560830.8611357,20,23,21,27,61,52,46,29,10978,-12047,-931,-1387,422,-2165,-164,-450,23,-138
1763560830.8837855,21,24,21,28,60,46,35,26,10945,-12074,-940,-1405,401,-2117,-179,-251,15,-132
1763560830.8977346,22,25,21,28,64,45,28,25,10934,-12082,-951,-1416,383,-2081,-218,-62,0,-123
1763560830.9208767,24,25,20,27,75,56,24,25,10940,-12075,-962,-1424,376,-2009,-267,94,5,-99
1763560830.943711,23,22,22,26,76,55,22,22,10950,-12064,-971,-1430,380,-1964,-277,132,12,-80
1763560830.957768,23,22,21,26,78,52,22,23,10955,-12059,-977,-1435,403,-1950,-242,74,14,-47
1763560830.980809,25,22,23,26,94,51,24,27,10959,-12055,-977,-1438,413,-2005,-203,36,16,-22
1763560831.0035088,23,21,22,26,96,48,23,26,10967,-12047,-975,-1441,435,-2048,-196,69,25,-6
1763560831.017514,20,21,22,24,84,34,23,26,10982,-12034,-970,-1441,413,-2082,-176,100,31,7
1763560831.0406437,22,23,21,26,90,34,25,27,11001,-12017,-964,-1440,409,-2063,-178,142,35,16
1763560831.0631988,22,22,21,25,90,25,23,25,11018,-12002,-959,-1440,409,-2038,-175,127,34,14
1763560831.077528,19,22,20,27,79,30,21,24,11024,-11997,-952,-1440,409,-2066,-180,49,33,11
1763560831.1010642,19,23,20,30,75,30,27,25,11027,-11995,-945,-1438,393,-2093,-150,6,19,8
1763560831.1241362,22,23,20,35,78,42,43,24,11037,-11986,-941,-1437,406,-2093,-143,56,15,7
1763560831.1380944,22,23,20,35,66,42,47,26,11048,-11977,-939,-1434,390,-2084,-141,72,5,-6
1763560831.1607976,21,23,19,51,76,56,65,29,11047,-11978,-938,-1433,387,-2062,-137,-24,-4,-16
1763560831.183941,20,22,20,76,86,87,84,31,11028,-11995,-938,-1434,393,-2069,-141,-155,-8,-30
1763560831.197698,21,21,21,83,92,102,88,33,10987,-12033,-934,-1434,390,-2074,-151,-328,-22,-16
1763560831.2206845,21,24,22,102,97,108,91,36,10909,-12105,-924,-1430,388,-2028,-112,-651,-46,19
1763560831.2436056,20,25,28,112,104,114,107,38,10799,-12203,-914,-1439,375,-2052,-148,-879,-21,-44
1763560831.265911,22,25,29,107,106,111,104,42,10668,-12319,-899,-1441,316,-2126,-238,-1010,-27,-42
1763560831.2805798,23,27,30,93,118,148,92,44,10518,-12451,-863,-1435,304,-2043,-304,-1149,-4,73
1763560831.3039465,23,27,30,88,140,151,87,42,10356,-12590,-811,-1423,297,-2113,-384,-1221,32,159
1763560831.325845,23,25,32,69,150,178,80,40,10201,-12726,-714,-1380,226,-2134,-463,-1187,64,431
1763560831.341005,27,53,32,84,196,221,55,71,10024,-12880,-585,-1307,179,-2077,-627,-1293,52,674
1763560831.3634107,30,76,41,107,248,316,47,95,9856,-13021,-427,-1249,229,-2348,-568,-1324,202,764
1763560831.3859217,31,89,46,140,293,316,57,111,9732,-13125,-244,-1184,120,-2377,-656,-1000,293,885
1763560831.4008236,35,103,50,151,321,335,63,131,9634,-13204,-66,-1128,65,-2263,-673,-790,331,839
1763560831.423291,41,109,51,160,351,354,65,140,9545,-13272,103,-1088,94,-2260,-750,-690,372,788
1763560831.4457617,43,101,49,153,345,346,65,127,9462,-13331,271,-1066,134,-2216,-748,-642,439,760
1763560831.4607341,43,86,42,140,315,280,63,110,9380,-13385,441,-1049,80,-2126,-759,-611,474,753
1763560831.4831393,44,74,37,107,303,297,52,95,9279,-13450,608,-1036,50,-2078,-820,-714,487,712
1763560831.5057995,50,59,33,89,296,321,50,66,9165,-13519,778,-1033,78,-2040,-783,-815,526,718
1763560831.5201185,49,49,30,70,259,298,46,47,9060,-13579,945,-1043,66,-2078,-806,-752,582,675
1763560831.5436883,53,45,29,53,244,302,47,58,8965,-13629,1098,-1060,46,-2083,-829,-677,570,593
1763560831.5656843,57,47,28,53,266,297,46,57,8886,-13667,1238,-1078,38,-2024,-835,-557,530,538
1763560831.5800052,58,45,27,53,232,261,44,54,8827,-13692,1363,-1099,15,-1942,-825,-415,501,474
1763560831.6036878,56,41,24,57,210,201,42,57,8769,-13716,1480,-1110,19,-1955,-877,-391,422,469
1763560831.6336606,56,38,22,58,235,231,57,59,8728,-13731,1585,-1107,-16,-1946,-925,-274,325,460
1763560831.6398995,50,38,22,65,229,275,79,49,8705,-13735,1678,-1094,-8,-1956,-966,-138,233,456
1763560831.663225,43,36,24,65,193,282,83,48,8679,-13743,1761,-1072,24,-1908,-1049,-119,145,455
1763560831.6856585,44,36,27,74,187,286,89,50,8647,-13756,1830,-1044,37,-1776,-1028,-153,72,418
1763560831.700003,38,37,31,84,175,282,90,46,8592,-13785,1892,-1003,17,-1792,-1028,-319,2,403
1763560831.723636,34,39,40,95,190,249,86,51,8527,-13820,1955,-955,21,-1827,-960,-445,-35,426
1763560831.7456865,34,39,39,94,196,166,69,52,8483,-13842,2013,-916,29,-1832,-955,-311,-15,408
1763560831.7599237,35,39,37,93,212,134,70,54,8453,-13855,2062,-890,6,-1847,-985,-202,14,327
1763560831.7832112,28,40,34,86,212,126,72,51,8425,-13867,2096,-878,6,-1854,-998,-172,30,225
1763560831.8056552,29,36,33,78,202,128,88,48,8397,-13880,2119,-878,11,-1798,-952,-183,59,139
1763560831.827569,28,36,23,61,148,141,100,45,8345,-13903,2163,-908,-13,-1749,-860,-198,142,70
1763560831.8451595,26,37,25,59,131,136,104,41,8307,-13922,2181,-922,-20,-1742,-860,-279,128,47
1763560831.8728192,27,35,26,54,104,160,111,36,8286,-13932,2190,-935,-12,-1819,-854,-190,85,29
1763560831.8877468,26,34,27,51,99,151,119,35,8273,-13939,2193,-942,-2,-1843,-952,-108,25,21
1763560831.9124544,24,31,28,42,90,155,110,37,8267,-13943,2188,-943,0,-1802,-939,-69,-23,3
