timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1763558317.9739044,23,24,32,129,186,39,35,45,-8211,9427,7463,-7513,-192,-2181,-164,25,-32,-23
1763558317.993057,22,24,34,143,201,38,35,46,-8218,9414,7459,-7526,-187,-2128,-161,102,-45,-16
1763558318.007214,23,24,35,141,199,33,31,44,-8223,9404,7453,-7539,-200,-2118,-163,98,-37,-10
1763558318.0301647,22,22,33,133,208,28,27,27,-8227,9397,7447,-7549,-221,-2119,-148,66,-22,-20
1763558318.0535738,23,22,33,110,144,29,26,28,-8232,9394,7443,-7551,-205,-2108,-152,46,9,-34
1763558318.0676503,22,21,29,116,148,30,29,46,-8237,9394,7439,-7551,-189,-2091,-137,18,28,-17
1763558318.0904992,23,20,26,115,149,29,31,50,-8239,9397,7431,-7551,-183,-2088,-127,10,34,11
1763558318.1131968,25,20,25,123,146,28,31,50,-8237,9404,7422,-7555,-209,-2072,-150,10,30,30
1763558318.127543,23,20,26,119,124,31,30,51,-8235,9409,7412,-7560,-240,-2106,-147,15,20,23
1763558318.150252,24,19,23,130,123,31,31,49,-8234,9411,7407,-7563,-193,-2097,-167,23,11,11
1763558318.1736038,25,17,24,116,109,30,31,44,-8237,9411,7404,-7564,-145,-2056,-153,27,9,13
1763558318.187725,27,19,22,101,119,33,28,54,-8237,9412,7401,-7565,-155,-2080,-131,0,3,16
1763558318.209797,25,22,27,112,133,34,30,58,-8236,9412,7401,-7566,-197,-2119,-143,9,-14,2
1763558318.233259,25,22,30,123,161,32,34,57,-8240,9404,7399,-7573,-202,-2128,-121,44,-28,-23
1763558318.2474883,25,21,30,107,159,31,34,59,-8247,9392,7397,-7582,-193,-2088,-131,84,-34,-39
1763558318.270566,26,23,29,106,160,32,35,59,-8256,9378,7397,-7590,-121,-2077,-123,82,-40,-14
1763558318.2935274,27,24,31,175,173,34,36,46,-8260,9369,7391,-7603,-139,-2119,-101,67,-39,35
1763558318.3080826,29,30,28,166,167,35,36,52,-8259,9366,7379,-7620,-197,-2104,-129,80,-31,62
1763558318.33054,33,30,29,163,168,40,39,114,-8259,9360,7363,-7642,-257,-2118,-41,71,-35,49
1763558318.3533723,33,31,28,165,168,37,40,120,-8250,9364,7342,-7667,-362,-2185,42,-13,-20,77
1763558318.3673468,31,31,30,165,188,37,38,118,-8224,9388,7322,-7686,-503,-2263,-19,-109,10,77
1763558318.389949,28,32,31,95,156,42,40,118,-8211,9406,7298,-7699,-614,-2331,-39,-51,57,-24
1763558318.4132316,30,25,30,88,157,82,50,115,-8222,9415,7265,-7709,-604,-2313,-44,79,123,-80
1763558318.4278178,26,25,28,83,123,97,51,57,-8243,9425,7229,-7706,-467,-2083,-106,122,197,-70
1763558318.450302,25,26,31,85,125,99,48,47,-8243,9459,7221,-7672,-353,-1909,-169,-123,226,-76
1763558318.4733932,26,27,29,81,85,100,48,58,-8231,9512,7234,-7608,-277,-1931,-227,-326,272,-115
1763558318.4878607,28,22,28,71,117,99,53,103,-8214,9566,7256,-7536,-240,-1937,-246,-390,269,-125
1763558318.5107915,28,23,29,72,117,72,45,111,-8196,9611,7277,-7480,-139,-1964,-228,-340,189,-45
1763558318.5333927,30,25,31,62,116,77,49,110,-8196,9631,7293,-7437,4,-1909,-193,-191,142,-30
1763558318.547843,31,27,32,53,117,98,51,110,-8211,9628,7314,-7404,7,-1872,-227,-44,64,-115
1763558318.5705247,31,29,32,52,151,106,57,113,-8220,9620,7348,-7372,99,-1791,-202,-100,-3,-118
