timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-19T11:19:52.165659,367,201,308,77,401,320,102,83,9644,-10644,7746,-1462,-949,-1792,-606,24,-4,-17
2025-11-19T11:19:52.176687,353,214,358,81,396,289,93,76,9648,-10641,7744,-1464,-935,-1785,-609,28,-6,-10
2025-11-19T11:19:52.199592,379,230,339,78,363,278,86,77,9650,-10640,7744,-1464,-951,-1763,-630,22,-6,-11
2025-11-19T11:19:52.218544,385,240,332,76,411,305,96,82,9651,-10638,7745,-1464,-949,-1778,-631,18,-2,-6
2025-11-19T11:19:52.237122,362,239,317,75,406,320,107,78,9651,-10637,7746,-1464,-942,-1776,-636,16,0,-3
2025-11-19T11:19:52.258348,339,212,281,84,374,325,103,79,9650,-10638,7746,-1463,-936,-1786,-633,5,1,-1
2025-11-19T11:19:52.284033,400,198,212,76,423,320,107,86,9650,-10638,7746,-1463,-939,-1786,-610,-5,1,-1
2025-11-19T11:19:52.305980,341,166,199,68,424,350,109,78,9651,-10637,7746,-1463,-942,-1787,-591,-6,1,-2
2025-11-19T11:19:52.316747,346,148,202,71,366,311,99,73,9651,-10637,7746,-1463,-951,-1790,-612,13,-1,-7
2025-11-19T11:19:52.334542,346,142,203,68,348,286,89,76,9653,-10636,7746,-1463,-934,-1763,-622,22,-7,-10
2025-11-19T11:19:52.354079,362,136,215,58,324,277,96,81,9652,-10636,7746,-1463,-927,-1776,-630,15,4,1
2025-11-19T11:19:52.377274,277,113,236,81,272,302,86,71,9652,-10636,7746,-1463,-924,-1787,-634,9,14,13
2025-11-19T11:19:52.398152,291,125,213,84,279,280,85,72,9648,-10637,7750,-1462,-938,-1795,-625,-14,17,11
2025-11-19T11:19:52.415875,279,158,227,89,347,303,84,89,9648,-10637,7750,-1462,-942,-1805,-631,-10,10,12
2025-11-19T11:19:52.438774,281,157,232,90,378,356,95,89,9648,-10637,7750,-1462,-932,-1809,-630,-3,11,6
2025-11-19T11:19:52.458016,297,164,221,89,439,377,90,78,9648,-10637,7750,-1463,-928,-1815,-618,5,15,10
2025-11-19T11:19:52.476594,334,169,228,77,437,346,88,80,9649,-10634,7752,-1466,-942,-1802,-599,17,20,2
2025-11-19T11:19:52.498861,356,161,240,89,487,353,94,84,9652,-10630,7753,-1470,-946,-1796,-583,22,24,-2
2025-11-19T11:19:52.521183,335,135,224,81,437,364,91,72,9655,-10626,7754,-1474,-953,-1777,-585,21,17,-11
2025-11-19T11:19:52.540734,354,157,248,82,515,380,87,80,9655,-10625,7754,-1475,-950,-1766,-607,9,8,-19
2025-11-19T11:19:52.558621,356,151,245,88,483,366,82,80,9655,-10626,7752,-1477,-950,-1759,-602,5,8,-34
2025-11-19T11:19:52.581672,336,143,230,81,505,401,89,80,9655,-10626,7752,-1481,-957,-1769,-618,18,14,-29
2025-11-19T11:19:52.596354,345,151,225,67,467,398,83,78,9654,-10625,7754,-1481,-980,-1762,-623,9,14,-25
2025-11-19T11:19:52.618928,347,161,327,82,501,419,93,73,9653,-10626,7756,-1478,-987,-1767,-607,-16,8,-23
2025-11-19T11:19:52.641307,346,146,307,79,413,379,89,64,9649,-10629,7757,-1474,-989,-1785,-617,-30,5,-19
2025-11-19T11:19:52.656320,321,143,308,76,389,363,91,79,9647,-10631,7758,-1473,-976,-1805,-616,-19,9,-15
2025-11-19T11:19:52.678835,317,150,294,74,366,325,93,77,9647,-10630,7758,-1472,-960,-1789,-604,-6,14,-9
2025-11-19T11:19:52.701002,285,149,294,71,352,320,94,78,9643,-10633,7760,-1472,-948,-1791,-629,-19,14,-10
2025-11-19T11:19:52.716247,274,126,177,51,283,264,84,81,9639,-10637,7760,-1470,-951,-1802,-619,-30,2,-14
2025-11-19T11:19:52.738535,291,147,193,51,260,237,80,86,9638,-10640,7758,-1470,-933,-1795,-617,-14,-5,-17
2025-11-19T11:19:52.769051,274,157,192,51,267,252,86,76,9638,-10640,7758,-1470,-931,-1791,-625,-2,0,-13
2025-11-19T11:19:52.776192,272,146,201,62,341,249,83,74,9637,-10640,7758,-1470,-924,-1799,-627,3,8,-16
2025-11-19T11:19:52.802803,279,140,179,60,341,246,80,71,9635,-10642,7756,-1472,-931,-1789,-643,1,-1,-19
2025-11-19T11:19:52.821521,279,146,165,61,354,272,90,78,9633,-10646,7754,-1472,-933,-1776,-636,-8,-8,-25
2025-11-19T11:19:52.837356,222,117,144,75,364,297,90,68,9631,-10650,7750,-1472,-930,-1790,-625,-16,-11,-29
2025-11-19T11:19:52.863842,227,104,136,75,365,288,80,64,9630,-10654,7746,-1475,-917,-1827,-627,-7,-7,-25
2025-11-19T11:19:52.881209,235,115,167,70,261,286,81,64,9630,-10656,7743,-1479,-921,-1816,-647,14,-5,-24
2025-11-19T11:19:52.903408,217,116,187,74,251,279,83,70,9629,-10658,7741,-1480,-927,-1788,-617,-9,-1,-17
2025-11-19T11:19:52.918829,232,120,196,74,271,248,71,55,9629,-10659,7741,-1480,-926,-1823,-629,5,11,-13
2025-11-19T11:19:52.940845,250,126,197,65,261,223,69,57,9632,-10657,7738,-1485,-932,-1822,-619,29,3,-15
2025-11-19T11:19:52.956403,243,122,196,68,279,229,79,60,9638,-10653,7735,-1494,-918,-1814,-611,54,10,-24
2025-11-19T11:19:52.978541,237,114,168,71,289,219,80,68,9641,-10649,7734,-1505,-909,-1801,-615,52,23,-23
2025-11-19T11:19:53.001401,220,99,140,76,272,222,79,66,9642,-10647,7734,-1514,-907,-1814,-620,40,30,-14
2025-11-19T11:19:53.016183,196,87,143,81,248,243,81,72,9646,-10643,7733,-1522,-928,-1795,-589,32,21,-23
2025-11-19T11:19:53.046207,170,81,132,77,232,255,84,71,9647,-10645,7727,-1529,-928,-1795,-616,28,6,-55
