timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-19T13:47:28.859360,138,150,233,319,245,66,33,40,11909,-11063,2044,-188,-346,-2028,123,-28,-30,1
2025-11-19T13:47:28.881520,111,140,261,353,261,78,38,39,11904,-11069,2039,-181,-327,-2022,114,-49,-43,12
2025-11-19T13:47:28.897597,114,147,238,395,265,77,37,43,11894,-11082,2034,-172,-327,-2041,99,-88,-52,16
2025-11-19T13:47:28.924362,111,145,239,366,271,76,37,36,11886,-11092,2027,-163,-320,-2061,118,-81,-56,19
2025-11-19T13:47:28.935383,92,135,260,369,270,67,38,37,11883,-11096,2019,-154,-333,-2048,127,-43,-62,7
2025-11-19T13:47:28.958620,92,151,238,344,263,84,40,35,11878,-11103,2009,-143,-345,-2058,127,-68,-81,2
2025-11-19T13:47:28.976757,96,154,230,341,267,82,37,34,11875,-11109,1998,-135,-361,-2077,139,-57,-71,-18
2025-11-19T13:47:28.997577,110,144,214,327,277,86,40,32,11879,-11106,1987,-130,-350,-2070,149,3,-59,-24
2025-11-19T13:47:29.015730,114,154,222,318,219,89,41,35,11888,-11099,1977,-129,-348,-2042,136,47,-50,-33
2025-11-19T13:47:29.040841,122,162,215,413,220,96,44,37,11890,-11098,1969,-128,-338,-2031,122,6,-38,-22
2025-11-19T13:47:29.053668,126,159,216,402,212,82,43,39,11888,-11101,1965,-127,-332,-2024,122,-34,-20,-13
2025-11-19T13:47:29.078294,128,185,193,391,186,76,43,41,11882,-11107,1964,-126,-314,-2040,104,-42,-1,7
2025-11-19T13:47:29.097341,112,187,250,395,195,69,41,39,11878,-11111,1966,-126,-309,-2047,107,-35,14,24
2025-11-19T13:47:29.115274,104,172,242,398,238,65,38,37,11876,-11112,1971,-129,-308,-2043,109,-10,31,25
2025-11-19T13:47:29.137482,90,163,233,296,220,58,34,38,11871,-11118,1976,-130,-309,-2016,101,-42,29,21
2025-11-19T13:47:29.156917,85,144,231,314,239,57,30,39,11861,-11127,1981,-131,-310,-2039,98,-74,30,25
2025-11-19T13:47:29.175403,92,104,224,319,277,59,35,38,11852,-11136,1985,-133,-310,-2050,113,-77,32,23
2025-11-19T13:47:29.197899,94,152,157,296,269,60,34,39,11846,-11141,1991,-134,-343,-2078,109,-53,32,13
2025-11-19T13:47:29.217668,114,159,178,285,247,69,39,41,11848,-11138,1996,-136,-343,-2063,132,2,30,13
2025-11-19T13:47:29.235436,122,157,189,322,248,75,45,37,11854,-11131,2000,-137,-358,-2041,139,31,17,9
2025-11-19T13:47:29.258196,123,161,199,318,249,85,47,39,11859,-11125,2003,-135,-370,-2030,141,17,6,5
2025-11-19T13:47:29.277043,119,163,226,290,221,85,44,40,11860,-11124,2003,-135,-377,-2059,141,-12,-8,0
2025-11-19T13:47:29.295240,120,130,233,300,213,88,44,42,11867,-11117,2004,-132,-398,-2067,160,25,-9,-9
2025-11-19T13:47:29.317606,107,120,226,297,206,86,39,41,11877,-11106,2004,-132,-402,-2041,126,69,-8,-20
2025-11-19T13:47:29.337129,104,117,211,256,220,87,35,40,11882,-11100,2006,-132,-404,-2022,118,36,5,-22
2025-11-19T13:47:29.355662,101,128,209,230,210,82,33,35,11882,-11099,2009,-133,-406,-2048,116,3,15,-25
2025-11-19T13:47:29.378044,107,146,188,266,223,85,35,36,11881,-11099,2013,-135,-399,-2016,82,7,19,-24
2025-11-19T13:47:29.397319,106,134,213,257,231,83,33,36,11876,-11105,2016,-137,-373,-2036,81,-27,20,-18
2025-11-19T13:47:29.415540,110,138,211,281,266,82,34,43,11871,-11109,2020,-139,-364,-2034,76,-21,22,-3
