timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-19T13:25:13.294446,237,103,305,275,664,329,103,236,11514,-3150,-7123,8671,854,-1474,1125,-149,283,167
2025-11-19T13:25:13.314191,239,96,298,274,655,327,101,226,11522,-3197,-7092,8669,838,-1446,1116,-102,288,132
2025-11-19T13:25:13.345263,240,98,290,252,560,322,111,222,11531,-3244,-7058,8668,794,-1422,1121,-100,294,132
2025-11-19T13:25:13.352910,296,102,319,260,589,377,132,272,11540,-3295,-7022,8665,763,-1428,1126,-115,307,130
2025-11-19T13:25:13.374620,337,96,280,253,696,411,138,284,11550,-3351,-6983,8662,738,-1463,1131,-116,330,121
2025-11-19T13:25:13.397083,330,91,284,274,638,393,131,249,11561,-3405,-6942,8660,709,-1450,1136,-107,334,125
2025-11-19T13:25:13.415231,363,87,258,233,653,411,130,252,11568,-3465,-6904,8657,660,-1435,1102,-136,322,134
2025-11-19T13:25:13.435778,367,83,268,230,707,431,130,272,11574,-3526,-6867,8652,654,-1477,1147,-157,314,119
2025-11-19T13:25:13.455846,332,74,289,230,679,391,100,208,11582,-3582,-6831,8648,629,-1467,1138,-134,300,102
2025-11-19T13:25:13.470758,285,75,280,231,553,346,88,203,11586,-3641,-6798,8645,596,-1487,1147,-158,275,114
2025-11-19T13:25:13.494685,298,76,255,191,585,338,86,207,11587,-3702,-6757,8649,547,-1520,1186,-141,283,147
2025-11-19T13:25:13.517349,260,74,267,210,602,328,93,196,11587,-3761,-6715,8656,512,-1505,1196,-127,269,153
2025-11-19T13:25:13.532582,279,73,242,223,634,373,103,165,11587,-3817,-6677,8661,508,-1508,1177,-128,251,131
2025-11-19T13:25:13.554988,292,75,214,193,622,350,104,170,11587,-3865,-6642,8667,487,-1512,1184,-102,211,119
2025-11-19T13:25:13.577471,338,78,234,210,655,373,107,159,11581,-3912,-6613,8675,454,-1522,1193,-121,160,116
2025-11-19T13:25:13.592544,344,82,258,221,683,430,119,171,11576,-3956,-6587,8683,439,-1566,1190,-110,141,95
