timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-19T18:13:19.667916,41,20,28,190,44,25,17,24,-41,923,-13993,8472,110,-1922,-1020,-18,3,0
2025-11-19T18:13:19.681933,40,21,29,259,48,28,15,20,-41,923,-13994,8470,111,-1921,-993,-18,1,-2
2025-11-19T18:13:19.705481,50,23,29,239,47,26,17,23,-41,923,-13994,8470,115,-1917,-1011,-13,-9,-1
2025-11-19T18:13:19.731687,50,22,27,233,44,25,18,25,-41,923,-13994,8470,117,-1916,-1005,-5,-5,-2
2025-11-19T18:13:19.793742,53,24,28,285,40,24,19,26,-41,923,-13994,8470,114,-1919,-1004,-2,0,1
2025-11-19T18:13:19.797734,53,24,29,286,38,23,19,24,-42,923,-13994,8470,108,-1903,-1006,-6,-3,6
2025-11-19T18:13:19.799871,51,22,25,202,42,21,21,23,-42,923,-13994,8470,113,-1909,-1008,-7,-3,0
2025-11-19T18:13:19.802758,43,21,22,196,37,21,21,21,-42,923,-13994,8470,115,-1913,-1002,-10,-6,0
2025-11-19T18:13:19.821161,47,22,26,216,37,22,20,18,-42,923,-13994,8471,115,-1916,-1000,-2,-7,-5
2025-11-19T18:13:19.851390,48,21,26,154,37,21,21,17,-42,923,-13994,8471,106,-1922,-1003,-9,-3,0
2025-11-19T18:13:19.858592,43,22,27,168,37,21,21,16,-42,923,-13994,8471,111,-1921,-1012,-6,1,1
2025-11-19T18:13:19.881580,42,22,27,164,34,20,20,20,-42,923,-13994,8471,113,-1912,-998,-8,1,2
2025-11-19T18:13:19.904072,41,23,28,159,34,23,20,21,-42,923,-13994,8471,115,-1914,-1008,-11,-2,-1
2025-11-19T18:13:19.919869,41,21,28,125,35,24,20,22,-42,923,-13994,8471,113,-1903,-1005,-15,-4,-3
2025-11-19T18:13:19.943513,37,20,28,160,35,25,18,24,-42,923,-13996,8467,111,-1910,-1005,-24,-3,-3
2025-11-19T18:13:19.966200,39,20,29,183,42,24,20,24,-43,924,-13998,8464,115,-1910,-1012,-21,-6,-1
2025-11-19T18:13:19.981147,39,22,30,203,40,25,20,20,-43,924,-13998,8464,117,-1911,-1009,-9,-2,-1
2025-11-19T18:13:20.010522,38,22,32,260,43,22,20,21,-43,924,-13998,8464,113,-1905,-1022,-3,-3,2
2025-11-19T18:13:20.025913,32,22,30,273,48,20,20,20,-43,924,-13998,8464,117,-1918,-1010,-1,-4,4
2025-11-19T18:13:20.048461,30,21,29,252,52,20,21,20,-43,924,-13998,8464,116,-1913,-1011,-8,-5,3
2025-11-19T18:13:20.063693,29,21,31,269,48,19,21,22,-43,924,-13998,8464,110,-1918,-1014,-3,-3,0
2025-11-19T18:13:20.086915,26,21,31,275,46,20,21,22,-43,924,-13998,8464,115,-1917,-995,-6,-2,2
2025-11-19T18:13:20.108747,30,21,29,246,45,22,23,24,-43,924,-13998,8464,116,-1912,-1011,-10,-10,1
2025-11-19T18:13:20.123752,34,21,28,236,48,23,23,24,-45,925,-14000,8461,116,-1912,-1009,-18,-11,0
2025-11-19T18:13:20.146232,35,23,27,232,42,21,21,26,-45,926,-14002,8457,119,-1913,-1010,-25,-10,-2
2025-11-19T18:13:20.160583,33,22,23,179,41,22,21,25,-46,926,-14004,8454,116,-1916,-1023,-22,-5,0
2025-11-19T18:13:20.183728,34,22,26,219,50,22,21,25,-46,926,-14004,8453,117,-1908,-1017,-14,-3,-2
2025-11-19T18:13:20.213756,32,20,26,198,51,21,18,24,-46,926,-14004,8454,123,-1916,-1007,-2,-7,-2
2025-11-19T18:13:20.220476,38,19,26,222,45,20,18,24,-45,926,-14004,8453,122,-1911,-1016,6,-3,-2
2025-11-19T18:13:20.243561,37,19,30,243,46,22,18,22,-45,927,-14004,8454,124,-1914,-1010,8,0,3
2025-11-19T18:13:20.266180,37,18,30,245,47,24,19,20,-45,926,-14004,8454,104,-1917,-1003,4,3,5
2025-11-19T18:13:20.280385,36,17,27,183,40,24,19,19,-46,926,-14004,8454,111,-1915,-1012,6,0,6
2025-11-19T18:13:20.303563,34,17,27,178,40,26,20,18,-46,926,-14004,8454,117,-1912,-1000,1,-4,2
