timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-24T15:05:26.554233,23,41,171,116,92,91,42,26,8396,-11705,6771,-3884,-229,-1981,-763,-4,-9,-37
2025-11-24T15:05:26.566806,24,37,148,142,86,94,36,25,8402,-11705,6765,-3882,-229,-1966,-741,11,-27,-35
2025-11-24T15:05:26.588100,24,40,158,150,91,92,38,26,8407,-11707,6758,-3877,-229,-1992,-773,12,-44,-33
2025-11-24T15:05:26.612865,25,39,173,161,98,109,37,26,8414,-11707,6751,-3873,-226,-1998,-771,27,-44,-29
2025-11-24T15:05:26.627735,25,37,203,155,98,116,42,29,8420,-11707,6747,-3868,-210,-1992,-790,23,-42,-8
2025-11-24T15:05:26.652463,28,38,194,129,94,113,48,29,8425,-11708,6744,-3862,-223,-2000,-777,7,-40,-11
2025-11-24T15:05:26.671615,25,33,183,99,96,106,47,27,8428,-11709,6741,-3855,-227,-2010,-791,5,-36,-5
2025-11-24T15:05:26.685242,26,33,183,89,95,106,45,25,8432,-11709,6740,-3846,-241,-2005,-782,0,-39,-2
2025-11-24T15:05:26.707616,24,33,189,75,90,86,47,28,8437,-11708,6739,-3842,-230,-2020,-787,14,-25,-1
2025-11-24T15:05:26.731319,25,32,157,81,89,79,44,26,8443,-11705,6738,-3840,-225,-1985,-777,35,-14,-4
2025-11-24T15:05:26.747443,24,42,244,100,79,76,38,27,8446,-11704,6738,-3835,-231,-1968,-779,11,-21,0
2025-11-24T15:05:26.770368,24,48,277,99,84,88,38,27,8446,-11704,6738,-3834,-235,-1984,-773,3,-12,1
2025-11-24T15:05:26.793338,24,51,282,103,81,92,43,29,8450,-11702,6739,-3829,-228,-1976,-772,13,-17,9
2025-11-24T15:05:26.807930,25,49,280,102,79,92,41,26,8454,-11701,6738,-3827,-208,-1983,-772,16,-19,3
