timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764006242.8738697,22,26,18,21,20,22,24,21,10776,-12179,-1930,-526,418,-2050,-283,5,-5,-1
1764006242.8962402,21,27,17,21,20,21,24,22,10776,-12179,-1930,-526,426,-2042,-285,0,-2,0
1764006242.9117715,18,27,19,22,19,20,23,21,10776,-12179,-1930,-526,423,-2052,-284,-7,2,2
1764006242.9341867,17,26,20,22,21,19,22,21,10776,-12179,-1930,-526,419,-2040,-282,-11,2,1
1764006242.956754,17,27,20,23,21,18,22,22,10775,-12179,-1930,-526,414,-2046,-305,-12,1,5
1764006242.9797482,17,26,20,21,20,19,22,23,10775,-12179,-1930,-525,427,-2065,-290,-9,-3,4
1764006242.9943402,19,24,20,22,20,18,22,23,10775,-12179,-1930,-525,424,-2075,-295,5,-1,0
1764006243.0165315,19,24,21,22,19,20,21,24,10775,-12180,-1929,-525,421,-2062,-294,-9,1,-4
1764006243.0387955,21,25,22,22,18,21,21,23,10774,-12180,-1929,-525,421,-2075,-302,-11,-4,-6
1764006243.0541759,28,39,21,21,17,21,21,23,10774,-12180,-1929,-525,427,-2058,-292,9,-5,-11
1764006243.0848298,29,41,22,22,19,19,21,22,10775,-12179,-1932,-525,428,-2040,-296,16,-7,-11
1764006243.0994246,28,42,22,21,19,22,22,23,10776,-12178,-1934,-525,422,-2033,-296,17,-5,-12
1764006243.121726,29,42,21,20,20,22,22,23,10776,-12178,-1934,-525,415,-2034,-291,5,0,-6
1764006243.1368217,27,45,21,20,19,20,22,22,10775,-12178,-1934,-525,419,-2049,-304,-6,2,-5
1764006243.159023,22,55,22,20,20,21,23,23,10775,-12179,-1934,-525,420,-2048,-311,-5,4,-3
1764006243.1744347,28,57,20,22,19,22,23,39,10774,-12180,-1934,-524,416,-2046,-315,-2,10,-1
1764006243.1965532,38,59,21,22,19,22,21,38,10774,-12180,-1934,-524,411,-2055,-301,-3,8,3
1764006243.2193532,39,63,21,22,19,24,24,39,10774,-12180,-1934,-524,419,-2064,-292,-2,10,3
1764006243.2342727,44,87,23,22,19,26,26,41,10774,-12180,-1933,-524,423,-2055,-289,2,5,6
1764006243.2570357,46,80,23,23,18,25,25,40,10774,-12180,-1933,-524,425,-2051,-281,-4,6,-3
1764006243.2788866,47,82,24,21,17,25,23,27,10773,-12180,-1933,-524,424,-2056,-293,-2,5,-8
1764006243.2937512,42,82,24,20,17,25,25,26,10773,-12180,-1933,-524,427,-2062,-288,4,0,-4
1764006243.3166192,41,80,23,20,17,23,24,25,10773,-12181,-1933,-523,424,-2044,-299,10,-1,-7
1764006243.3392634,36,51,21,21,18,24,24,23,10773,-12181,-1933,-523,414,-2043,-298,6,-3,-6
1764006243.3615577,35,41,20,18,20,25,23,24,10772,-12181,-1933,-523,411,-2040,-293,2,2,-3
1764006243.376418,32,70,20,18,19,27,26,24,10772,-12182,-1933,-523,421,-2043,-302,1,2,-7
1764006243.3990777,30,71,19,21,20,26,23,25,10768,-12185,-1934,-523,421,-2037,-298,-20,-5,-2
1764006243.4138625,32,72,20,21,23,27,24,25,10760,-12192,-1935,-524,430,-2054,-302,-52,-4,-6
1764006243.4369488,33,72,19,26,32,36,31,28,10749,-12202,-1937,-525,432,-2076,-326,-67,-10,-10
1764006243.467644,31,72,19,41,132,61,42,32,10730,-12216,-1944,-528,447,-2141,-350,-112,-24,-36
1764006243.4745507,32,40,25,75,184,84,65,39,10686,-12253,-1966,-504,362,-2445,-260,-362,-215,-68
1764006243.4968567,31,37,51,198,243,128,91,46,10577,-12342,-2009,-462,629,-1920,-49,-890,-474,135
1764006243.5189016,36,38,58,220,346,144,108,54,10477,-12428,-2018,-407,648,-2223,-339,-738,-373,312
1764006243.5339646,35,38,72,291,415,149,109,56,10426,-12477,-1996,-251,237,-2865,-699,-213,-581,520
1764006243.5563316,43,52,92,303,421,148,109,57,10446,-12472,-1943,30,30,-2967,-490,250,-961,995
1764006243.5792992,40,73,91,316,467,146,100,55,10490,-12446,-1818,430,-387,-2929,-388,468,-1165,1566
1764006243.5941546,41,74,85,264,447,122,83,51,10498,-12440,-1660,854,-672,-2726,-244,309,-1216,2081
1764006243.6169605,39,77,94,279,386,105,60,41,10486,-12439,-1440,1302,-807,-2844,-158,228,-1105,2437
1764006243.6393788,46,82,89,221,334,96,56,38,10500,-12397,-1163,1778,-920,-2902,-65,516,-1025,2759
1764006243.6539397,99,154,73,205,324,88,53,32,10553,-12298,-845,2259,-941,-2649,1,918,-921,2926
1764006243.6770303,111,203,100,235,245,74,47,28,10612,-12174,-491,2715,-902,-2428,53,1059,-705,3002
1764006243.699343,115,220,144,315,238,55,41,25,10666,-12036,-113,3129,-890,-2300,-6,1115,-462,2970
1764006243.7215152,118,223,159,445,264,66,45,27,10714,-11887,272,3505,-893,-2187,20,1151,-291,2878
1764006243.7363214,117,228,168,471,240,66,48,34,10761,-11723,654,3846,-995,-2071,-34,1211,-191,2745
1764006243.7592492,77,192,226,498,276,66,46,35,10838,-11529,1013,4126,-874,-1846,2,1432,-71,2413
1764006243.774311,75,147,240,531,387,81,48,38,10921,-11348,1337,4312,-712,-1717,-4,1398,179,1933
1764006243.796292,71,127,253,535,458,91,50,41,11020,-11182,1634,4393,-787,-1710,38,1427,490,1477
1764006243.819526,65,123,260,479,483,99,53,48,11132,-11029,1899,4387,-839,-1703,58,1441,713,999
1764006243.8344045,64,111,268,512,621,113,57,45,11241,-10910,2131,4302,-808,-1562,44,1314,931,545
1764006243.8567178,60,100,241,514,633,130,64,45,11303,-10859,2323,4166,-742,-1423,8,871,1094,208
1764006243.8788784,41,76,241,474,617,127,73,46,11273,-10922,2456,4004,-718,-1395,31,-2,1207,-63
1764006243.9016023,38,65,229,468,644,128,73,50,11183,-11067,2516,3816,-711,-1605,-33,-602,1183,-372
1764006243.9165337,42,85,250,549,666,127,78,45,11110,-11212,2541,3580,-582,-2060,-85,-534,1210,-536
1764006243.9392128,47,87,240,525,554,117,74,50,11117,-11277,2571,3324,-502,-2153,-109,100,1139,-579
1764006243.9615223,52,100,357,552,548,104,72,54,11181,-11272,2617,3084,-451,-1936,-122,595,1001,-514
1764006243.9766202,59,107,372,560,547,101,69,56,11235,-11263,2663,2871,-496,-1777,-272,612,864,-475
1764006243.9992814,67,128,382,597,523,97,70,52,11257,-11276,2695,2698,-524,-1645,-232,335,721,-422
1764006244.0217333,66,126,392,545,467,86,62,51,11249,-11316,2713,2542,-505,-1679,-235,85,660,-404
1764006244.0369403,84,134,426,607,457,80,61,45,11234,-11357,2728,2408,-469,-1704,-159,-15,589,-310
1764006244.0596464,85,146,359,627,485,78,60,40,11217,-11396,2736,2293,-421,-1670,-74,-83,513,-259
1764006244.0818465,89,179,382,652,431,86,72,44,11194,-11437,2744,2185,-454,-1780,-35,-155,504,-220
1764006244.0966082,96,177,409,641,362,90,74,49,11163,-11482,2753,2098,-585,-1695,-33,-226,444,-229
1764006244.1193264,99,192,469,634,349,95,77,52,11132,-11526,2754,2016,-655,-1780,12,-261,403,-267
1764006244.141882,92,193,477,625,400,99,79,52,11128,-11546,2746,1938,-586,-1838,-37,-53,301,-242
1764006244.1565769,119,187,481,631,360,108,79,52,11136,-11549,2755,1859,-666,-1772,-93,96,336,-229
1764006244.1794531,119,154,461,615,364,105,65,52,11131,-11562,2765,1790,-700,-1644,-182,46,310,-242
1764006244.201886,110,143,427,592,387,107,68,50,11102,-11598,2774,1726,-641,-1606,-122,-176,328,-213
1764006244.216476,110,134,369,579,478,104,64,49,11023,-11674,2797,1682,-663,-1547,-117,-549,384,-122
1764006244.2395496,104,125,338,559,431,109,64,48,10922,-11774,2800,1632,-676,-1779,-108,-764,376,-193
1764006244.2618876,72,170,333,525,416,103,65,65,10876,-11832,2782,1553,-632,-2021,-55,-420,349,-316
1764006244.276597,63,182,347,558,464,98,63,61,10873,-11845,2775,1483,-706,-1972,-142,-37,278,-276
1764006244.2992072,61,182,338,562,479,115,58,64,10873,-11851,2766,1449,-774,-1819,-242,25,104,-210
