timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-24T16:39:08.103862,39,143,27,15,20,18,23,137,-8784,9778,8639,-4586,505,-2016,-577,-15,1,-1
2025-11-24T16:39:08.123967,36,141,25,15,20,19,24,136,-8784,9778,8639,-4586,491,-2018,-583,-3,7,-3
2025-11-24T16:39:08.145092,33,96,25,16,19,18,23,133,-8784,9778,8639,-4586,494,-2006,-580,5,6,-7
2025-11-24T16:39:08.159908,29,101,25,16,20,20,23,130,-8784,9778,8639,-4586,500,-1996,-565,8,3,-5
2025-11-24T16:39:08.182751,28,88,28,22,22,19,21,108,-8784,9778,8639,-4586,499,-1987,-558,4,0,-6
2025-11-24T16:39:08.205004,29,87,30,22,21,21,20,94,-8785,9777,8639,-4586,501,-1980,-551,-1,2,-7
2025-11-24T16:39:08.222029,36,126,31,22,21,22,21,103,-8785,9777,8639,-4586,493,-1997,-562,-4,1,-4
2025-11-24T16:39:08.243152,38,130,32,22,21,22,21,112,-8785,9777,8639,-4586,493,-1997,-567,2,-2,-4
2025-11-24T16:39:08.264229,36,126,32,22,19,21,21,111,-8785,9777,8639,-4586,494,-2002,-570,9,-2,-5
2025-11-24T16:39:08.279268,40,136,27,19,18,21,20,120,-8785,9777,8639,-4586,500,-1991,-570,7,-4,-10
2025-11-24T16:39:08.302066,43,145,27,20,18,19,22,120,-8785,9777,8639,-4586,502,-1992,-568,0,0,-6
2025-11-24T16:39:08.334221,41,126,28,21,19,17,22,123,-8786,9777,8639,-4585,509,-1994,-574,-15,-1,-1
2025-11-24T16:39:08.340828,40,129,26,21,18,18,23,116,-8786,9777,8639,-4585,503,-1999,-574,-12,5,-1
2025-11-24T16:39:08.363865,40,126,25,20,19,18,23,116,-8786,9777,8639,-4585,494,-2005,-577,-2,5,-1
2025-11-24T16:39:08.386206,35,116,25,20,16,18,23,104,-8785,9777,8639,-4585,505,-1999,-585,0,6,-3
2025-11-24T16:39:08.408882,29,100,23,17,17,17,21,79,-8786,9777,8639,-4585,497,-2007,-558,-13,9,-3
2025-11-24T16:39:08.423882,24,78,20,16,22,20,19,51,-8786,9776,8639,-4585,499,-2002,-560,-15,10,-2
2025-11-24T16:39:08.447014,23,73,18,16,28,22,18,40,-8785,9778,8640,-4582,495,-2028,-571,-25,8,-12
2025-11-24T16:39:08.468929,21,74,17,21,37,25,19,35,-8784,9778,8643,-4576,511,-2006,-577,-26,3,-18
2025-11-24T16:39:08.483954,22,74,20,22,63,44,32,33,-8777,9782,8651,-4567,509,-1991,-557,-88,-15,-25
2025-11-24T16:39:08.506516,62,75,23,28,240,99,53,30,-8761,9787,8664,-4564,468,-2095,-489,-162,-76,-39
2025-11-24T16:39:08.528910,94,77,23,31,254,114,55,30,-8745,9787,8682,-4560,482,-2121,-509,-158,-94,-75
2025-11-24T16:39:08.543800,97,44,23,42,260,117,59,28,-8725,9791,8709,-4540,536,-1941,-512,-212,-84,-85
2025-11-24T16:39:08.566177,100,35,27,73,274,136,70,30,-8694,9811,8730,-4515,543,-1988,-514,-321,-60,-14
2025-11-24T16:39:08.588970,101,32,30,96,277,162,72,29,-8661,9850,8725,-4501,463,-2021,-546,-307,20,117
2025-11-24T16:39:08.603915,85,30,35,141,181,168,63,30,-8635,9900,8708,-4476,485,-1970,-542,-327,122,170
2025-11-24T16:39:08.626393,52,31,62,303,165,175,65,35,-8610,9964,8676,-4442,452,-1995,-612,-341,235,221
2025-11-24T16:39:08.648726,45,31,65,309,169,187,66,35,-8584,10042,8626,-4414,445,-2129,-689,-335,291,325
2025-11-24T16:39:08.663489,38,33,72,322,147,183,59,35,-8566,10126,8551,-4405,439,-2091,-687,-227,328,487
2025-11-24T16:39:08.686420,35,33,73,327,144,166,54,35,-8536,10230,8451,-4415,411,-2088,-766,-197,344,699
2025-11-24T16:39:08.708689,31,43,81,313,115,144,54,35,-8473,10374,8336,-4419,413,-1983,-739,-424,357,930
2025-11-24T16:39:08.723754,22,45,80,168,117,132,51,29,-8374,10557,8206,-4417,357,-2085,-728,-700,375,1121
2025-11-24T16:39:08.746437,21,46,96,162,104,124,56,30,-8249,10762,8057,-4432,278,-2189,-778,-790,335,1316
2025-11-24T16:39:08.768487,22,49,113,145,129,133,58,32,-8126,10964,7889,-4469,280,-2173,-775,-702,298,1475
2025-11-24T16:39:08.783931,42,71,181,127,139,144,58,32,-8005,11161,7703,-4520,177,-2155,-842,-590,303,1543
2025-11-24T16:39:08.806409,174,96,225,126,137,138,57,36,-7872,11349,7516,-4602,17,-2143,-889,-518,145,1625
2025-11-24T16:39:08.828974,217,102,279,122,139,148,69,50,-7727,11524,7325,-4719,-41,-2176,-904,-432,-34,1722
2025-11-24T16:39:08.844006,222,110,321,121,135,149,66,53,-7572,11693,7127,-4855,-61,-2074,-898,-396,-131,1805
2025-11-24T16:39:08.866256,238,112,326,94,110,136,63,52,-7406,11859,6927,-4995,-109,-2060,-910,-426,-172,1844
2025-11-24T16:39:08.888905,308,132,321,153,86,113,66,60,-7226,12019,6731,-5144,-230,-2048,-948,-448,-259,1857
2025-11-24T16:39:08.903950,290,205,462,178,102,116,68,79,-7034,12164,6537,-5315,-338,-2057,-952,-412,-410,1887
2025-11-24T16:39:08.926442,284,238,512,185,92,93,61,79,-6842,12298,6332,-5503,-339,-1953,-929,-328,-481,1954
2025-11-24T16:39:08.948983,344,247,528,185,92,81,62,90,-6650,12418,6139,-5684,-369,-1849,-942,-331,-507,1870
2025-11-24T16:39:08.972494,342,250,563,188,111,76,67,97,-6454,12532,5956,-5852,-418,-1835,-906,-385,-493,1790
2025-11-24T16:39:08.986513,318,239,599,155,121,84,70,101,-6263,12634,5776,-6018,-494,-1853,-902,-352,-508,1746
2025-11-24T16:39:09.008972,371,177,497,167,114,82,72,117,-6082,12725,5593,-6184,-604,-1777,-923,-272,-502,1708
2025-11-24T16:39:09.023985,360,130,420,170,120,82,69,114,-5901,12808,5418,-6342,-690,-1729,-944,-289,-497,1636
2025-11-24T16:39:09.046447,379,119,399,219,168,91,78,116,-5723,12884,5271,-6474,-643,-1622,-909,-361,-491,1508
2025-11-24T16:39:09.077210,409,114,367,220,160,88,73,119,-5554,12954,5139,-6585,-716,-1633,-943,-384,-421,1366
2025-11-24T16:39:09.083846,430,117,332,253,162,98,75,121,-5398,13017,5011,-6689,-767,-1616,-914,-347,-384,1292
2025-11-24T16:39:09.115256,375,112,329,242,160,99,70,97,-5250,13076,4896,-6777,-798,-1585,-951,-354,-346,1190
2025-11-24T16:39:09.129241,394,128,335,247,176,113,76,100,-5119,13128,4786,-6853,-850,-1586,-931,-315,-278,1093
2025-11-24T16:39:09.143960,348,130,339,221,137,116,66,114,-5011,13173,4687,-6916,-874,-1523,-956,-223,-225,947
2025-11-24T16:39:09.166485,428,160,355,269,133,122,71,123,-4910,13214,4607,-6964,-889,-1458,-948,-247,-187,810
2025-11-24T16:39:09.189021,403,198,345,245,149,122,73,118,-4829,13243,4536,-7011,-923,-1505,-901,-204,-180,713
2025-11-24T16:39:09.212258,440,224,414,361,153,125,77,120,-4786,13259,4477,-7049,-965,-1545,-923,-48,-137,540
2025-11-24T16:39:09.226395,478,254,438,383,142,114,73,129,-4756,13269,4434,-7076,-1015,-1458,-939,-12,-98,363
2025-11-24T16:39:09.248473,483,266,421,475,135,106,76,119,-4728,13274,4407,-7103,-1033,-1372,-915,-24,-122,261
2025-11-24T16:39:09.263489,386,286,418,474,161,128,86,115,-4720,13274,4395,-7115,-1029,-1464,-896,-13,-59,134
2025-11-24T16:39:09.286448,395,286,426,475,143,122,81,117,-4756,13264,4388,-7114,-1074,-1575,-914,154,35,-12
2025-11-24T16:39:09.309364,374,273,378,429,136,125,86,121,-4790,13254,4381,-7115,-1091,-1413,-921,194,31,-61
2025-11-24T16:39:09.332241,313,253,386,441,132,127,90,124,-4806,13252,4386,-7105,-1116,-1421,-930,56,53,-92
2025-11-24T16:39:09.346379,384,241,381,358,136,124,88,147,-4823,13250,4397,-7089,-1125,-1543,-950,18,72,-96
2025-11-24T16:39:09.368940,449,218,381,351,119,103,75,144,-4857,13244,4400,-7076,-1121,-1559,-927,110,91,-106
2025-11-24T16:39:09.392462,433,191,346,374,126,103,74,153,-4896,13236,4401,-7064,-1158,-1559,-957,159,98,-125
2025-11-24T16:39:09.403583,414,238,363,332,132,93,62,155,-4915,13229,4408,-7060,-1175,-1512,-953,76,27,-116
2025-11-24T16:39:09.426785,497,245,321,299,131,88,59,155,-4923,13223,4423,-7054,-1135,-1546,-914,-18,11,-101
2025-11-24T16:39:09.451664,450,251,363,289,135,88,56,123,-4937,13216,4437,-7049,-1142,-1617,-914,-4,17,-95
2025-11-24T16:39:09.464197,391,241,359,270,133,83,64,146,-4959,13207,4446,-7045,-1121,-1600,-924,61,25,-92
2025-11-24T16:39:09.486223,376,245,356,231,116,72,62,133,-4982,13200,4452,-7040,-1103,-1577,-916,73,32,-85
2025-11-24T16:39:09.509323,414,203,350,236,108,70,65,134,-4998,13195,4461,-7032,-1099,-1547,-946,43,30,-91
2025-11-24T16:39:09.524473,327,175,351,231,108,71,65,141,-5022,13187,4471,-7023,-1070,-1574,-915,65,37,-107
2025-11-24T16:39:09.548083,325,182,307,218,100,73,65,148,-5049,13179,4486,-7009,-1056,-1575,-930,61,52,-144
2025-11-24T16:39:09.572703,316,180,268,207,92,67,56,130,-5076,13171,4508,-6990,-1034,-1543,-936,55,55,-187
2025-11-24T16:39:09.594381,356,165,268,230,97,71,59,136,-5100,13163,4540,-6968,-1012,-1514,-924,15,50,-235
2025-11-24T16:39:09.609041,324,141,194,218,93,66,54,129,-5126,13154,4580,-6939,-973,-1528,-923,-8,62,-281
2025-11-24T16:39:09.631675,289,140,184,200,89,66,50,114,-5163,13144,4623,-6902,-944,-1548,-935,25,98,-324
2025-11-24T16:39:09.646484,244,138,204,192,81,67,44,106,-5206,13133,4673,-6856,-932,-1554,-959,38,133,-386
2025-11-24T16:39:09.669029,274,126,207,196,81,70,41,100,-5248,13123,4733,-6802,-898,-1531,-945,-11,149,-451
2025-11-24T16:39:09.691531,220,122,194,184,76,66,43,98,-5289,13113,4800,-6743,-861,-1551,-912,-54,167,-477
2025-11-24T16:39:09.706538,180,122,196,199,78,66,43,113,-5339,13103,4870,-6672,-858,-1586,-953,-39,226,-534
2025-11-24T16:39:09.737147,172,120,184,198,69,61,40,103,-5393,13091,4945,-6598,-851,-1572,-947,-26,240,-587
2025-11-24T16:39:09.751530,166,80,130,200,64,57,42,117,-5442,13080,5028,-6515,-874,-1596,-997,-71,260,-648
2025-11-24T16:39:09.766565,82,72,101,201,55,52,44,115,-5479,13070,5124,-6430,-890,-1598,-993,-160,242,-700
2025-11-24T16:39:09.789082,68,64,90,212,57,53,44,117,-5521,13052,5230,-6343,-836,-1659,-972,-177,231,-756
2025-11-24T16:39:09.811190,60,56,79,219,60,54,45,112,-5587,13025,5335,-6252,-814,-1767,-981,-82,270,-809
2025-11-24T16:39:09.826537,58,42,70,248,60,55,47,119,-5676,12988,5437,-6161,-760,-1725,-1013,73,288,-876
2025-11-24T16:39:09.848700,54,32,61,239,59,52,49,112,-5778,12941,5546,-6068,-701,-1718,-1026,146,282,-948
2025-11-24T16:39:09.872074,44,30,57,244,65,49,47,121,-5887,12882,5665,-5977,-655,-1738,-1017,180,240,-1030
2025-11-24T16:39:09.886519,39,29,54,248,79,49,44,123,-5996,12818,5792,-5884,-595,-1735,-1012,179,222,-1071
2025-11-24T16:39:09.908943,35,26,44,229,85,50,44,107,-6105,12754,5919,-5784,-556,-1752,-1027,169,247,-1094
2025-11-24T16:39:09.931518,41,26,36,198,108,50,45,108,-6222,12682,6051,-5680,-519,-1765,-1007,201,266,-1158
2025-11-24T16:39:09.946560,39,25,36,197,114,50,44,105,-6351,12596,6187,-5581,-473,-1833,-996,265,234,-1221
2025-11-24T16:39:09.969056,39,24,27,176,149,47,43,90,-6495,12499,6322,-5483,-457,-1885,-926,326,260,-1273
2025-11-24T16:39:09.991689,41,25,34,254,264,63,48,129,-6636,12401,6453,-5381,-428,-1868,-977,356,278,-1286
2025-11-24T16:39:10.006447,42,25,35,257,296,77,54,149,-6774,12301,6584,-5279,-394,-1851,-971,353,270,-1298
2025-11-24T16:39:10.027091,37,26,38,264,334,84,56,176,-6906,12197,6718,-5179,-346,-1903,-937,321,237,-1303
2025-11-24T16:39:10.059551,39,28,39,293,343,83,54,185,-7049,12080,6852,-5087,-281,-1943,-914,404,209,-1333
