timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-24T16:42:17.196163,28,132,27,19,19,18,17,20,-7836,9134,9657,-5508,394,-1979,-698,6,13,9
2025-11-24T16:42:17.210885,23,138,33,19,19,17,17,18,-7836,9134,9657,-5508,382,-1982,-680,1,13,6
2025-11-24T16:42:17.233508,22,140,31,17,17,17,20,18,-7836,9134,9657,-5508,387,-2008,-679,-3,11,7
2025-11-24T16:42:17.255931,22,125,34,17,17,18,20,18,-7835,9135,9656,-5509,380,-2022,-680,0,8,3
2025-11-24T16:42:17.271365,23,120,34,18,19,18,20,19,-7835,9135,9656,-5509,390,-2019,-672,7,3,-7
2025-11-24T16:42:17.298433,22,120,34,17,20,19,18,18,-7835,9135,9656,-5510,390,-2008,-674,15,-8,-15
2025-11-24T16:42:17.317374,24,98,32,17,21,19,18,20,-7835,9131,9658,-5511,396,-2000,-675,7,-18,-19
2025-11-24T16:42:17.332783,24,79,33,17,22,20,16,20,-7834,9128,9661,-5513,393,-1991,-678,7,-21,-23
2025-11-24T16:42:17.356498,24,73,31,19,24,21,16,18,-7835,9123,9665,-5513,401,-1982,-693,17,-15,-28
2025-11-24T16:42:17.378727,26,81,35,20,24,20,16,34,-7836,9119,9668,-5514,394,-1993,-703,25,-12,-30
2025-11-24T16:42:17.393943,29,119,35,20,24,20,16,37,-7837,9115,9669,-5517,391,-1980,-696,30,-10,-20
2025-11-24T16:42:17.416371,30,114,31,19,24,20,17,36,-7838,9113,9671,-5517,401,-1956,-701,21,-4,-13
2025-11-24T16:42:17.438717,31,117,30,19,23,18,19,37,-7837,9113,9671,-5516,402,-1957,-696,2,2,-5
2025-11-24T16:42:17.454066,30,129,35,19,21,16,19,37,-7837,9113,9671,-5516,397,-1968,-680,-3,6,4
2025-11-24T16:42:17.476832,28,121,32,19,19,18,19,24,-7836,9114,9671,-5516,394,-1988,-689,-5,9,8
