timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-26T13:17:50.171353,176,57,120,27,24,19,19,39,4656,-6273,5210,-13426,853,-1511,995,31,-27,-40
2025-11-26T13:17:50.189955,120,59,118,25,20,18,19,33,4657,-6271,5195,-13433,860,-1495,1022,87,-17,-55
2025-11-26T13:17:50.212508,106,53,81,24,19,20,19,29,4656,-6271,5184,-13438,854,-1481,1041,45,-20,-52
2025-11-26T13:17:50.227157,121,57,82,23,20,20,19,28,4652,-6273,5181,-13439,874,-1503,1024,10,-16,-46
2025-11-26T13:17:50.252278,113,60,91,25,19,19,20,26,4648,-6277,5182,-13439,876,-1511,1015,-12,-17,-46
2025-11-26T13:17:50.277198,111,61,95,23,20,21,19,25,4643,-6277,5178,-13441,876,-1494,1018,15,0,-46
2025-11-26T13:17:50.292173,107,51,106,25,24,23,20,27,4643,-6274,5174,-13445,856,-1481,1008,36,6,-31
2025-11-26T13:17:50.313565,112,47,101,23,22,21,22,24,4644,-6270,5172,-13447,844,-1486,1020,21,-2,-20
2025-11-26T13:17:50.333450,96,43,102,24,23,22,22,23,4643,-6271,5170,-13447,880,-1514,998,27,-4,-33
2025-11-26T13:17:50.349041,143,61,99,23,23,25,21,29,4643,-6272,5171,-13446,882,-1518,973,22,-1,-14
2025-11-26T13:17:50.372061,149,58,91,22,24,26,21,29,4644,-6272,5172,-13446,857,-1502,979,8,3,-15
2025-11-26T13:17:50.395231,144,61,83,23,21,24,20,27,4644,-6269,5174,-13446,868,-1519,994,19,12,-14
2025-11-26T13:17:50.411481,141,62,84,24,22,23,18,28,4645,-6269,5175,-13446,868,-1502,1004,11,14,-4
2025-11-26T13:17:50.432697,145,70,96,28,24,24,17,30,4645,-6269,5175,-13446,875,-1490,1005,10,11,-6
2025-11-26T13:17:50.455141,90,52,85,28,23,22,16,24,4645,-6269,5176,-13445,873,-1491,1006,7,6,-3
2025-11-26T13:17:50.470603,90,52,86,29,21,21,18,27,4646,-6268,5177,-13445,866,-1497,1017,-8,3,-4
2025-11-26T13:17:50.492650,87,49,75,27,22,21,18,26,4646,-6268,5177,-13445,869,-1479,1023,-2,2,-6
2025-11-26T13:17:50.515553,85,55,82,27,23,22,17,27,4646,-6267,5177,-13445,875,-1494,1015,-4,5,0
2025-11-26T13:17:50.537741,69,46,59,23,21,21,18,26,4647,-6267,5178,-13445,873,-1491,1020,-10,8,3
2025-11-26T13:17:50.552720,123,48,59,23,21,20,18,29,4647,-6267,5179,-13445,879,-1510,1009,-4,4,1
2025-11-26T13:17:50.574860,122,50,52,22,20,20,16,29,4647,-6267,5179,-13444,884,-1507,1006,-3,5,-1
2025-11-26T13:17:50.590296,123,51,53,23,20,21,16,29,4648,-6266,5180,-13444,866,-1509,1005,7,5,3
2025-11-26T13:17:50.612744,145,46,41,24,21,22,18,34,4648,-6266,5181,-13444,856,-1494,1017,-14,3,4
2025-11-26T13:17:50.635808,146,49,41,24,21,22,17,34,4649,-6265,5182,-13444,856,-1509,1019,-16,-2,1
2025-11-26T13:17:50.650055,134,54,44,24,23,22,18,34,4649,-6265,5183,-13443,872,-1520,1013,-3,-4,5
2025-11-26T13:17:50.673340,130,53,45,23,23,22,20,31,4654,-6261,5183,-13443,867,-1510,1017,24,-2,8
2025-11-26T13:17:50.702735,136,52,42,23,23,20,21,32,4658,-6257,5183,-13444,864,-1501,1016,25,3,5
2025-11-26T13:17:50.709490,110,51,37,23,21,21,21,26,4659,-6256,5188,-13442,876,-1486,1006,-20,4,11
2025-11-26T13:17:50.732327,119,57,51,22,22,22,22,23,4659,-6257,5198,-13438,865,-1497,1001,-43,-2,8
2025-11-26T13:17:50.755506,98,48,49,21,22,21,22,21,4657,-6258,5204,-13435,896,-1506,1007,-27,5,-1
2025-11-26T13:17:50.769263,120,49,49,23,23,21,22,26,4657,-6258,5204,-13435,882,-1514,1019,-15,5,5
2025-11-26T13:17:50.792679,116,46,50,23,23,22,22,26,4658,-6258,5205,-13435,878,-1510,1016,2,1,1
2025-11-26T13:17:50.815405,124,46,48,20,24,20,20,26,4658,-6258,5205,-13435,871,-1497,1012,3,1,-3
2025-11-26T13:17:50.828988,134,38,30,20,24,19,21,31,4658,-6256,5210,-13433,856,-1504,1022,-18,-3,-4
2025-11-26T13:17:50.852895,128,46,33,21,22,21,20,32,4660,-6257,5216,-13431,843,-1510,1008,-19,-12,-4
2025-11-26T13:17:50.875036,108,44,32,18,20,21,19,28,4660,-6256,5217,-13430,857,-1512,1006,3,-2,-4
2025-11-26T13:17:50.889481,121,48,39,18,23,19,19,29,4661,-6256,5217,-13430,868,-1522,998,-1,-1,3
2025-11-26T13:17:50.912709,114,48,40,18,24,20,19,29,4661,-6256,5218,-13429,873,-1512,979,-3,-3,3
2025-11-26T13:17:50.935236,93,46,44,19,23,21,20,32,4661,-6256,5219,-13429,872,-1525,1001,-3,-8,-2
2025-11-26T13:17:50.949477,100,49,41,19,26,18,20,33,4661,-6256,5220,-13429,879,-1520,1012,7,-9,-2
2025-11-26T13:17:50.980265,97,53,40,22,26,21,21,34,4662,-6256,5221,-13428,859,-1516,1004,6,1,-7
2025-11-26T13:17:50.995292,82,52,32,21,25,21,21,33,4661,-6255,5226,-13427,861,-1484,994,-18,6,-1
2025-11-26T13:17:51.010888,117,57,35,22,23,21,21,38,4658,-6255,5238,-13424,855,-1485,1008,-69,8,3
2025-11-26T13:17:51.032669,116,56,33,21,24,21,20,31,4653,-6257,5250,-13419,883,-1504,997,-70,6,0
2025-11-26T13:17:51.055176,111,47,33,20,21,20,21,32,4653,-6257,5258,-13417,871,-1518,997,-30,9,3
2025-11-26T13:17:51.069463,118,47,33,18,21,18,20,32,4653,-6257,5258,-13416,875,-1501,994,-2,12,2
2025-11-26T13:17:51.092714,116,49,33,18,19,20,19,33,4653,-6256,5259,-13416,867,-1490,1009,-12,13,5
2025-11-26T13:17:51.115305,108,47,32,19,20,19,20,27,4653,-6256,5259,-13416,872,-1510,993,-9,9,12
2025-11-26T13:17:51.137688,107,50,31,21,19,20,20,28,4653,-6253,5265,-13415,860,-1514,1020,-22,12,4
2025-11-26T13:17:51.152714,110,53,30,22,18,18,20,25,4654,-6252,5266,-13415,875,-1514,1007,-16,14,-3
2025-11-26T13:17:51.175114,120,53,29,22,20,17,19,25,4654,-6252,5266,-13415,848,-1521,1009,-15,8,0
2025-11-26T13:17:51.197782,116,52,29,21,22,19,20,25,4655,-6251,5267,-13415,851,-1505,1006,-12,10,0
2025-11-26T13:17:51.212708,91,51,26,21,21,18,21,25,4654,-6250,5274,-13413,860,-1521,998,-23,8,1
2025-11-26T13:17:51.234870,124,58,31,20,23,20,21,27,4654,-6250,5275,-13413,867,-1519,994,-13,10,8
2025-11-26T13:17:51.265793,122,54,31,20,23,21,20,27,4655,-6250,5276,-13412,852,-1521,984,-6,13,5
2025-11-26T13:17:51.273376,112,50,34,21,23,21,21,26,4655,-6250,5276,-13412,865,-1510,981,-8,14,1
2025-11-26T13:17:51.295198,113,53,34,20,23,18,21,25,4655,-6247,5282,-13411,868,-1521,1000,-14,18,2
2025-11-26T13:17:51.318071,130,54,35,20,25,21,19,26,4653,-6244,5289,-13410,860,-1515,1003,-30,18,1
2025-11-26T13:17:51.332753,97,44,33,20,23,19,20,25,4652,-6241,5298,-13408,851,-1513,997,-32,17,4
2025-11-26T13:17:51.354788,102,47,32,20,27,20,20,31,4650,-6239,5306,-13407,857,-1511,992,-35,17,1
2025-11-26T13:17:51.377769,125,47,30,20,27,21,19,31,4648,-6238,5314,-13405,863,-1527,1000,-35,13,-4
2025-11-26T13:17:51.392693,155,45,33,20,27,22,18,31,4646,-6237,5320,-13404,867,-1524,1009,-24,11,0
2025-11-26T13:17:51.415223,142,42,31,22,26,20,18,30,4646,-6235,5324,-13403,861,-1524,1013,-19,6,-1
2025-11-26T13:17:51.437352,150,44,33,22,26,23,17,29,4646,-6235,5325,-13403,861,-1517,999,-2,5,1
2025-11-26T13:17:51.452951,145,42,31,24,21,23,18,22,4647,-6234,5325,-13403,850,-1515,1009,-5,1,-3
2025-11-26T13:17:51.475683,128,45,31,23,22,23,17,25,4647,-6233,5326,-13403,854,-1528,1008,-10,-4,-6
2025-11-26T13:17:51.497437,115,42,29,24,23,24,18,24,4647,-6233,5326,-13403,864,-1520,1007,7,-6,-5
2025-11-26T13:17:51.512646,115,42,31,22,22,23,19,24,4648,-6233,5326,-13402,868,-1519,999,12,-6,-3
2025-11-26T13:17:51.535185,121,43,28,23,21,23,19,26,4648,-6233,5327,-13402,867,-1515,1001,2,-5,-4
2025-11-26T13:17:51.557977,124,42,28,22,21,22,18,28,4648,-6233,5327,-13402,860,-1514,1001,9,-6,3
2025-11-26T13:17:51.572087,127,38,28,23,19,23,18,26,4648,-6232,5328,-13402,847,-1513,983,7,-5,-1
2025-11-26T13:17:51.595151,102,35,29,25,18,23,16,26,4648,-6233,5328,-13402,871,-1532,982,5,-5,-4
2025-11-26T13:17:51.617690,129,39,29,23,19,24,16,28,4649,-6233,5329,-13401,869,-1539,984,8,-5,-4
2025-11-26T13:17:51.631893,129,43,26,21,18,23,17,28,4649,-6233,5330,-13401,868,-1527,988,12,-4,-5
