timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764162681.1996365,19,21,21,19,15,17,14,16,4162,-1727,-8782,13077,201,-1844,821,2,-1,0
1764162681.2146766,18,19,20,20,17,17,15,16,4162,-1727,-8782,13077,203,-1848,805,-1,1,-1
1764162681.2373245,18,20,17,16,17,16,17,19,4161,-1728,-8782,13077,191,-1849,793,-3,1,-2
1764162681.2598372,17,20,20,19,18,17,18,19,4161,-1728,-8782,13077,194,-1847,801,8,2,-2
1764162681.2751744,17,20,22,19,18,19,18,19,4161,-1729,-8782,13077,190,-1824,808,7,2,1
1764162681.2967818,18,22,22,19,18,18,18,20,4161,-1729,-8782,13077,205,-1825,810,-4,0,5
1764162681.3196235,18,22,24,18,19,19,18,20,4158,-1732,-8786,13075,195,-1863,801,-18,-2,8
1764162681.334783,18,22,24,19,20,19,17,17,4158,-1732,-8786,13074,192,-1866,804,10,2,2
1764162681.3570762,18,23,23,16,21,22,15,19,4158,-1732,-8786,13074,209,-1841,810,10,1,-1
1764162681.3956635,17,22,23,17,20,21,18,18,4157,-1732,-8787,13074,201,-1845,802,-11,-10,1
1764162681.3992121,16,19,23,17,21,21,18,16,4158,-1732,-8787,13074,216,-1847,811,-12,-10,2
1764162681.4170327,17,19,22,17,21,19,17,18,4157,-1732,-8787,13074,208,-1843,799,4,-5,7
1764162681.4395483,16,20,24,17,18,22,19,18,4157,-1733,-8788,13074,204,-1836,789,-1,-2,7
1764162681.4543746,17,20,24,17,20,19,21,16,4157,-1733,-8788,13074,200,-1840,793,-7,4,2
1764162681.4772632,18,21,21,17,19,19,19,20,4157,-1733,-8788,13073,198,-1852,796,-2,7,-4
1764162681.4994867,19,20,22,16,19,20,20,20,4157,-1734,-8788,13073,192,-1849,811,8,6,-5
1764162681.5219407,20,20,22,17,20,20,22,21,4157,-1734,-8788,13073,205,-1841,804,13,3,-4
1764162681.5373027,21,19,21,18,20,19,20,20,4157,-1734,-8788,13073,203,-1832,824,4,-5,2
1764162681.5597713,19,20,22,18,19,20,19,20,4156,-1734,-8788,13073,206,-1841,795,-9,-7,4
1764162681.5818324,20,20,22,19,20,21,19,16,4156,-1734,-8789,13073,205,-1851,798,-9,-2,1
1764162681.5973012,19,22,23,18,20,21,19,16,4156,-1734,-8789,13073,193,-1844,793,-4,3,-1
1764162681.619451,18,21,23,17,20,21,17,15,4156,-1735,-8789,13073,192,-1851,790,2,9,-2
1764162681.6422935,18,22,25,16,20,21,17,16,4156,-1735,-8790,13072,202,-1849,798,14,13,0
1764162681.6571205,20,23,26,16,20,21,18,18,4155,-1735,-8790,13072,194,-1839,793,11,13,4
1764162681.6798851,20,22,26,16,22,25,23,21,4155,-1736,-8790,13072,190,-1855,791,-15,4,-7
1764162681.7021916,23,23,31,38,99,69,35,24,4157,-1733,-8799,13066,201,-1866,808,-42,-17,-39
1764162681.7172813,28,33,228,59,290,131,55,32,4159,-1729,-8847,13033,169,-1950,871,-325,-78,-122
1764162681.740071,36,69,316,187,369,156,67,39,4175,-1729,-8982,12936,-45,-1898,1311,-1155,-175,-427
1764162681.7617803,39,87,574,259,421,207,92,54,4193,-1731,-9266,12728,365,-2065,933,-1910,-217,-531
1764162681.7768998,51,109,702,310,450,213,102,61,4120,-1701,-9396,12660,553,-2197,828,-824,-468,180
1764162681.7995932,51,129,927,325,460,214,103,63,3944,-1714,-9442,12680,388,-2570,1188,-426,-596,844
1764162681.8221216,55,144,1015,449,403,191,98,62,3690,-1744,-9413,12774,-10,-2867,1218,108,-772,1181
1764162681.8372755,137,133,1080,559,353,173,92,60,3411,-1801,-9262,12953,-177,-2925,1211,975,-583,1670
1764162681.8596761,198,142,1071,704,314,110,66,50,3174,-1881,-8921,13238,-378,-2496,1453,2117,-197,1786
1764162681.882244,243,130,1092,779,299,100,49,44,2950,-2021,-8503,13540,-415,-2071,1769,2420,186,1988
1764162681.8973799,343,144,981,871,296,74,41,50,2741,-2228,-8090,13802,-669,-1970,1728,2241,559,2056
1764162681.9198346,457,131,892,859,256,53,34,57,2558,-2438,-7632,14061,-614,-2047,1593,2502,697,1992
1764162681.9503767,463,135,845,821,237,47,33,58,2417,-2672,-7127,14306,-517,-1855,1559,2715,985,1908
1764162681.9570851,526,147,770,741,230,54,37,59,2340,-2927,-6574,14532,-733,-1550,1499,2948,1293,1658
1764162681.9800162,518,153,701,670,199,52,36,58,2316,-3170,-5960,14748,-812,-1417,1388,3308,1403,1415
1764162682.0021238,552,176,713,619,170,54,43,64,2350,-3381,-5370,14921,-879,-1208,1280,3196,1374,1004
1764162682.0171518,535,194,711,691,190,58,45,62,2431,-3557,-4956,15010,-1029,-1076,1137,2237,1227,415
1764162682.0402853,538,196,727,740,214,62,68,66,2516,-3715,-4698,15041,-803,-1196,1147,1453,1014,119
1764162682.061758,474,185,732,745,199,57,68,64,2593,-3827,-4474,15068,-608,-1486,1110,1450,818,178
1764162682.0768964,508,204,714,802,224,63,72,67,2697,-3896,-4190,15114,-714,-1393,998,1673,678,-6
