timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764247638.1752436,19,18,29,33,116,49,21,21,9335,-12009,907,-6023,995,-1829,-174,-33,-14,-4
1764247638.1816943,20,20,29,34,83,44,20,20,9329,-12014,908,-6021,997,-1837,-176,-42,-14,-4
1764247638.203889,19,21,30,35,85,43,20,20,9325,-12019,909,-6017,989,-1851,-192,-28,-13,-2
1764247638.2272909,18,23,28,35,97,37,21,19,9325,-12019,910,-6017,972,-1858,-191,-6,-10,-1
1764247638.243063,19,25,32,30,81,40,22,18,9325,-12020,910,-6016,974,-1857,-188,7,-7,-1
1764247638.2650125,17,24,33,30,78,36,19,19,9325,-12020,910,-6016,983,-1848,-186,7,-1,-1
1764247638.2876296,18,25,33,27,81,35,20,18,9325,-12020,911,-6016,980,-1840,-184,-2,0,-4
1764247638.3029468,21,23,35,27,84,32,19,16,9325,-12020,911,-6015,988,-1851,-183,-7,-3,-7
1764247638.3248484,21,22,36,25,70,32,20,14,9325,-12020,911,-6015,984,-1849,-182,0,-5,-4
1764247638.3476076,22,19,30,24,74,29,17,15,9325,-12020,911,-6015,983,-1855,-167,5,-3,-2
1764247638.363229,24,20,30,24,87,32,18,17,9325,-12020,912,-6015,983,-1840,-168,2,-3,-5
1764247638.3855288,23,19,30,27,97,32,18,18,9322,-12022,912,-6014,989,-1840,-186,-17,-2,-5
1764247638.4079394,23,19,27,26,88,34,18,19,9318,-12026,913,-6013,999,-1846,-193,-24,-4,-8
1764247638.4231,23,20,27,25,93,36,20,20,9313,-12030,913,-6013,1000,-1836,-190,-28,-7,-7
1764247638.444859,22,21,26,27,111,38,23,19,9306,-12037,914,-6010,996,-1839,-200,-46,-13,-6
1764247638.4682896,21,22,29,27,104,37,23,18,9299,-12043,915,-6008,1000,-1846,-154,-63,-21,-6
1764247638.4824984,20,22,30,24,99,56,23,17,9290,-12052,918,-6005,1000,-1856,-156,-88,-29,-4
1764247638.5050995,18,22,30,26,159,80,38,19,9276,-12064,924,-6002,1001,-1860,-174,-117,-18,-2
1764247638.52839,21,20,29,43,189,95,41,19,9255,-12081,933,-5998,1002,-1851,-188,-165,-22,0
1764247638.5420036,22,21,59,43,193,104,47,24,9224,-12104,942,-5997,1044,-1804,-169,-235,-21,0
1764247638.5652301,23,20,92,65,297,144,54,25,9183,-12137,962,-5990,1036,-1826,-208,-323,-25,31
1764247638.5881846,23,21,111,78,309,154,60,29,9147,-12166,997,-5981,1062,-1929,-186,-339,6,95
1764247638.6019588,24,41,125,88,317,155,61,29,9106,-12195,1052,-5975,1057,-1845,-216,-394,89,188
1764247638.6252205,29,60,165,85,305,176,76,36,9055,-12232,1129,-5963,1125,-1851,-233,-507,113,302
1764247638.6478224,33,69,165,89,314,267,94,40,9002,-12277,1231,-5930,1145,-1922,-299,-574,100,472
1764247638.6622112,33,69,150,78,226,262,94,42,8974,-12310,1349,-5879,1113,-2055,-326,-486,85,614
1764247638.685141,34,71,138,66,332,279,98,41,8990,-12316,1474,-5810,989,-2151,-299,-261,67,735
1764247638.7066717,35,63,128,56,388,296,103,43,9159,-12242,1772,-5619,770,-2342,-209,155,74,1082
1764247638.7298448,31,53,179,52,403,283,93,39,9279,-12183,1954,-5485,543,-2277,-219,198,54,1270
1764247638.747433,27,42,179,62,443,219,77,32,9391,-12138,2171,-5312,337,-2343,-237,40,-8,1439
1764247638.7667806,26,41,180,62,515,217,77,31,9508,-12083,2378,-5136,206,-2445,-200,135,-50,1604
1764247638.7895355,26,39,183,78,500,209,72,30,9661,-12002,2565,-4948,114,-2327,-228,404,-138,1649
1764247638.807627,26,39,195,91,452,180,60,29,9808,-11923,2755,-4744,-80,-2191,-258,361,-200,1696
1764247638.8343408,23,27,111,104,451,178,56,26,9928,-11865,2960,-4510,-298,-2268,-273,134,-272,1769
1764247638.849568,21,30,107,149,407,150,47,25,10037,-11810,3169,-4264,-328,-2301,-297,60,-305,1823
1764247638.867193,25,32,109,202,328,136,43,24,10143,-11746,3375,-4023,-327,-2272,-304,90,-276,1803
1764247638.8866959,24,30,126,287,261,103,34,25,10251,-11671,3566,-3799,-366,-2183,-291,178,-252,1713
1764247638.9094317,22,31,119,309,240,97,32,22,10377,-11573,3746,-3577,-348,-2149,-255,363,-260,1565
1764247638.9272704,26,39,189,339,227,88,31,23,10510,-11460,3892,-3394,-333,-2096,-237,536,-223,1367
1764247638.9544168,35,44,262,472,232,82,35,25,10624,-11354,4014,-3245,-373,-2021,-263,540,-159,1129
1764247638.972516,39,49,273,471,201,67,41,28,10740,-11246,4084,-3154,-302,-1931,-197,678,-137,781
1764247638.9871573,44,57,268,538,200,56,44,32,10840,-11144,4114,-3130,-156,-1867,-184,739,-16,442
1764247639.0101514,86,95,291,616,202,73,63,40,10899,-11080,4120,-3146,-93,-1891,-213,550,65,138
1764247639.029224,89,110,301,757,267,83,69,43,10911,-11068,4090,-3185,88,-2075,-253,273,17,-99
1764247639.0470133,153,157,401,747,256,85,69,44,10924,-11060,4026,-3252,437,-2080,-114,271,-5,-159
1764247639.066725,156,171,411,791,272,85,68,43,10940,-11035,4000,-3315,522,-2151,-186,335,129,69
1764247639.0893817,173,467,666,764,274,87,73,51,10988,-10974,4006,-3351,260,-1903,-165,526,153,227
1764247639.1122715,163,564,781,750,285,83,96,97,10993,-10971,4002,-3351,146,-1747,-179,115,-25,126
1764247639.1268072,219,575,772,605,232,77,128,150,10961,-11003,3959,-3399,267,-1802,-81,-100,21,-230
1764247639.1492994,233,576,711,554,235,77,146,190,10943,-11009,3903,-3502,516,-2094,38,74,194,-306
1764247639.1669729,239,580,751,488,228,84,148,195,10947,-10985,3856,-3617,551,-2061,-27,319,272,-248
1764247639.1872797,228,389,550,449,258,113,147,197,10959,-10954,3817,-3711,362,-1861,37,312,229,-235
1764247639.209208,226,214,359,369,268,118,139,183,10931,-10973,3787,-3767,292,-1694,16,-81,109,-222
1764247639.2319584,173,178,359,386,260,125,162,182,10858,-11044,3744,-3816,369,-1766,-96,-379,24,-337
1764247639.2470853,93,136,367,326,248,124,176,156,10786,-11108,3711,-3865,489,-2155,-53,-402,69,-238
1764247639.2693517,71,118,290,430,306,204,179,155,10765,-11119,3702,-3901,393,-2346,7,-95,109,-25
1764247639.2866793,65,102,269,467,298,198,181,152,10771,-11107,3708,-3911,213,-2106,15,39,66,93
1764247639.3147404,58,103,264,492,287,194,176,151,10754,-11125,3711,-3905,31,-1806,-95,-116,-14,-17
1764247639.329226,50,98,240,478,279,197,129,101,10712,-11178,3674,-3905,79,-1978,-45,-315,-153,-254
1764247639.3546414,38,89,213,488,290,198,85,73,10659,-11238,3650,-3900,155,-2240,-86,-401,-123,-179
1764247639.366622,27,81,196,402,252,122,76,61,10647,-11255,3650,-3884,-17,-2362,-91,-131,-68,-38
1764247639.3893723,25,78,221,341,250,116,74,54,10670,-11236,3661,-3866,-141,-2381,-72,107,-28,41
1764247639.4073849,26,78,242,358,254,122,63,42,10679,-11227,3688,-3841,-206,-2209,-142,25,10,70
1764247639.4348385,24,78,252,395,255,110,62,35,10669,-11236,3726,-3805,-235,-2245,-169,-128,7,97
1764247639.4493651,27,85,260,390,246,108,65,35,10660,-11246,3774,-3754,-228,-2403,-169,-169,-13,202
1764247639.4745808,27,65,248,371,212,96,59,34,10672,-11235,3836,-3688,-227,-2453,-137,-71,-23,376
1764247639.4898303,27,59,235,367,163,77,51,35,10698,-11208,3916,-3612,-250,-2392,-147,12,5,526
1764247639.5092623,28,57,216,310,136,53,46,34,10729,-11170,4007,-3535,-295,-2373,-97,33,48,591
1764247639.5270188,26,52,225,250,150,53,44,30,10753,-11134,4107,-3461,-306,-2326,-83,-21,100,614
1764247639.5502641,25,38,202,290,152,49,59,32,10767,-11104,4210,-3390,-292,-2280,-93,-70,131,626
1764247639.5695937,26,41,189,298,158,44,63,41,10775,-11077,4315,-3321,-286,-2242,-104,-98,147,628
1764247639.587302,26,40,191,304,164,50,65,39,10774,-11058,4415,-3254,-251,-2193,-148,-134,139,624
1764247639.6103137,25,40,188,303,148,51,70,40,10771,-11040,4509,-3196,-206,-2197,-174,-116,147,599
1764247639.6321414,26,43,178,321,136,46,75,43,10775,-11013,4593,-3151,-198,-2124,-145,-37,161,544
1764247639.6470947,27,45,263,294,143,48,84,49,10778,-10986,4673,-3121,-173,-2069,-166,-3,199,503
1764247639.6774595,26,44,283,294,154,55,85,46,10776,-10962,4750,-3097,-162,-2043,-137,-39,215,466
1764247639.6900635,26,45,291,283,146,67,85,47,10765,-10946,4819,-3083,-114,-1953,-142,-68,230,406
1764247639.7076836,28,45,366,291,154,78,92,54,10747,-10942,4880,-3065,-141,-1877,-202,-107,182,352
1764247639.7343009,29,44,366,316,152,79,130,73,10732,-10940,4924,-3055,-88,-1900,-192,-85,138,293
1764247639.7492137,31,51,386,346,181,84,120,70,10718,-10931,4973,-3056,-82,-1907,-168,-59,207,292
1764247639.7680697,31,49,402,376,167,81,117,68,10710,-10916,5022,-3059,-122,-1910,-142,-23,214,283
1764247639.7895503,32,58,440,481,174,80,117,68,10706,-10895,5069,-3070,-138,-1860,-135,31,232,250
1764247639.8094132,34,67,453,534,171,75,117,67,10695,-10886,5113,-3069,-219,-1793,-140,-59,185,206
1764247639.8316536,38,75,532,531,171,75,71,47,10674,-10893,5143,-3066,-213,-1869,-164,-136,124,137
1764247639.849568,38,76,551,512,142,73,75,53,10664,-10893,5158,-3075,-191,-1939,-164,-40,96,81
1764247639.8775206,45,78,547,517,152,74,90,70,10676,-10871,5165,-3099,-232,-1942,-123,147,117,36
1764247639.8919718,45,74,524,420,159,79,97,75,10686,-10848,5175,-3125,-293,-1857,-138,149,140,-4
1764247639.9103148,41,64,470,378,198,105,91,69,10686,-10840,5175,-3153,-276,-1845,-138,76,111,-76
1764247639.9293463,42,69,442,347,208,108,97,73,10678,-10845,5170,-3173,-301,-1827,-164,7,62,-113
1764247639.955092,44,74,405,428,204,113,91,68,10665,-10856,5165,-3187,-277,-1910,-205,-31,41,-96
1764247639.9670022,40,85,460,439,271,154,82,54,10661,-10859,5158,-3203,-253,-1990,-189,32,30,-68
1764247639.992053,55,104,552,552,289,170,80,57,10670,-10848,5156,-3214,-283,-1901,-164,102,26,-12
1764247640.0116575,63,107,567,539,271,155,91,75,10670,-10849,5157,-3206,-308,-1839,-173,0,-29,13
1764247640.0300832,64,104,535,538,271,158,81,72,10664,-10856,5157,-3202,-273,-1951,-119,-75,-10,13
1764247640.0497162,71,116,602,512,280,165,84,77,10646,-10869,5170,-3199,-356,-2017,-145,-143,56,-12
1764247640.07219,70,109,561,513,212,134,80,77,10632,-10881,5169,-3207,-322,-2048,-170,-79,37,-76
1764247640.0866773,60,93,479,423,168,103,89,80,10637,-10868,5170,-3233,-289,-2021,-75,64,113,-55
1764247640.109652,59,95,502,407,153,103,93,80,10618,-10884,5181,-3221,-341,-2027,-199,-146,8,15
1764247640.132233,54,94,611,457,141,94,91,78,10605,-10899,5193,-3195,-409,-2161,-206,-157,-41,58
1764247640.154276,49,81,605,424,121,78,85,73,10630,-10878,5193,-3184,-217,-1995,-131,130,-68,157
1764247640.169373,53,92,683,445,139,79,85,73,10664,-10847,5190,-3183,-255,-2055,-87,202,-37,122
1764247640.200003,62,104,734,448,162,82,72,66,10680,-10828,5194,-3184,-303,-2036,-21,53,18,71
1764247640.207122,55,102,713,440,165,76,48,43,10706,-10803,5190,-3190,-303,-1939,-22,140,-1,39
