timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-27T10:26:23.027373,71,187,335,160,576,220,51,43,-10908,4313,-11367,1282,-1798,-937,-243,12,13,-12
2025-11-27T10:26:23.048967,82,217,344,152,556,200,47,46,-10902,4315,-11372,1284,-1813,-934,-249,1,23,-17
2025-11-27T10:26:23.069630,72,225,340,146,510,193,48,46,-10898,4313,-11376,1285,-1818,-942,-229,3,25,5
2025-11-27T10:26:23.083775,70,226,454,220,506,209,45,44,-10895,4312,-11380,1285,-1819,-943,-224,-1,18,6
2025-11-27T10:26:23.116104,66,201,437,224,518,230,47,47,-10893,4312,-11382,1286,-1824,-948,-212,-2,23,-2
2025-11-27T10:26:23.129343,68,188,391,209,528,249,52,47,-10890,4314,-11383,1287,-1811,-958,-199,-9,22,-7
2025-11-27T10:26:23.143941,61,182,384,222,502,282,56,47,-10886,4316,-11386,1290,-1828,-951,-205,-10,35,-15
2025-11-27T10:26:23.166174,64,168,460,240,497,286,55,47,-10882,4320,-11389,1293,-1799,-974,-222,-12,27,-10
2025-11-27T10:26:23.189819,64,177,347,176,537,273,54,47,-10879,4322,-11390,1297,-1826,-962,-214,4,20,-20
2025-11-27T10:26:23.205265,66,183,362,178,509,290,56,50,-10877,4321,-11393,1296,-1826,-943,-216,-5,20,4
2025-11-27T10:26:23.227768,66,172,372,201,502,272,57,50,-10873,4323,-11396,1294,-1843,-953,-235,-20,19,0
2025-11-27T10:26:23.250622,65,153,403,182,488,263,60,51,-10869,4328,-11398,1293,-1793,-986,-225,-29,18,8
2025-11-27T10:26:23.265204,63,149,310,153,494,269,62,51,-10867,4325,-11400,1298,-1836,-984,-211,22,28,7
2025-11-27T10:26:23.287751,64,132,335,156,462,275,63,55,-10867,4323,-11401,1300,-1826,-987,-194,2,23,15
2025-11-27T10:26:23.311163,63,115,344,174,516,224,57,47,-10867,4324,-11400,1302,-1835,-1058,-176,-10,7,13
2025-11-27T10:26:23.325350,61,194,347,135,480,201,52,47,-10874,4325,-11392,1315,-1847,-1075,-128,31,6,-10
2025-11-27T10:26:23.347372,58,204,354,137,457,164,48,44,-10888,4319,-11379,1330,-1856,-1044,-100,73,-17,-14
2025-11-27T10:26:23.371020,58,206,383,188,501,161,50,44,-10905,4311,-11364,1343,-1854,-1023,-114,81,-51,-11
2025-11-27T10:26:23.385302,60,211,399,211,503,153,49,38,-10921,4301,-11351,1358,-1823,-1011,-139,105,-58,-6
2025-11-27T10:26:23.407924,56,214,385,239,438,150,47,38,-10936,4285,-11341,1373,-1797,-991,-189,145,-60,17
2025-11-27T10:26:23.431104,73,162,376,240,496,154,47,42,-10947,4263,-11336,1390,-1777,-948,-220,172,-45,24
2025-11-27T10:26:23.445183,72,135,376,250,537,154,44,41,-10955,4239,-11335,1405,-1786,-917,-247,176,-31,26
