timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764248448.4966178,19,23,20,23,103,45,22,14,3172,-7974,8816,-10821,913,-1880,-113,4,-4,-10
1764248448.5151536,18,22,20,22,91,41,19,14,3172,-7974,8816,-10821,918,-1893,-125,-7,2,-12
1764248448.5387878,20,22,25,22,92,38,18,15,3172,-7974,8816,-10820,923,-1892,-130,-4,5,-16
1764248448.55267,20,24,25,23,99,39,18,15,3172,-7974,8816,-10820,924,-1895,-111,11,8,-4
1764248448.5751016,21,22,25,25,102,38,19,14,3173,-7973,8813,-10823,907,-1889,-112,21,6,-3
1764248448.59838,21,20,25,22,89,39,19,16,3173,-7973,8811,-10825,905,-1882,-112,17,5,-12
1764248448.6129386,20,21,26,21,95,40,21,15,3173,-7973,8811,-10825,907,-1888,-114,-2,8,-16
1764248448.6351311,18,20,20,23,93,41,21,16,3169,-7973,8810,-10826,913,-1881,-116,3,11,-17
1764248448.657952,19,18,19,21,87,37,21,15,3168,-7973,8807,-10829,918,-1890,-115,17,13,-13
1764248448.681383,18,18,19,23,100,49,22,15,3167,-7972,8804,-10833,920,-1882,-109,23,10,-10
1764248448.6956508,17,18,20,25,98,56,23,17,3167,-7972,8804,-10833,921,-1872,-114,13,5,-12
1764248448.7182148,17,19,18,26,98,59,23,19,3163,-7976,8802,-10833,924,-1873,-116,-4,-3,-21
1764248448.7412279,20,20,20,32,101,60,23,18,3161,-7979,8802,-10831,916,-1870,-95,-20,-13,-13
1764248448.7551868,20,21,26,33,101,60,23,19,3160,-7982,8806,-10826,905,-1913,-103,-43,-20,-12
1764248448.7781992,20,25,27,33,91,53,21,19,3160,-7985,8805,-10825,907,-1907,-85,-14,-20,-18
1764248448.8011343,20,24,26,34,96,50,22,17,3160,-7988,8801,-10825,915,-1892,-112,12,-17,-23
1764248448.815207,20,23,29,84,96,53,27,17,3156,-7995,8800,-10823,934,-1872,-118,-20,-18,-29
1764248448.8377714,17,22,29,90,103,61,35,18,3145,-8007,8806,-10812,949,-1861,-119,-96,-41,-27
1764248448.8611617,20,23,25,152,111,73,39,19,3127,-8027,8820,-10791,945,-1858,-110,-195,-62,-47
1764248448.875189,24,30,128,343,188,123,49,21,3108,-8045,8850,-10758,958,-1997,-105,-299,-80,-22
1764248448.8981872,28,37,137,362,223,137,60,30,3104,-8057,8869,-10734,969,-2019,4,-246,-117,17
1764248448.9201956,29,36,141,367,249,164,74,36,3107,-8076,8888,-10704,1036,-1993,-12,-252,-180,66
1764248448.9351585,29,48,148,377,322,225,79,37,3141,-8085,8920,-10660,1100,-2327,48,-294,-283,223
