timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-27T11:51:11.762593,26,33,151,310,60,26,45,43,-2810,-2197,11144,-11468,877,-1903,56,7,11,-1
2025-11-27T11:51:11.783097,25,40,118,317,65,26,72,49,-2810,-2197,11145,-11468,875,-1903,50,-13,2,12
2025-11-27T11:51:11.799439,24,43,125,289,59,27,74,56,-2806,-2196,11148,-11466,882,-1904,50,-2,-6,18
2025-11-27T11:51:11.819061,26,51,137,251,52,26,75,57,-2806,-2196,11148,-11466,872,-1892,72,15,-8,7
2025-11-27T11:51:11.842615,29,53,140,239,53,24,78,59,-2806,-2196,11148,-11466,888,-1883,57,-8,0,14
2025-11-27T11:51:11.870831,30,59,171,207,45,22,90,57,-2807,-2195,11152,-11462,884,-1896,59,-22,2,3
2025-11-27T11:51:11.880917,31,56,174,199,42,20,72,54,-2807,-2195,11152,-11462,879,-1900,61,-7,-6,11
2025-11-27T11:51:11.901522,33,57,170,243,50,20,72,48,-2807,-2195,11153,-11461,878,-1901,56,6,-6,7
2025-11-27T11:51:11.918467,29,51,164,237,54,20,74,50,-2805,-2195,11152,-11462,882,-1908,59,17,-1,5
2025-11-27T11:51:11.939476,28,49,162,220,51,19,75,64,-2805,-2195,11152,-11462,871,-1893,72,5,-1,-1
2025-11-27T11:51:11.961890,26,44,133,240,58,23,65,69,-2805,-2195,11153,-11462,876,-1906,52,-13,-1,-3
2025-11-27T11:51:11.982875,25,45,128,257,59,23,61,67,-2805,-2195,11153,-11461,880,-1902,61,6,-9,1
2025-11-27T11:51:12.001612,23,50,137,216,56,24,59,69,-2803,-2197,11151,-11463,876,-1896,66,22,-8,-3
2025-11-27T11:51:12.024136,22,49,142,207,52,24,62,69,-2802,-2199,11149,-11465,875,-1886,58,27,-5,-4
2025-11-27T11:51:12.043792,26,51,138,223,54,23,59,56,-2802,-2199,11150,-11465,873,-1889,51,14,-2,-4
2025-11-27T11:51:12.062655,24,51,164,209,50,20,52,49,-2802,-2199,11150,-11464,872,-1905,55,2,-4,-6
2025-11-27T11:51:12.084008,24,49,159,197,45,22,55,46,-2801,-2199,11151,-11464,877,-1901,45,9,-5,-4
2025-11-27T11:51:12.103170,26,44,167,199,46,22,61,46,-2801,-2201,11150,-11464,878,-1892,51,21,-2,-8
2025-11-27T11:51:12.121544,26,45,193,215,49,21,56,47,-2801,-2202,11150,-11464,879,-1895,47,6,0,1
2025-11-27T11:51:12.144091,28,48,192,195,48,22,58,50,-2801,-2202,11151,-11463,889,-1890,59,6,-3,-3
2025-11-27T11:51:12.163063,30,48,166,208,49,23,57,49,-2801,-2204,11149,-11464,885,-1895,69,16,-5,-4
2025-11-27T11:51:12.181621,31,50,174,239,58,23,49,47,-2801,-2204,11150,-11464,902,-1886,38,-8,2,-11
2025-11-27T11:51:12.211428,30,48,175,277,64,23,40,40,-2804,-2205,11160,-11453,899,-1858,76,-87,-13,1
2025-11-27T11:51:12.223326,30,46,136,282,120,89,45,36,-2799,-2198,11189,-11427,851,-1918,111,-235,-45,24
2025-11-27T11:51:12.241384,25,39,186,340,362,145,56,27,-2798,-2189,11252,-11367,845,-1984,191,-558,-115,-8
2025-11-27T11:51:12.263756,24,34,188,441,405,161,64,29,-2818,-2180,11364,-11252,948,-1680,108,-951,-100,16
2025-11-27T11:51:12.283742,23,34,185,435,418,173,69,30,-2825,-2139,11485,-11135,941,-1963,56,-1010,-43,128
2025-11-27T11:51:12.301366,24,31,190,418,446,188,75,35,-2795,-2068,11574,-11063,945,-2259,112,-766,-31,347
2025-11-27T11:51:12.324015,27,34,188,432,483,191,79,36,-2736,-1965,11647,-11020,793,-2168,54,-573,29,566
2025-11-27T11:51:12.343295,26,46,170,406,363,166,70,37,-2663,-1829,11716,-10988,754,-2184,-1,-523,113,756
2025-11-27T11:51:12.360983,31,59,208,346,325,160,68,36,-2575,-1643,11788,-10962,690,-2343,23,-574,236,986
2025-11-27T11:51:12.383812,33,61,218,328,327,187,73,38,-2450,-1402,11878,-10926,505,-2408,14,-719,275,1279
2025-11-27T11:51:12.403790,33,60,202,310,306,201,73,37,-2305,-1123,11981,-10877,328,-2225,0,-848,325,1489
2025-11-27T11:51:12.421595,31,60,200,274,230,187,68,35,-2172,-830,12125,-10771,177,-2195,-145,-1159,390,1612
2025-11-27T11:51:12.444036,31,52,189,244,214,187,71,37,-2035,-535,12262,-10661,116,-2322,-225,-1147,390,1624
2025-11-27T11:51:12.463414,27,38,151,131,205,183,69,36,-1899,-248,12362,-10581,164,-2447,-257,-886,394,1618
2025-11-27T11:51:12.481579,23,35,134,122,258,161,61,33,-1756,40,12410,-10552,161,-2382,-324,-477,407,1689
2025-11-27T11:51:12.504389,20,35,132,147,252,133,57,30,-1609,324,12434,-10542,134,-2228,-417,-297,393,1707
2025-11-27T11:51:12.523248,20,33,128,152,250,123,53,28,-1471,593,12446,-10537,81,-2002,-439,-210,379,1620
2025-11-27T11:51:12.541568,21,30,102,163,244,107,42,24,-1347,838,12456,-10525,68,-1990,-475,-157,362,1450
2025-11-27T11:51:12.563793,20,27,82,234,242,101,48,22,-1244,1056,12471,-10500,69,-2009,-494,-206,345,1282
2025-11-27T11:51:12.583259,26,25,73,327,163,69,58,94,-1165,1237,12480,-10478,65,-2005,-467,-166,314,1066
2025-11-27T11:51:12.605895,29,25,113,362,202,60,54,102,-1105,1376,12482,-10465,88,-2007,-414,-115,238,851
2025-11-27T11:51:12.623704,45,26,112,429,220,79,58,206,-1061,1489,12506,-10426,76,-1856,-513,-224,212,675
