timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764248741.8600845,18,22,35,25,110,28,23,19,9018,-11483,2549,-6983,869,-1886,-90,-15,9,3
1764248741.8827357,17,21,43,26,109,25,22,18,9016,-11485,2552,-6981,869,-1901,-85,-18,6,-1
1764248741.8974562,17,23,44,27,110,25,21,19,9014,-11487,2557,-6978,860,-1907,-74,-23,3,3
1764248741.9223955,19,22,42,25,111,25,21,19,9013,-11489,2562,-6976,858,-1909,-72,-24,5,4
1764248741.941995,19,20,42,24,91,24,21,19,9011,-11490,2567,-6973,855,-1894,-70,-23,4,7
1764248741.9567828,17,22,44,24,98,26,18,19,9010,-11492,2572,-6971,867,-1901,-68,-27,2,7
1764248741.97925,19,22,36,23,100,33,20,20,9007,-11494,2577,-6969,871,-1922,-69,-31,5,5
1764248742.002282,19,23,43,24,103,35,22,20,9005,-11496,2582,-6967,860,-1918,-73,-31,7,-1
1764248742.0168848,18,22,41,23,102,36,22,21,9003,-11498,2587,-6965,857,-1923,-76,-27,4,-1
1764248742.0393333,19,23,41,26,101,36,20,21,9002,-11499,2591,-6962,855,-1920,-78,-17,1,1
1764248742.0619214,20,22,40,29,83,35,22,20,9002,-11499,2592,-6961,849,-1905,-98,-12,1,0
1764248742.0777347,18,21,47,36,86,38,25,21,8994,-11508,2595,-6956,847,-1893,-95,-61,-21,-13
1764248742.0992126,18,20,53,66,88,43,34,22,8958,-11540,2599,-6946,881,-1798,-92,-258,-69,-49
1764248742.1253753,18,22,106,84,104,51,40,24,8890,-11595,2624,-6934,926,-1799,-132,-492,-39,-31
1764248742.1400754,17,22,115,277,152,62,44,27,8816,-11655,2671,-6910,921,-2005,-120,-623,-29,14
1764248742.1592665,21,26,125,319,167,113,54,31,8745,-11711,2724,-6886,941,-2011,-151,-608,-11,63
1764248742.1820037,26,39,125,382,190,149,65,35,8656,-11781,2779,-6856,978,-1927,-147,-747,-51,73
1764248742.2003922,28,49,256,451,261,177,76,42,8536,-11864,2870,-6826,1081,-1813,-254,-955,58,215
1764248742.2191858,32,59,261,463,289,186,79,43,8412,-11933,3043,-6785,1078,-2031,-309,-1139,295,537
1764248742.242696,31,61,281,397,290,185,80,43,8326,-11982,3277,-6694,887,-2270,-333,-1151,272,910
1764248742.2600906,33,60,280,379,331,190,91,47,8299,-11997,3549,-6561,544,-2416,-313,-986,237,1204
1764248742.2795918,31,63,284,393,325,185,93,47,8314,-11985,3827,-6406,290,-2297,-311,-787,186,1348
1764248742.301924,33,59,189,345,282,165,88,44,8360,-11937,4119,-6253,170,-2451,-229,-653,264,1472
1764248742.3201156,30,50,168,370,258,162,88,41,8417,-11869,4392,-6117,3,-2718,-181,-396,294,1626
1764248742.3392355,37,53,168,416,238,162,87,40,8536,-11757,4656,-5971,-277,-2773,-162,-18,232,1783
1764248742.3619359,36,53,179,420,161,127,69,31,8728,-11601,4882,-5819,-485,-2517,-193,486,79,1863
1764248742.379678,108,60,177,373,147,92,54,30,8922,-11443,5095,-5651,-459,-2280,-295,524,-25,1889
1764248742.3995407,126,77,195,401,134,79,44,24,9079,-11301,5326,-5471,-405,-2280,-357,285,15,1918
1764248742.4223516,134,84,253,388,112,59,37,25,9235,-11150,5545,-5299,-446,-2498,-349,335,22,1865
