timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-12-01T17:44:16.351613,17,22,20,18,21,24,18,18,-7734,10448,9930,-923,1021,-1481,-1188,96,194,-128
2025-12-01T17:44:16.366298,16,23,20,19,20,25,19,17,-7764,10428,9929,-908,1014,-1500,-1186,95,176,-153
2025-12-01T17:44:16.386524,17,22,19,18,19,22,18,18,-7790,10407,9932,-896,982,-1515,-1168,85,150,-185
2025-12-01T17:44:16.404318,19,20,19,17,19,21,18,18,-7808,10380,9946,-892,902,-1526,-1168,97,85,-251
2025-12-01T17:44:16.418433,21,23,20,18,18,20,17,18,-7830,10343,9966,-900,934,-1559,-1136,151,28,-278
2025-12-01T17:44:16.441800,20,22,21,17,19,22,17,19,-7847,10305,9992,-905,944,-1497,-1154,160,6,-291
2025-12-01T17:44:16.465538,22,22,21,17,18,21,15,20,-7854,10271,10022,-897,985,-1456,-1165,77,3,-299
2025-12-01T17:44:16.479921,22,22,22,18,20,22,16,19,-7848,10244,10056,-869,987,-1459,-1177,-55,28,-344
2025-12-01T17:44:16.502072,21,21,21,20,21,24,16,19,-7842,10212,10099,-810,1278,-1414,-1226,-127,38,-364
2025-12-01T17:44:16.525529,19,17,20,19,20,25,17,19,-7824,10161,10176,-654,1110,-1286,-1196,-446,287,-850
2025-12-01T17:44:16.547750,20,17,20,21,18,23,17,19,-7793,10123,10246,-484,1204,-1300,-1206,-587,297,-807
2025-12-01T17:44:16.563663,20,16,20,21,17,21,19,20,-7764,10092,10305,-317,1288,-1342,-1226,-608,309,-745
2025-12-01T17:44:16.594416,20,16,19,20,19,22,18,19,-7736,10064,10357,-161,1296,-1303,-1257,-568,305,-685
2025-12-01T17:44:16.601904,19,20,20,21,20,22,18,19,-7713,10043,10395,-42,1318,-1316,-1214,-459,217,-525
2025-12-01T17:44:16.624593,19,23,21,22,22,22,17,19,-7712,10004,10434,63,1423,-1208,-1219,-260,223,-506
2025-12-01T17:44:16.647371,18,25,19,22,27,21,17,19,-7720,9966,10464,147,1378,-1213,-1199,-171,220,-441
2025-12-01T17:44:16.661446,16,26,19,22,28,23,19,17,-7738,9927,10486,208,1478,-1139,-1187,-40,168,-314
2025-12-01T17:44:16.684635,18,26,21,23,29,22,19,18,-7764,9890,10501,255,1454,-1133,-1193,36,186,-250
2025-12-01T17:44:16.707588,18,24,23,21,27,22,19,19,-7794,9859,10507,285,1483,-1122,-1185,98,163,-153
2025-12-01T17:44:16.721465,19,23,24,21,26,22,20,19,-7824,9839,10503,293,1438,-1134,-1182,145,127,-36
2025-12-01T17:44:16.744693,19,20,24,19,21,22,21,20,-7859,9823,10492,281,1437,-1138,-1150,212,88,55
2025-12-01T17:44:16.767200,21,21,24,21,20,21,18,19,-7893,9815,10475,261,1411,-1155,-1153,220,91,112
2025-12-01T17:44:16.781379,20,21,21,20,17,21,17,19,-7929,9811,10452,233,1372,-1208,-1152,230,96,148
2025-12-01T17:44:16.805171,21,19,18,19,17,22,16,19,-7966,9809,10426,200,1342,-1235,-1146,245,99,161
2025-12-01T17:44:16.826749,20,18,17,19,17,23,17,19,-8002,9808,10401,166,1339,-1251,-1139,241,98,158
2025-12-01T17:44:16.841761,20,17,17,18,19,22,16,17,-8035,9807,10377,135,1328,-1264,-1153,226,96,145
2025-12-01T17:44:16.872418,20,14,19,17,19,22,16,17,-8065,9806,10354,103,1318,-1299,-1126,212,78,134
2025-12-01T17:44:16.886684,21,14,21,19,19,24,17,18,-8089,9807,10335,69,1302,-1301,-1113,184,41,136
2025-12-01T17:44:16.911460,22,16,21,19,19,22,20,18,-8115,9804,10318,40,1341,-1303,-1080,185,37,112
2025-12-01T17:44:16.924197,22,17,20,18,19,24,20,22,-8138,9800,10303,12,1317,-1308,-1098,174,36,90
2025-12-01T17:44:16.944967,22,19,22,20,19,25,20,21,-8155,9799,10290,-13,1319,-1327,-1069,131,15,88
2025-12-01T17:44:16.960529,22,19,21,23,19,24,22,23,-8164,9803,10279,-38,1298,-1330,-1083,95,-11,94
2025-12-01T17:44:16.982034,20,21,20,21,19,23,22,23,-8173,9807,10269,-60,1308,-1330,-1068,83,-13,85
2025-12-01T17:44:17.005789,18,19,21,21,17,22,20,24,-8178,9810,10261,-78,1295,-1321,-1071,64,-13,69
2025-12-01T17:44:17.029897,20,21,24,21,18,21,18,20,-8179,9815,10257,-91,1300,-1317,-1088,33,-16,52
2025-12-01T17:44:17.044100,20,23,22,20,16,19,18,20,-8179,9818,10253,-99,1309,-1313,-1084,19,-10,34
2025-12-01T17:44:17.064916,20,22,21,17,16,19,18,19,-8180,9820,10251,-105,1315,-1326,-1080,10,-5,18
