timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764263269.225664,19,20,20,22,20,25,23,19,11512,-11422,-1811,1477,69,-2087,26,7,2,-1
1764263269.249752,18,21,19,21,21,21,21,19,11512,-11421,-1811,1477,63,-2080,14,11,2,-1
1764263269.2714956,20,21,18,21,21,20,22,21,11512,-11422,-1811,1477,60,-2085,5,13,1,0
1764263269.2861276,21,21,20,22,23,23,20,22,11512,-11421,-1811,1477,63,-2077,15,10,1,-1
1764263269.308993,22,18,19,20,24,22,19,22,11512,-11421,-1811,1477,67,-2082,16,3,0,-1
1764263269.3314507,20,18,20,19,32,22,22,22,11512,-11421,-1811,1477,67,-2080,16,-1,-1,0
1764263269.346071,23,17,19,20,32,22,22,26,11512,-11421,-1811,1477,67,-2078,16,-4,0,-1
1764263269.369353,23,19,22,18,32,19,25,25,11513,-11421,-1811,1477,62,-2091,21,2,-1,-1
1764263269.3916557,26,19,20,18,31,15,25,24,11513,-11421,-1811,1477,72,-2089,10,7,0,0
1764263269.4058125,27,20,21,21,30,16,26,26,11513,-11420,-1811,1477,66,-2086,21,10,0,1
1764263269.4287415,29,21,20,20,22,21,24,26,11513,-11420,-1811,1477,62,-2088,9,10,1,0
1764263269.4514973,26,20,21,21,23,23,24,24,11513,-11420,-1811,1477,63,-2085,24,6,-1,2
1764263269.4655173,26,20,20,24,23,29,32,22,11513,-11420,-1811,1476,68,-2095,0,5,6,-8
1764263269.489243,23,21,20,24,22,32,40,22,11519,-11415,-1811,1475,70,-2102,14,39,9,-8
1764263269.512155,22,21,19,23,20,33,47,23,11529,-11406,-1808,1473,65,-2105,9,78,17,-5
1764263269.526002,21,21,19,25,25,31,48,29,11544,-11391,-1805,1471,71,-2107,7,122,25,-10
1764263269.5491996,23,20,19,27,22,35,49,31,11566,-11370,-1799,1467,57,-2114,-15,191,40,-17
1764263269.5713534,22,18,17,26,22,33,41,30,11599,-11338,-1793,1461,36,-2109,21,262,50,-54
1764263269.585634,23,19,17,29,28,34,34,30,11636,-11301,-1793,1449,49,-2111,32,295,50,-104
1764263269.6091979,22,19,24,28,30,35,22,29,11671,-11267,-1796,1433,71,-2142,31,281,53,-115
1764263269.631413,22,18,23,27,29,42,30,27,11715,-11222,-1797,1421,78,-2168,28,366,51,-103
1764263269.645963,20,19,26,29,62,47,35,30,11769,-11167,-1795,1413,66,-2209,6,474,45,-98
1764263269.6686738,23,25,34,31,84,49,42,33,11847,-11083,-1811,1403,153,-2398,78,660,-16,-165
1764263269.6914523,23,33,34,33,96,51,44,32,11921,-11000,-1831,1407,-5,-2261,46,675,-93,-206
1764263269.7146277,26,33,37,114,107,53,82,32,11971,-10937,-1879,1408,-68,-2177,117,457,-204,-339
1764263269.731058,32,33,38,116,127,51,109,30,11937,-10951,-2045,1356,-378,-1909,173,-370,-238,-676
1764263269.753855,46,37,37,130,124,43,113,25,11818,-11070,-2092,1357,-404,-1999,98,-946,-247,-333
1764263269.7732327,68,40,36,158,143,40,112,28,11620,-11269,-2116,1399,-421,-2037,-153,-1424,-306,7
1764263269.7913313,76,37,45,165,186,43,113,30,11389,-11488,-2163,1440,-390,-2133,-257,-1726,-407,178
1764263269.8135521,79,36,40,126,198,45,99,31,11144,-11710,-2160,1570,-402,-2174,-359,-1592,-555,530
1764263269.8332903,82,37,44,133,193,48,74,31,10912,-11905,-2149,1735,-445,-2214,-397,-1435,-662,672
1764263269.8555605,76,33,48,131,196,53,76,37,10725,-12050,-2138,1909,-273,-2213,-431,-1073,-701,761
1764263269.873232,64,29,47,113,195,54,78,34,10558,-12170,-2130,2076,-216,-1973,-445,-904,-692,748
1764263269.9010406,58,29,52,164,162,54,80,39,10382,-12294,-2116,2242,-396,-2003,-565,-918,-657,703
1764263269.9160583,53,29,55,186,175,56,67,39,10155,-12449,-2108,2426,-334,-1929,-627,-1227,-781,861
1764263269.9337895,45,28,54,191,189,55,60,40,9884,-12628,-2132,2596,-317,-1953,-723,-1630,-852,825
1764263269.9531193,42,30,55,204,208,55,44,36,9581,-12816,-2168,2772,-271,-2099,-790,-1817,-935,840
1764263269.9757152,32,26,56,204,207,54,38,35,9311,-12968,-2201,2952,-225,-2239,-763,-1538,-971,858
1764263269.9935765,26,21,48,181,218,50,36,32,9063,-13099,-2221,3127,-171,-2183,-804,-1369,-934,920
1764263270.0130875,27,24,48,173,226,53,44,31,8828,-13217,-2235,3291,-109,-2016,-816,-1269,-884,928
1764263270.0357718,28,23,51,184,268,51,43,28,8565,-13351,-2245,3433,-79,-1948,-876,-1446,-801,956
1764263270.0538921,30,26,57,198,275,54,45,28,8270,-13498,-2238,3583,-35,-1924,-915,-1652,-742,980
1764263270.073242,31,27,60,210,324,58,46,28,7947,-13655,-2233,3720,-21,-1932,-883,-1823,-699,991
1764263270.0955238,31,28,63,197,323,70,46,27,7616,-13808,-2227,3849,-11,-2020,-919,-1876,-675,987
1764263270.1140685,29,28,65,194,310,82,43,27,7311,-13943,-2210,3963,-10,-2064,-932,-1714,-587,959
1764263270.1329648,29,29,71,178,285,145,53,34,7071,-14046,-2206,4036,-24,-2002,-919,-1487,-520,933
1764263270.1555138,29,26,68,150,275,177,56,37,6845,-14141,-2201,4095,-42,-1957,-909,-1440,-456,879
1764263270.1807165,33,32,90,146,225,210,71,44,6645,-14222,-2193,4150,-106,-1961,-957,-1279,-427,822
1764263270.192935,32,33,114,151,230,242,81,47,6440,-14304,-2185,4194,-153,-1882,-994,-1307,-369,783
1764263270.223452,33,32,134,151,289,279,83,47,6241,-14378,-2185,4241,-239,-1887,-1033,-1279,-394,712
1764263270.2334712,36,32,133,171,300,299,83,45,6053,-14443,-2190,4291,-330,-1919,-1065,-1232,-409,652
1764263270.2532034,35,31,140,168,305,297,82,43,5916,-14484,-2192,4341,-370,-1924,-1039,-957,-382,580
1764263270.276273,32,27,132,168,287,279,69,35,5818,-14515,-2186,4374,-399,-1788,-1063,-696,-268,481
1764263270.2939322,34,28,110,196,283,292,59,33,5753,-14536,-2185,4389,-448,-1749,-1052,-535,-159,343
1764263270.3134582,34,28,84,191,267,296,67,39,5702,-14557,-2191,4386,-476,-1684,-1126,-450,-80,225
1764263270.3356583,38,29,113,182,242,264,68,38,5663,-14571,-2201,4382,-555,-1631,-1193,-343,-71,147
1764263270.3539195,37,29,121,189,247,263,69,40,5659,-14577,-2205,4366,-510,-1670,-1193,-167,2,116
1764263270.3734334,36,31,114,208,303,296,72,41,5654,-14583,-2197,4357,-623,-1593,-1288,-92,7,137
1764263270.395992,37,30,122,216,306,266,73,39,5628,-14595,-2187,4354,-646,-1465,-1317,-148,-26,156
1764263270.4131877,36,31,126,253,259,232,61,34,5584,-14611,-2187,4359,-703,-1476,-1359,-243,-77,133
1764263270.4332285,29,33,104,281,256,230,53,30,5546,-14622,-2190,4368,-784,-1533,-1368,-236,-86,102
1764263270.4559007,29,33,93,327,258,217,50,29,5523,-14626,-2189,4384,-818,-1547,-1343,-144,-88,100
1764263270.4704194,29,33,101,311,228,170,46,26,5510,-14627,-2185,4400,-813,-1524,-1328,-87,-85,94
1764263270.493004,23,33,118,307,240,201,43,29,5503,-14625,-2183,4417,-815,-1535,-1312,-62,-91,82
1764263270.5113482,21,35,122,286,244,195,47,27,5493,-14624,-2183,4432,-794,-1501,-1307,-74,-93,69
1764263270.5333626,21,34,132,256,245,189,47,29,5492,-14621,-2185,4442,-790,-1532,-1315,-42,-73,52
1764263270.5532274,21,36,128,196,214,189,46,27,5504,-14615,-2187,4447,-737,-1557,-1338,28,-66,40
1764263270.5706086,19,34,122,193,173,204,45,30,5527,-14606,-2190,4446,-753,-1513,-1311,95,-21,-8
