timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764284664.331604,37,62,37,73,30,28,32,87,10102,-11972,4629,-1274,-504,-1981,-506,-46,13,-37
1764284664.3512583,45,69,61,102,35,31,31,60,10076,-11997,4623,-1271,-553,-1970,-512,-183,-2,-99
1764284664.373872,53,70,66,122,42,37,39,60,10021,-12051,4606,-1251,-575,-2033,-489,-447,-59,-149
1764284664.3916707,53,69,69,151,50,40,58,55,9938,-12133,4584,-1208,-568,-2192,-494,-732,-140,-125
1764284664.4187224,53,77,89,174,59,58,82,62,9861,-12207,4565,-1157,-583,-2310,-572,-689,-179,-62
1764284664.4367018,55,83,92,190,112,71,90,60,9831,-12243,4550,-1093,-733,-2341,-633,-363,-253,10
1764284664.4515676,54,74,86,203,161,91,110,69,9851,-12239,4542,-989,-886,-2292,-625,-82,-445,181
1764284664.4716237,52,72,88,205,254,123,155,76,9916,-12201,4531,-852,-1030,-2265,-614,181,-636,285
1764284664.4967015,58,76,92,193,276,139,159,77,10017,-12138,4499,-709,-1189,-2044,-611,456,-769,177
1764284664.527645,58,72,78,171,277,134,150,78,10137,-12077,4419,-554,-1348,-1956,-566,530,-1002,-65
1764284664.5311186,60,68,77,153,264,127,144,109,10226,-12047,4313,-366,-1347,-2013,-633,294,-1212,-84
1764284664.5704346,60,70,72,107,245,118,133,111,10315,-12025,4173,-170,-1141,-2186,-576,219,-1391,-66
1764284664.5738916,58,78,76,94,156,86,77,108,10441,-11970,4017,46,-1264,-2289,-561,470,-1575,-43
1764284664.5913675,51,73,71,80,126,61,57,107,10600,-11893,3818,267,-1308,-2214,-610,645,-1836,10
1764284664.61462,48,78,85,91,135,64,54,105,10775,-11800,3585,488,-1090,-2014,-489,769,-1977,-90
1764284664.6319635,50,74,90,97,154,71,59,86,10947,-11705,3340,665,-895,-1932,-384,803,-1849,-273
1764284664.6539922,48,74,94,99,146,62,51,91,11108,-11616,3080,792,-834,-1940,-380,799,-1686,-523
1764284664.681581,53,69,93,119,257,63,49,94,11251,-11541,2808,870,-770,-1959,-378,841,-1558,-809
1764284664.691523,53,69,104,134,295,67,46,96,11402,-11459,2515,889,-556,-2010,-353,963,-1423,-1016
1764284664.7119877,53,66,96,131,302,78,52,94,11587,-11340,2217,824,-269,-1993,-308,1319,-1151,-1231
1764284664.7336423,52,65,93,150,334,97,59,81,11796,-11185,1923,705,-44,-1942,-123,1538,-926,-1331
1764284664.7517266,51,63,88,155,382,108,76,62,11994,-11025,1650,553,189,-1791,-51,1528,-691,-1307
1764284664.7712123,44,56,81,131,320,112,77,57,12171,-10872,1395,382,428,-1668,-17,1445,-518,-1235
1764284664.793729,43,57,66,131,282,116,91,56,12318,-10739,1152,217,613,-1673,69,1230,-442,-1102
1764284664.8117914,40,44,62,136,272,112,96,60,12442,-10619,927,63,698,-1670,184,1039,-379,-971
1764284664.8317604,38,43,80,126,232,106,99,57,12548,-10509,723,-88,650,-1630,220,934,-288,-947
1764284664.853983,35,40,81,138,157,106,104,58,12635,-10413,542,-226,580,-1631,303,766,-238,-869
1764284664.8762774,40,41,83,139,142,142,129,60,12693,-10347,388,-334,528,-1702,327,535,-229,-710
1764284664.8916469,43,40,83,129,141,138,123,56,12736,-10295,244,-417,479,-1737,376,402,-278,-603
1764284664.9139683,53,49,89,129,135,153,125,52,12781,-10238,101,-498,458,-1734,436,410,-286,-625
1764284664.9318507,80,72,80,147,109,158,137,57,12836,-10164,-38,-591,464,-1748,403,546,-227,-682
1764284664.9512284,85,76,89,209,141,163,149,57,12888,-10092,-146,-677,375,-2099,489,537,-128,-619
1764284664.9738123,90,81,95,218,210,188,178,76,12953,-10004,-196,-727,302,-1830,556,577,-5,-294
1764284664.9916413,100,88,102,231,214,230,227,106,12986,-9958,-206,-772,236,-1690,558,262,137,-174
1764284665.0115328,102,91,106,247,240,232,235,108,12943,-10009,-206,-835,242,-1688,478,-397,207,-235
1764284665.0412028,91,78,112,241,252,231,232,111,12857,-10114,-216,-896,175,-1968,470,-750,128,-321
1764284665.0515554,88,73,111,202,233,228,225,112,12783,-10205,-235,-918,146,-2317,416,-589,-46,-220
1764284665.072548,83,70,122,218,201,195,192,100,12782,-10205,-274,-914,135,-2151,501,8,-196,-159
1764284665.0937698,69,63,124,210,216,155,139,75,12829,-10144,-325,-922,180,-2037,587,391,-179,-225
1764284665.1119187,78,64,119,203,197,139,127,81,12891,-10061,-372,-949,169,-1934,588,538,-91,-292
1764284665.1319792,73,65,112,192,205,147,131,79,12948,-9981,-423,-992,100,-1874,486,564,-63,-423
1764284665.1539133,72,64,107,188,213,171,135,80,12990,-9921,-471,-1021,112,-2052,520,449,-102,-364
1764284665.1764853,69,62,95,167,195,165,133,76,13037,-9857,-506,-1028,212,-2022,556,465,-107,-172
1764284665.1915395,71,71,102,169,194,165,124,69,13077,-9803,-523,-1026,248,-1969,560,394,-61,-48
1764284665.2138815,54,66,108,155,198,167,130,64,13096,-9778,-522,-1025,225,-1902,607,153,10,-6
1764284665.2389176,51,73,109,155,225,171,115,60,13088,-9789,-497,-1038,210,-2001,653,-114,134,0
1764284665.2517061,52,77,128,136,273,170,104,53,13081,-9799,-470,-1045,215,-2027,613,-83,135,35
1764284665.2745361,76,129,225,242,429,269,164,78,13098,-9774,-463,-1060,155,-2070,646,149,72,-101
1764284665.296206,75,132,242,249,453,272,166,78,13128,-9731,-475,-1079,214,-2011,613,299,23,-149
1764284665.311679,71,131,243,289,488,287,156,73,13158,-9690,-468,-1098,296,-2147,715,260,112,-51
1764284665.3338127,69,127,257,319,493,291,162,70,13187,-9655,-384,-1085,232,-2280,780,200,341,321
1764284665.3565478,92,149,268,352,508,281,165,79,13225,-9611,-255,-1050,107,-2153,763,250,463,529
1764284665.371717,105,128,214,341,417,205,142,73,13245,-9589,-106,-1021,39,-2040,727,92,560,549
1764284665.393817,108,124,198,362,404,203,138,74,13228,-9615,56,-999,40,-2097,692,-234,634,570
1764284665.4163983,113,133,217,415,409,180,142,78,13188,-9670,238,-974,24,-2126,673,-441,706,651
1764284665.4310415,114,135,211,435,460,155,134,78,13137,-9735,443,-940,-62,-2153,622,-517,774,749
1764284665.4550722,102,119,205,488,597,193,134,78,13087,-9794,656,-899,-129,-2176,635,-503,789,795
1764284665.4848464,82,113,194,491,625,186,97,108,13051,-9829,854,-869,-139,-2082,596,-348,767,729
1764284665.4915924,86,112,201,503,636,186,99,123,13017,-9858,1043,-857,-93,-2129,509,-257,797,663
1764284665.5141313,81,104,183,450,612,181,88,129,12984,-9880,1229,-843,-98,-2055,520,-249,790,684
1764284665.5361564,81,101,171,411,568,187,93,134,12950,-9901,1413,-837,-128,-1960,482,-243,805,643
1764284665.551383,82,95,154,342,392,184,108,141,12907,-9932,1581,-836,-121,-1958,451,-309,758,575
1764284665.5734873,70,85,152,290,336,169,107,112,12867,-9958,1729,-849,-79,-1860,444,-273,727,482
1764284665.5988448,61,86,157,266,329,163,106,99,12826,-9987,1857,-869,-76,-1813,368,-259,660,389
1764284665.6113677,60,84,159,275,319,166,112,89,12786,-10016,1962,-895,-92,-1832,357,-242,576,286
1764284665.633637,56,84,161,310,315,162,109,83,12760,-10029,2043,-928,-98,-1823,343,-112,492,188
1764284665.6566808,49,83,196,381,297,103,82,68,12740,-10039,2102,-961,-81,-1750,316,-67,391,124
1764284665.6712413,48,78,203,397,265,93,75,72,12723,-10050,2141,-990,-92,-1722,348,-80,289,68
1764284665.6936793,46,76,194,375,220,89,82,82,12710,-10058,2162,-1021,-140,-1807,370,-55,218,-20
1764284665.7165408,47,77,187,359,230,89,91,85,12711,-10051,2167,-1065,-182,-1802,377,74,180,-142
1764284665.7317042,64,85,189,339,287,106,113,113,12719,-10038,2159,-1116,-194,-1786,396,125,139,-220
1764284665.753751,64,83,155,251,340,155,132,120,12722,-10031,2145,-1168,-199,-1777,413,74,123,-258
1764284665.7761145,69,82,160,233,366,164,133,127,12716,-10036,2131,-1218,-165,-1692,436,-30,115,-259
1764284665.791123,74,80,148,252,379,165,130,123,12701,-10052,2115,-1265,-129,-1835,434,-100,106,-236
1764284665.8136635,74,81,156,260,383,164,118,121,12688,-10067,2102,-1297,-161,-1957,433,-79,64,-181
1764284665.8364553,59,72,156,305,340,148,93,97,12685,-10070,2095,-1312,-207,-1952,401,-2,19,-92
1764284665.8519294,55,65,148,283,274,92,57,101,12682,-10075,2095,-1309,-219,-1967,411,-26,-11,-3
1764284665.8741107,49,60,120,270,238,73,53,98,12677,-10081,2102,-1297,-231,-1996,412,-42,-19,58
1764284665.8961966,41,55,124,286,236,77,52,93,12668,-10093,2112,-1276,-240,-1954,413,-102,-28,94
1764284665.9113708,38,48,112,274,260,81,68,98,12642,-10125,2131,-1252,-232,-1913,417,-267,-2,121
1764284665.9337068,39,45,108,225,252,102,78,101,12592,-10184,2157,-1229,-214,-1828,370,-457,46,122
1764284665.9560938,41,45,108,315,261,110,82,86,12522,-10267,2184,-1209,-161,-1918,372,-640,70,120
1764284665.971276,41,49,121,343,275,116,85,74,12449,-10352,2207,-1190,-152,-2015,371,-660,60,110
1764284665.9936028,44,56,117,323,253,110,90,78,12391,-10419,2224,-1179,-152,-2027,404,-553,63,78
1764284666.0162473,48,57,112,327,230,141,109,73,12347,-10467,2242,-1182,-134,-1998,393,-418,115,51
1764284666.0392509,48,66,128,375,274,142,110,69,12312,-10504,2252,-1205,-204,-2046,326,-284,139,-85
1764284666.0539854,46,71,124,312,261,135,107,65,12306,-10508,2252,-1233,-280,-2172,299,-14,98,-147
1764284666.0765212,73,91,116,284,249,133,104,63,12322,-10487,2251,-1241,-284,-2140,259,180,15,-38
1764284666.098974,105,121,118,298,319,136,97,51,12345,-10461,2251,-1238,-263,-2018,268,206,-22,23
1764284666.1137846,109,125,124,292,303,92,59,55,12358,-10446,2255,-1234,-262,-1964,312,97,-3,27
1764284666.1363974,114,128,106,206,253,63,42,56,12353,-10450,2262,-1232,-258,-1940,308,-48,22,5
1764284666.1589613,114,127,104,191,253,63,44,60,12328,-10477,2271,-1236,-252,-2022,313,-211,59,-23
1764284666.1735034,99,110,93,200,259,59,43,57,12295,-10511,2289,-1246,-296,-2105,325,-279,122,-52
1764284666.1963146,66,76,85,179,166,67,69,61,12274,-10525,2324,-1263,-299,-1922,327,-171,213,-8
1764284666.2271159,65,77,79,192,192,94,81,57,12234,-10567,2340,-1273,-221,-2005,246,-312,117,-29
1764284666.2337008,114,125,97,262,328,139,98,80,12206,-10599,2340,-1274,-181,-2241,230,-209,15,-2
1764284666.2560112,119,128,107,276,337,140,99,82,12231,-10573,2329,-1272,-186,-2229,263,211,-59,35
1764284666.278993,124,136,119,278,343,146,104,86,12272,-10528,2323,-1266,-185,-1953,269,333,-58,80
1764284666.29357,138,155,122,281,418,158,95,90,12302,-10492,2328,-1264,-163,-1818,343,207,16,96
1764284666.3161314,135,155,124,282,444,148,87,91,12308,-10482,2345,-1257,-142,-1855,363,-2,57,140
1764284666.338594,93,113,110,245,428,123,70,68,12297,-10492,2364,-1238,-116,-1892,324,-134,30,199
1764284666.3538723,90,109,103,241,448,130,69,64,12287,-10504,2379,-1210,-78,-1875,321,-148,-19,242
1764284666.376513,91,113,100,265,449,127,70,61,12278,-10516,2391,-1176,-66,-1889,361,-173,-54,271
1764284666.3989534,62,82,96,279,396,108,61,55,12276,-10520,2403,-1136,-53,-1933,408,-147,-68,313
1764284666.4142618,61,77,99,289,423,136,72,55,12285,-10510,2419,-1094,-45,-1926,388,-33,-60,365
1764284666.4365494,63,77,100,296,380,140,77,55,12308,-10483,2435,-1054,-56,-1830,369,96,-62,370
1764284666.4586217,62,78,98,290,363,144,80,55,12328,-10462,2445,-1006,-18,-1716,361,55,-111,390
1764284666.473968,54,65,93,284,422,154,84,58,12335,-10456,2455,-955,65,-1680,341,-51,-109,430
1764284666.4959996,55,70,101,264,436,157,92,59,12334,-10459,2472,-901,177,-1652,318,-112,-86,524
1764284666.5187216,61,75,108,251,409,149,101,61,12323,-10473,2488,-838,215,-1609,306,-201,-108,566
1764284666.5337012,61,76,108,236,428,146,100,59,12297,-10511,2480,-767,151,-1747,294,-342,-238,469
1764284666.555977,63,80,120,269,471,158,110,65,12268,-10560,2433,-699,105,-1871,288,-388,-393,297
1764284666.5786533,61,82,125,243,419,147,110,62,12242,-10609,2366,-642,124,-1920,223,-326,-449,192
1764284666.5942712,63,80,120,238,408,142,104,60,12220,-10653,2295,-604,24,-2011,156,-233,-410,48
1764284666.6165004,60,78,110,224,385,125,89,53,12219,-10670,2221,-588,-114,-2089,179,-37,-362,-93
1764284666.638979,64,78,105,212,360,136,96,58,12244,-10657,2142,-589,-175,-2131,183,200,-337,-201
1764284666.6542892,63,73,88,163,296,109,78,49,12274,-10639,2055,-608,-219,-2192,153,287,-319,-326
