timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764284963.2011058,34,28,53,69,29,23,30,106,10113,-11497,4984,-3022,-255,-2056,-345,43,3,-47
1764284963.217935,35,27,56,75,31,26,31,135,10119,-11493,4978,-3029,-255,-2066,-358,53,3,-41
1764284963.2383835,36,25,46,54,25,22,31,136,10123,-11489,4972,-3037,-243,-2046,-344,47,8,-40
1764284963.2604783,38,31,52,111,32,24,31,139,10123,-11490,4967,-3043,-245,-2070,-372,22,5,-45
1764284963.2780738,35,31,51,112,32,27,30,124,10123,-11492,4960,-3047,-253,-2083,-352,3,-8,-51
1764284963.2983105,35,37,53,123,32,31,35,133,10120,-11499,4952,-3048,-258,-2083,-360,-24,-28,-62
1764284963.3201706,35,48,62,182,37,34,37,101,10111,-11513,4940,-3041,-281,-2142,-347,-95,-63,-76
1764284963.3382273,49,60,102,245,53,37,40,100,10092,-11544,4925,-3014,-317,-2199,-385,-216,-152,-74
1764284963.3577027,66,85,148,271,53,40,42,93,10074,-11582,4897,-2972,-291,-2235,-419,-236,-269,-65
1764284963.3808844,70,101,159,279,56,38,39,77,10082,-11602,4859,-2925,-212,-2242,-361,-105,-351,6
1764284963.398057,72,100,161,279,58,39,35,45,10119,-11599,4820,-2876,-162,-2207,-286,50,-387,111
1764284963.418249,75,98,158,250,60,45,47,46,10165,-11587,4782,-2826,-259,-2163,-269,126,-389,86
1764284963.4402745,71,95,142,234,56,63,57,46,10202,-11580,4740,-2791,-370,-2187,-343,133,-330,-54
1764284963.4581387,57,77,112,228,106,75,75,47,10257,-11568,4676,-2750,-499,-2192,-403,280,-442,-159
1764284963.47782,51,57,99,231,124,80,81,50,10326,-11551,4609,-2670,-532,-2146,-386,297,-627,-33
1764284963.5000951,52,61,106,266,205,97,87,52,10403,-11532,4544,-2567,-609,-2084,-381,308,-721,32
1764284963.5177758,47,58,108,279,251,106,90,50,10487,-11503,4483,-2455,-733,-2111,-392,367,-736,42
1764284963.5405035,39,53,102,254,279,100,89,47,10572,-11476,4421,-2329,-753,-2120,-317,313,-799,83
1764284963.5600286,38,54,88,226,315,105,76,43,10648,-11454,4364,-2192,-674,-2055,-283,240,-820,184
1764284963.577878,37,53,86,216,315,104,71,40,10710,-11446,4300,-2054,-676,-2078,-246,114,-842,136
1764284963.6005256,31,49,77,166,277,89,62,35,10760,-11444,4242,-1924,-629,-2200,-256,60,-774,163
1764284963.6206982,30,49,72,142,241,76,47,29,10828,-11425,4173,-1801,-696,-2210,-310,245,-815,100
1764284963.6383772,32,50,67,124,213,75,34,28,10917,-11393,4089,-1651,-797,-2236,-329,371,-1001,137
1764284963.6608298,33,40,52,98,140,62,34,24,11008,-11368,3987,-1460,-757,-2130,-313,309,-1233,234
1764284963.6801164,33,38,53,113,214,90,50,27,11093,-11350,3864,-1274,-619,-2024,-274,278,-1301,191
1764284963.702756,33,38,52,123,214,95,56,31,11169,-11338,3724,-1122,-564,-1965,-240,262,-1224,15
1764284963.7277546,32,35,50,115,219,97,57,31,11224,-11345,3573,-998,-544,-1939,-224,150,-1137,-163
1764284963.7404594,31,37,63,150,244,102,59,29,11254,-11374,3408,-895,-472,-2000,-225,0,-1094,-286
1764284963.7577815,27,35,66,164,256,115,69,37,11285,-11401,3229,-819,-358,-2030,-245,67,-1045,-396
1764284963.7814116,28,35,71,172,195,96,62,35,11324,-11417,3037,-783,-211,-1972,-287,210,-959,-524
1764284963.8083532,27,33,73,191,211,107,69,35,11361,-11433,2836,-785,-103,-1890,-362,296,-843,-670
1764284963.823001,28,35,79,214,217,190,133,47,11397,-11443,2631,-817,-8,-1910,-310,326,-738,-769
1764284963.8409424,29,34,80,197,206,198,140,49,11449,-11430,2437,-872,115,-1903,-203,447,-604,-743
1764284963.8606539,34,34,82,191,190,192,136,45,11508,-11401,2266,-935,206,-1881,-115,502,-468,-640
1764284963.8830874,34,35,79,177,205,192,136,51,11553,-11379,2122,-995,256,-1911,-48,379,-365,-524
1764284963.900645,37,38,85,192,193,189,135,50,11576,-11372,2003,-1049,246,-1896,-17,214,-278,-439
1764284963.9200995,45,48,102,211,206,111,76,42,11573,-11388,1900,-1096,257,-1911,19,-16,-222,-385
1764284963.9428532,46,55,106,228,225,95,64,42,11556,-11415,1807,-1147,272,-1999,67,-135,-169,-373
1764284963.960748,45,54,109,240,242,103,70,45,11555,-11425,1710,-1209,294,-2069,94,-13,-142,-419
1764284963.980847,51,61,118,277,291,116,70,41,11578,-11409,1607,-1281,311,-2037,94,201,-126,-461
1764284964.0027733,53,61,117,265,294,108,63,42,11613,-11379,1505,-1353,323,-2018,99,302,-130,-458
1764284964.0207598,53,58,107,264,335,120,64,42,11654,-11340,1404,-1426,338,-1979,106,369,-117,-453
1764284964.0405152,53,52,96,255,321,125,73,47,11703,-11291,1310,-1500,316,-1976,142,428,-78,-451
1764284964.0631416,53,51,90,255,313,128,71,48,11749,-11243,1227,-1572,278,-1946,135,419,-50,-438
1764284964.081216,47,43,81,220,280,146,84,48,11781,-11208,1151,-1642,300,-1888,139,315,-24,-412
1764284964.1002665,49,46,73,214,292,187,122,56,11791,-11194,1088,-1705,307,-1893,127,141,-3,-367
1764284964.122632,50,47,63,175,228,179,127,58,11785,-11196,1037,-1763,288,-1918,156,-4,24,-331
1764284964.1404958,52,47,67,168,230,177,127,58,11771,-11207,992,-1817,265,-1939,129,-61,28,-325
1764284964.1601918,51,49,74,168,225,169,126,57,11760,-11214,947,-1869,306,-2034,161,-50,19,-304
1764284964.1829445,51,48,76,179,211,148,120,59,11763,-11205,908,-1918,314,-2074,168,64,39,-263
1764284964.20083,44,44,77,183,211,121,107,54,11781,-11182,875,-1956,246,-2065,134,191,25,-222
1764284964.2206728,36,37,77,187,223,127,106,53,11804,-11156,838,-1985,231,-1990,130,226,-28,-209
1764284964.2430885,37,39,71,190,227,141,103,48,11814,-11144,795,-2012,251,-1972,122,131,-63,-229
1764284964.257781,36,39,70,177,228,155,111,48,11806,-11150,757,-2041,255,-1955,135,-16,-43,-245
1764284964.2802837,38,40,66,157,221,178,135,52,11778,-11176,726,-2071,243,-1968,149,-197,-24,-245
1764284964.3031726,38,37,61,139,204,161,123,49,11743,-11209,702,-2096,251,-2021,162,-265,-17,-219
1764284964.3211026,36,37,63,128,181,164,119,46,11711,-11240,682,-2118,255,-2097,143,-237,-11,-189
1764284964.3403623,52,39,62,145,162,197,135,54,11687,-11262,669,-2136,265,-2139,132,-179,6,-144
1764284964.3631845,62,47,71,150,181,218,136,59,11668,-11279,662,-2155,260,-2099,139,-153,28,-121
1764284964.3807342,62,49,71,153,190,206,110,52,11641,-11303,655,-2177,285,-2061,132,-210,45,-126
1764284964.400494,90,67,85,186,270,245,131,64,11605,-11336,649,-2196,340,-2059,110,-278,34,-95
1764284964.4227777,93,67,82,198,302,247,140,69,11567,-11373,658,-2203,295,-2166,122,-327,38,-26
1764284964.448536,97,70,92,192,303,220,124,71,11515,-11424,668,-2211,293,-1957,91,-431,42,-21
1764284964.4603584,97,70,85,184,288,190,116,67,11455,-11479,683,-2229,346,-2067,131,-516,94,-35
1764284964.4828496,97,68,83,180,275,184,114,67,11401,-11526,719,-2253,302,-2266,86,-458,205,-4
1764284964.500457,74,53,71,145,192,138,83,55,11378,-11545,768,-2261,242,-2315,46,-221,208,105
1764284964.5201886,72,56,74,138,147,132,70,50,11374,-11549,833,-2236,233,-2304,15,-98,152,321
1764284964.5434163,53,50,66,114,131,111,61,47,11365,-11560,919,-2190,235,-2195,33,-175,148,503
1764284964.5611293,46,42,64,112,139,117,61,56,11332,-11592,1031,-2140,164,-2175,18,-377,215,575
1764284964.580354,48,46,68,114,143,116,66,65,11276,-11643,1167,-2089,113,-2223,6,-562,307,640
1764284964.6027818,53,50,71,130,235,111,66,93,11212,-11699,1319,-2033,66,-2251,-14,-635,347,699
1764284964.6209579,65,62,69,129,234,121,76,103,11148,-11750,1478,-1977,41,-2330,-42,-625,376,741
1764284964.6403568,71,76,100,169,292,172,105,109,11085,-11799,1644,-1909,13,-2344,-93,-606,359,826
1764284964.662768,85,93,113,213,418,182,115,125,11043,-11826,1806,-1838,-34,-2303,-101,-448,333,843
1764284964.6808808,92,102,126,231,438,197,123,153,11015,-11839,1962,-1759,-84,-2282,-164,-312,284,865
1764284964.7004552,89,103,143,255,440,202,129,152,10979,-11857,2126,-1667,-139,-2259,-157,-387,261,933
1764284964.7230935,86,102,145,271,477,194,123,159,10931,-11884,2301,-1560,-163,-2138,-248,-446,243,1027
1764284964.7453923,90,100,131,264,457,156,99,154,10870,-11917,2480,-1455,-220,-2138,-265,-529,277,1025
1764284964.7603092,104,105,126,240,347,137,89,143,10792,-11958,2666,-1368,-330,-2181,-309,-609,385,938
1764284964.7830703,101,97,114,223,320,108,71,148,10704,-12005,2849,-1278,-385,-2120,-338,-673,374,918
1764284964.8052034,104,97,94,184,271,83,58,157,10601,-12061,3025,-1191,-362,-2098,-394,-753,360,896
1764284964.8202417,102,97,131,201,312,85,50,147,10501,-12112,3194,-1125,-381,-2163,-415,-710,422,813
1764284964.850735,100,94,142,221,347,99,65,148,10403,-12156,3360,-1082,-417,-2179,-534,-614,506,727
1764284964.8655605,84,79,144,243,405,103,67,145,10317,-12186,3520,-1051,-447,-2155,-536,-510,524,679
1764284964.880287,79,79,144,249,418,110,77,109,10244,-12206,3668,-1020,-463,-2082,-505,-440,472,644
1764284964.9033227,95,77,148,272,408,112,80,86,10172,-12232,3785,-1005,-437,-1968,-537,-407,422,467
1764284964.925245,101,76,126,298,336,110,85,85,10115,-12253,3863,-1020,-360,-1959,-546,-281,386,251
1764284964.940679,101,74,150,318,314,103,75,84,10070,-12263,3942,-1054,-323,-1965,-555,-173,454,226
1764284964.962787,90,70,163,327,231,100,71,81,10028,-12264,4038,-1079,-327,-1862,-518,-157,474,341
1764284964.9856713,91,71,171,358,209,92,61,77,9989,-12265,4128,-1094,-333,-1828,-473,-181,416,341
