timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-27T21:32:21.927071,37,28,59,93,50,33,27,30,1030,-3255,-15495,4087,16,-1128,-1894,-221,15,-39
2025-11-27T21:32:21.949002,37,26,60,91,54,36,26,32,1024,-3253,-15503,4060,9,-1089,-1910,-163,7,-31
2025-11-27T21:32:21.968872,36,25,50,76,50,36,26,32,1018,-3252,-15508,4041,41,-1110,-1907,-133,-15,-9
2025-11-27T21:32:21.987061,29,23,56,92,82,37,25,26,1014,-3250,-15511,4035,43,-1134,-1921,-65,-18,-12
2025-11-27T21:32:22.009452,42,29,58,92,83,37,25,32,1012,-3247,-15509,4045,21,-1126,-1890,29,-15,-10
2025-11-27T21:32:22.034064,40,29,56,92,84,36,25,32,1010,-3247,-15506,4056,36,-1085,-1902,56,-17,4
2025-11-27T21:32:22.046467,42,31,51,90,79,34,25,31,1009,-3246,-15506,4058,49,-1056,-1916,28,-13,1
2025-11-27T21:32:22.067266,45,31,52,90,79,34,26,31,1009,-3246,-15506,4058,35,-1084,-1897,-8,-5,1
2025-11-27T21:32:22.081873,53,31,47,81,46,31,27,32,1009,-3246,-15505,4059,22,-1101,-1883,1,-15,6
2025-11-27T21:32:22.104723,46,28,45,79,40,31,26,26,1007,-3247,-15502,4071,20,-1119,-1900,46,-15,8
2025-11-27T21:32:22.129333,44,27,44,76,39,29,24,25,1005,-3247,-15498,4087,16,-1086,-1884,84,-15,10
2025-11-27T21:32:22.152099,43,24,47,76,42,31,23,27,1004,-3249,-15494,4100,39,-1075,-1882,75,-21,18
2025-11-27T21:32:22.166930,41,23,54,92,44,31,21,26,1004,-3251,-15491,4111,56,-1094,-1873,54,-14,23
2025-11-27T21:32:22.189324,35,24,59,91,45,32,21,26,1006,-3253,-15488,4119,25,-1086,-1882,48,8,12
2025-11-27T21:32:22.212146,42,44,60,87,50,30,22,28,1007,-3256,-15486,4125,23,-1101,-1887,31,9,15
2025-11-27T21:32:22.226731,53,56,63,92,47,28,23,30,1009,-3258,-15484,4129,31,-1082,-1850,17,12,10
2025-11-27T21:32:22.249289,55,58,65,101,50,29,22,29,1015,-3262,-15484,4126,50,-1079,-1858,-10,33,13
2025-11-27T21:32:22.272116,59,59,69,119,56,34,25,31,1020,-3266,-15484,4123,13,-1093,-1870,-17,43,6
2025-11-27T21:32:22.286639,60,60,67,120,57,37,25,30,1023,-3269,-15486,4111,33,-1051,-1895,-44,36,5
2025-11-27T21:32:22.310413,54,48,68,128,55,39,26,28,1027,-3273,-15492,4085,56,-1030,-1891,-122,48,2
2025-11-27T21:32:22.331698,57,36,70,130,61,40,26,29,1030,-3277,-15501,4047,43,-1048,-1916,-191,56,-4
2025-11-27T21:32:22.346850,55,34,68,128,61,41,28,30,1031,-3280,-15509,4011,38,-1066,-1905,-202,51,-12
2025-11-27T21:32:22.369219,53,33,63,109,58,34,26,28,1033,-3282,-15516,3983,31,-1086,-1910,-168,50,-15
2025-11-27T21:32:22.391960,52,30,60,104,57,31,24,30,1035,-3282,-15521,3964,39,-1075,-1910,-117,35,-16
2025-11-27T21:32:22.411440,59,29,56,96,54,30,22,33,1036,-3282,-15525,3948,42,-1053,-1926,-84,28,-15
2025-11-27T21:32:22.429617,46,26,51,89,46,28,25,31,1037,-3282,-15528,3934,36,-1050,-1912,-82,25,-13
2025-11-27T21:32:22.452177,44,25,55,90,40,24,23,30,1038,-3283,-15532,3920,48,-1038,-1901,-79,21,-10
2025-11-27T21:32:22.467119,44,24,51,78,35,24,22,30,1039,-3284,-15534,3908,53,-1047,-1904,-70,22,-3
2025-11-27T21:32:22.489089,48,28,56,82,34,24,24,30,1040,-3285,-15535,3904,31,-1073,-1909,-37,23,-3
2025-11-27T21:32:22.512102,39,27,57,85,41,25,24,27,1040,-3285,-15535,3905,35,-1060,-1926,4,13,0
2025-11-27T21:32:22.527101,39,26,60,90,41,27,20,25,1042,-3286,-15533,3909,45,-1043,-1905,24,13,2
2025-11-27T21:32:22.549072,40,27,59,87,46,28,20,23,1047,-3287,-15532,3911,66,-1049,-1920,18,17,2
2025-11-27T21:32:22.580342,44,28,58,86,45,29,22,23,1051,-3288,-15531,3914,53,-1051,-1913,17,23,2
2025-11-27T21:32:22.587097,35,24,50,81,43,29,23,21,1057,-3288,-15529,3920,62,-1053,-1924,37,20,-2
2025-11-27T21:32:22.606583,33,24,48,74,39,28,23,22,1062,-3287,-15527,3928,68,-1039,-1918,57,15,-4
2025-11-27T21:32:22.629166,33,23,43,66,37,26,24,21,1067,-3287,-15525,3934,67,-1046,-1918,42,16,-2
2025-11-27T21:32:22.644066,38,25,35,55,39,26,25,26,1071,-3287,-15525,3934,55,-1031,-1932,23,20,-5
2025-11-27T21:32:22.667137,34,25,37,54,37,27,26,25,1073,-3288,-15523,3939,42,-1067,-1921,23,17,-2
2025-11-27T21:32:22.691685,33,25,40,64,38,27,24,24,1076,-3287,-15522,3943,57,-1040,-1912,35,12,-5
2025-11-27T21:32:22.707134,34,27,42,75,41,29,23,24,1080,-3287,-15521,3945,65,-1036,-1916,24,16,-2
2025-11-27T21:32:22.729580,43,29,43,74,42,29,23,30,1080,-3287,-15522,3945,63,-1031,-1897,-16,12,-3
2025-11-27T21:32:22.751466,40,27,42,74,36,30,21,27,1083,-3287,-15527,3924,85,-1006,-1907,-94,26,-11
2025-11-27T21:32:22.766686,40,28,39,81,41,32,21,28,1086,-3289,-15533,3894,81,-1053,-1922,-168,40,-10
2025-11-27T21:32:22.789560,39,28,39,72,39,32,22,28,1088,-3291,-15539,3868,66,-1091,-1917,-171,42,-13
2025-11-27T21:32:22.811927,45,25,36,65,35,31,21,29,1091,-3294,-15542,3856,55,-1091,-1911,-99,39,1
2025-11-27T21:32:22.827094,40,25,40,69,34,32,24,23,1094,-3299,-15540,3855,42,-1086,-1928,-23,37,16
2025-11-27T21:32:22.861985,38,25,41,66,35,31,23,22,1099,-3305,-15536,3866,60,-1081,-1919,45,28,29
2025-11-27T21:32:22.872095,37,24,44,63,30,27,20,21,1104,-3312,-15530,3883,66,-1061,-1935,91,22,43
2025-11-27T21:32:22.887067,41,25,48,64,30,29,21,26,1109,-3320,-15524,3898,69,-1041,-1923,96,19,47
2025-11-27T21:32:22.910157,35,25,47,60,33,26,23,24,1114,-3328,-15519,3909,81,-1045,-1926,72,22,51
2025-11-27T21:32:22.932039,33,24,47,58,33,25,23,26,1119,-3336,-15516,3914,73,-1035,-1937,47,29,44
2025-11-27T21:32:22.947180,35,23,45,63,30,25,23,27,1122,-3345,-15514,3914,76,-1030,-1941,18,26,44
2025-11-27T21:32:22.969543,34,23,49,75,35,26,25,28,1125,-3353,-15512,3914,82,-1051,-1920,4,26,42
2025-11-27T21:32:22.992059,34,25,45,75,37,25,24,25,1129,-3360,-15510,3916,68,-1049,-1924,14,26,36
2025-11-27T21:32:23.007076,38,26,45,76,37,26,23,25,1131,-3366,-15507,3919,75,-1040,-1934,33,18,36
2025-11-27T21:32:23.029553,37,27,48,79,38,26,21,26,1133,-3372,-15505,3924,69,-1037,-1938,43,15,34
2025-11-27T21:32:23.052094,35,26,49,77,39,27,23,24,1133,-3378,-15503,3927,68,-1026,-1926,34,6,35
2025-11-27T21:32:23.066766,36,27,42,62,39,27,22,22,1134,-3384,-15501,3929,77,-1038,-1919,19,5,36
2025-11-27T21:32:23.089609,31,26,42,65,35,23,22,21,1133,-3390,-15500,3929,67,-1041,-1919,8,0,31
2025-11-27T21:32:23.112969,23,24,42,61,32,23,22,20,1130,-3395,-15501,3919,67,-1006,-1903,-42,6,23
2025-11-27T21:32:23.137530,22,22,38,60,30,23,22,16,1130,-3400,-15504,3904,83,-1035,-1926,-80,16,23
2025-11-27T21:32:23.146729,22,24,38,60,32,27,22,18,1133,-3405,-15504,3897,65,-1097,-1913,-60,29,19
2025-11-27T21:32:23.169968,21,22,41,66,30,28,22,19,1138,-3410,-15501,3903,61,-1084,-1898,18,35,20
2025-11-27T21:32:23.193634,25,22,39,64,32,28,21,19,1144,-3415,-15498,3911,55,-1035,-1899,52,36,21
2025-11-27T21:32:23.209598,28,23,37,61,34,28,21,21,1149,-3420,-15495,3915,69,-1034,-1917,38,31,23
