timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
1764284970.2358887,32,24,19,19,23,20,18,72,11207,-11333,3481,-1516,-337,-2061,-80,-9,7,3
1764284970.2586215,31,23,19,18,23,21,20,82,11207,-11332,3481,-1516,-341,-2056,-90,-7,6,0
1764284970.2728298,33,25,20,17,21,22,23,119,11207,-11332,3481,-1516,-350,-2059,-100,-9,2,-2
1764284970.296639,31,24,20,19,21,21,25,134,11207,-11332,3481,-1516,-335,-2052,-93,-8,-2,-4
1764284970.318784,33,23,22,20,20,21,26,135,11207,-11332,3481,-1516,-338,-2057,-93,-6,-1,-7
1764284970.3333805,32,19,20,21,19,21,28,139,11207,-11332,3481,-1516,-338,-2065,-89,-3,-1,-11
1764284970.3561976,32,19,20,21,18,21,28,130,11207,-11332,3481,-1517,-334,-2061,-92,5,-4,-11
1764284970.379302,29,19,19,23,20,20,28,109,11207,-11332,3480,-1517,-332,-2060,-92,8,-10,-13
1764284970.3930485,32,21,20,23,21,20,28,91,11210,-11331,3476,-1519,-330,-2055,-86,11,-12,-18
1764284970.4166064,29,21,18,21,22,22,26,86,11212,-11330,3472,-1520,-335,-2052,-85,10,-11,-17
1764284970.4407542,32,22,18,19,21,22,27,88,11214,-11328,3469,-1521,-341,-2055,-86,12,-10,-17
1764284970.461292,31,23,17,20,21,23,27,89,11216,-11327,3464,-1522,-331,-2046,-85,8,-12,-18
1764284970.4762316,30,24,18,22,19,24,26,75,11216,-11327,3464,-1522,-334,-2043,-88,6,-13,-15
1764284970.4983842,27,22,16,21,19,21,26,85,11216,-11327,3464,-1522,-337,-2055,-103,1,-9,-15
1764284970.5217524,27,23,15,22,20,20,29,87,11216,-11328,3464,-1522,-330,-2060,-107,3,-8,-11
1764284970.5356667,26,25,16,22,19,20,26,85,11216,-11328,3464,-1522,-332,-2058,-93,8,-7,-9
1764284970.5586987,29,28,19,22,23,19,24,88,11216,-11328,3464,-1522,-340,-2057,-99,3,-12,-11
