timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-11-27T21:24:37.432540,33,24,22,20,19,21,30,122,6564,-11422,-6546,7214,-621,-1922,-620,5,2,-3
2025-11-27T21:24:37.445420,37,23,23,23,18,20,26,107,6563,-11422,-6546,7215,-631,-1929,-617,-11,2,-6
2025-11-27T21:24:37.466898,41,28,23,24,20,20,26,106,6564,-11422,-6546,7214,-619,-1948,-621,-11,4,-8
2025-11-27T21:24:37.491290,39,26,22,23,20,20,25,90,6564,-11421,-6547,7214,-610,-1936,-609,2,3,-7
2025-11-27T21:24:37.506369,38,26,21,21,21,20,25,82,6564,-11422,-6547,7214,-608,-1927,-625,9,2,-10
2025-11-27T21:24:37.532169,35,25,20,21,21,20,22,68,6566,-11420,-6549,7213,-614,-1936,-612,0,0,-19
2025-11-27T21:24:37.552945,32,26,19,18,22,20,24,68,6570,-11417,-6552,7211,-610,-1948,-621,7,-2,-21
2025-11-27T21:24:37.566753,25,20,19,16,20,22,26,75,6573,-11414,-6554,7212,-622,-1932,-613,19,-5,-23
2025-11-27T21:24:37.587347,27,19,18,19,20,22,28,100,6577,-11410,-6556,7211,-610,-1926,-616,16,-6,-23
2025-11-27T21:24:37.610682,29,20,19,20,21,21,28,107,6580,-11408,-6559,7210,-610,-1927,-621,11,-5,-25
2025-11-27T21:24:37.626131,32,20,20,20,21,21,32,117,6583,-11405,-6561,7210,-615,-1917,-618,17,-4,-22
2025-11-27T21:24:37.650082,36,20,21,23,22,21,30,119,6584,-11403,-6563,7210,-612,-1917,-622,8,-7,-18
2025-11-27T21:24:37.673370,38,28,21,25,22,20,31,117,6584,-11404,-6563,7209,-595,-1920,-622,4,-5,-15
2025-11-27T21:24:37.687617,37,27,21,23,22,21,30,107,6584,-11404,-6564,7209,-603,-1937,-625,9,-2,-12
2025-11-27T21:24:37.710225,37,26,20,22,21,20,31,105,6584,-11404,-6564,7209,-623,-1920,-631,4,-3,-5
2025-11-27T21:24:37.737525,35,27,20,20,19,19,26,95,6584,-11404,-6564,7208,-609,-1920,-631,-8,0,-6
2025-11-27T21:24:37.748641,28,25,20,18,20,20,26,82,6584,-11404,-6564,7208,-600,-1931,-625,-6,1,-5
2025-11-27T21:24:37.768372,29,20,20,17,20,18,24,73,6584,-11404,-6564,7208,-605,-1935,-625,2,1,-4
2025-11-27T21:24:37.791963,27,21,19,17,20,20,21,56,6584,-11404,-6564,7208,-599,-1938,-611,8,2,-6
2025-11-27T21:24:37.807131,25,21,19,19,20,24,21,42,6584,-11404,-6564,7208,-611,-1936,-611,3,3,-11
2025-11-27T21:24:37.829614,31,24,27,42,21,26,27,38,6587,-11402,-6567,7206,-611,-1963,-615,0,1,-23
2025-11-27T21:24:37.853288,42,35,51,103,51,45,51,38,6590,-11396,-6577,7203,-634,-1980,-612,-14,-19,-68
2025-11-27T21:24:37.867999,43,37,87,186,100,104,83,42,6584,-11388,-6607,7193,-702,-1958,-607,-112,-44,-187
