timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-12-01T15:53:58.005526,810,692,788,977,864,466,262,489,8974,-13065,-1026,4017,-949,-1935,-686,106,55,-82
2025-12-01T15:53:58.028295,779,684,681,1023,938,445,266,484,9035,-13022,-1036,4019,-908,-2003,-606,394,-49,-241
2025-12-01T15:53:58.043067,799,713,690,1024,962,437,282,491,9154,-12943,-1051,4002,-531,-2075,-438,670,-38,-214
2025-12-01T15:53:58.066293,811,677,632,980,986,426,311,492,9281,-12844,-1049,4028,-839,-1922,-396,832,-158,-213
2025-12-01T15:53:58.088407,632,499,377,922,1007,331,279,363,9432,-12717,-1110,4067,-618,-2106,-280,890,-460,-361
2025-12-01T15:53:58.105570,615,507,399,990,1026,277,299,372,9616,-12562,-1131,4110,-307,-2082,-135,1144,-394,-80
2025-12-01T15:53:58.124575,591,510,522,973,978,301,335,354,9736,-12446,-1096,4188,-502,-2025,-176,883,-321,279
2025-12-01T15:53:58.145791,644,638,671,992,959,314,355,343,9781,-12372,-1068,4308,-732,-2134,-113,401,-470,426
2025-12-01T15:53:58.161215,712,670,735,1001,898,427,346,428,9747,-12357,-1008,4441,-880,-2003,87,-159,-309,659
2025-12-01T15:53:58.183668,879,719,867,964,794,435,339,485,9633,-12400,-949,4581,-953,-2159,253,-799,-243,840
2025-12-01T15:53:58.207780,898,731,854,845,719,441,300,473,9673,-12323,-948,4703,-756,-2566,8,259,-566,449
2025-12-01T15:53:58.223050,994,780,868,722,599,420,268,569,9902,-12100,-992,4793,-344,-2869,-63,1629,-809,-232
2025-12-01T15:53:58.245743,959,666,778,568,482,431,217,592,10208,-11806,-956,4894,-432,-2342,-120,2353,-678,-55
2025-12-01T15:53:58.268827,898,615,740,466,486,370,216,543,10403,-11578,-858,5041,-976,-1795,-213,1819,-580,475
2025-12-01T15:53:58.283436,722,495,610,393,678,368,208,470,10567,-11370,-850,5174,-1300,-2386,-131,1554,-853,-16
