timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-12-01T16:42:05.714995,50,89,33,24,25,20,21,21,9784,-12560,517,-3834,681,-1984,-371,-27,15,27
2025-12-01T16:42:05.738520,54,102,34,29,27,23,20,22,9782,-12561,524,-3833,683,-1996,-373,-23,12,27
2025-12-01T16:42:05.748763,42,93,31,31,24,23,19,22,9781,-12562,529,-3832,672,-1992,-367,-21,13,18
2025-12-01T16:42:05.771153,48,98,31,32,25,24,20,21,9780,-12563,534,-3831,673,-1978,-389,-10,11,16
2025-12-01T16:42:05.788320,47,97,28,33,27,23,18,19,9780,-12563,534,-3831,670,-1986,-385,-8,11,14
2025-12-01T16:42:05.808948,48,92,28,35,27,23,20,21,9780,-12563,534,-3831,675,-1989,-388,-11,9,10
2025-12-01T16:42:05.835414,49,91,26,35,26,20,19,21,9780,-12563,534,-3831,671,-1990,-380,-10,8,7
2025-12-01T16:42:05.851948,49,94,28,34,30,19,19,22,9780,-12563,534,-3831,670,-1992,-379,-6,6,10
2025-12-01T16:42:05.868324,46,89,30,36,34,21,20,22,9780,-12563,535,-3830,673,-1984,-391,-5,1,12
2025-12-01T16:42:05.890974,42,94,31,34,32,21,21,23,9780,-12564,535,-3830,676,-1977,-386,-9,6,5
2025-12-01T16:42:05.908339,44,97,28,36,32,22,20,20,9780,-12564,535,-3830,674,-1978,-386,-2,4,5
2025-12-01T16:42:05.933678,47,99,28,35,36,22,20,20,9779,-12564,535,-3830,668,-1988,-389,4,7,3
2025-12-01T16:42:05.952783,51,101,31,33,34,21,21,19,9779,-12564,535,-3830,671,-1981,-383,-4,6,4
2025-12-01T16:42:05.973463,49,101,28,34,33,21,20,18,9780,-12564,535,-3830,680,-1987,-378,-6,6,4
2025-12-01T16:42:05.990810,48,79,25,32,32,20,18,18,9779,-12564,535,-3830,681,-1990,-387,-1,4,3
2025-12-01T16:42:06.013316,50,76,27,30,31,19,18,20,9779,-12564,535,-3830,672,-1972,-379,2,5,1
2025-12-01T16:42:06.032675,47,59,26,34,26,21,18,22,9779,-12564,535,-3829,668,-1980,-394,-6,2,1
2025-12-01T16:42:06.050805,43,73,23,34,25,22,19,22,9779,-12564,535,-3829,668,-1988,-382,-3,2,-2
2025-12-01T16:42:06.073019,43,97,28,32,20,22,17,23,9779,-12564,535,-3829,678,-1994,-377,2,3,-4
2025-12-01T16:42:06.092561,49,107,28,36,20,24,19,23,9779,-12565,535,-3829,682,-1989,-408,6,0,-1
2025-12-01T16:42:06.110774,44,116,27,39,27,25,19,22,9779,-12564,535,-3829,676,-1972,-374,6,0,0
2025-12-01T16:42:06.132800,43,118,27,40,26,23,20,20,9779,-12564,535,-3829,676,-1979,-377,0,0,0
2025-12-01T16:42:06.153182,43,106,28,70,33,22,19,20,9779,-12565,536,-3829,678,-1982,-384,-3,-1,-5
2025-12-01T16:42:06.171118,41,83,23,78,73,23,20,20,9779,-12565,536,-3829,667,-1982,-381,1,-7,-3
2025-12-01T16:42:06.193318,30,66,25,108,121,23,21,18,9780,-12565,534,-3824,649,-2008,-379,2,-23,-8
2025-12-01T16:42:06.212730,31,45,45,231,321,71,48,24,9778,-12570,532,-3811,624,-2045,-347,-51,-71,-10
2025-12-01T16:42:06.234818,30,34,49,254,370,87,58,27,9770,-12583,525,-3793,617,-2102,-275,-142,-133,-35
2025-12-01T16:42:06.253382,31,33,52,301,511,104,76,31,9760,-12600,515,-3762,606,-2217,-250,-188,-206,-28
2025-12-01T16:42:06.272578,31,33,56,318,562,118,79,33,9784,-12595,500,-3718,590,-2249,-197,2,-261,27
2025-12-01T16:42:06.294703,32,36,59,333,564,128,87,39,9836,-12570,502,-3665,433,-2161,-113,140,-224,113
2025-12-01T16:42:06.313371,31,36,48,296,529,140,87,38,9865,-12562,577,-3604,279,-2208,-210,-61,5,351
2025-12-01T16:42:06.335515,28,34,46,291,530,136,90,36,9876,-12569,705,-3526,157,-2381,-341,-210,119,543
2025-12-01T16:42:06.355659,24,34,44,262,428,131,81,37,9893,-12576,879,-3409,133,-2560,-455,-213,121,867
2025-12-01T16:42:06.372960,23,33,44,253,443,129,82,36,9938,-12572,1092,-3230,2,-2559,-567,-62,10,1262
2025-12-01T16:42:06.395767,21,31,41,231,457,127,77,34,9978,-12567,1317,-3035,-70,-2494,-593,-116,-67,1601
2025-12-01T16:42:06.414219,24,28,44,273,548,121,72,35,10011,-12562,1580,-2813,-106,-2407,-578,-205,-53,1861
2025-12-01T16:42:06.433207,26,29,51,305,617,129,65,36,10047,-12547,1865,-2567,-173,-2473,-602,-187,-73,2046
2025-12-01T16:42:06.454835,28,29,51,308,653,123,59,37,10096,-12514,2149,-2304,-152,-2464,-579,-84,-147,2147
2025-12-01T16:42:06.474541,46,41,50,315,648,114,53,64,10155,-12462,2427,-2034,-100,-2437,-588,26,-195,2187
2025-12-01T16:42:06.493316,48,44,51,349,683,107,48,72,10217,-12396,2702,-1757,-3,-2299,-559,84,-231,2242
2025-12-01T16:42:06.513572,49,48,53,331,632,85,43,79,10274,-12326,2959,-1481,-4,-2214,-564,92,-294,2180
