timestamp,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,quat_0,quat_1,quat_2,quat_3,acc_0,acc_1,acc_2,gyro_0,gyro_1,gyro_2
2025-12-01T15:25:09.212669,18,17,19,36,36,19,19,19,9092,-7335,-10024,5611,781,-1950,-315,-4,1,-8
2025-12-01T15:25:09.237707,16,18,18,31,32,18,19,20,9092,-7335,-10024,5612,769,-1950,-325,0,-2,0
2025-12-01T15:25:09.257117,16,18,18,25,28,17,22,20,9092,-7335,-10024,5612,786,-1944,-316,5,-1,-4
2025-12-01T15:25:09.276730,16,19,19,27,32,19,21,20,9092,-7335,-10024,5612,778,-1948,-313,4,-2,-3
2025-12-01T15:25:09.294889,16,19,20,25,28,16,20,20,9092,-7335,-10023,5612,782,-1946,-307,2,-2,-3
2025-12-01T15:25:09.319712,14,18,19,26,27,17,19,22,9092,-7335,-10023,5612,787,-1947,-319,2,-2,-3
2025-12-01T15:25:09.330663,16,20,22,32,37,20,20,22,9092,-7335,-10023,5612,781,-1946,-311,5,-1,0
2025-12-01T15:25:09.352301,17,21,24,32,38,21,17,21,9092,-7336,-10023,5612,780,-1943,-326,0,0,0
2025-12-01T15:25:09.375187,17,21,24,32,37,20,19,20,9092,-7336,-10023,5613,773,-1942,-326,0,-1,-1
2025-12-01T15:25:09.389934,18,20,25,34,39,20,19,19,9092,-7336,-10023,5613,775,-1941,-313,-2,-2,-3
2025-12-01T15:25:09.413970,18,20,24,35,42,18,20,17,9092,-7336,-10023,5613,778,-1941,-300,0,-2,0
2025-12-01T15:25:09.437604,19,20,24,35,35,17,21,16,9092,-7336,-10023,5613,775,-1952,-313,-13,-2,1
2025-12-01T15:25:09.451966,19,19,19,37,32,17,20,17,9092,-7336,-10022,5614,786,-1961,-306,-13,0,-5
2025-12-01T15:25:09.475116,20,19,20,40,35,19,19,16,9092,-7336,-10022,5614,786,-1953,-289,5,-1,-4
2025-12-01T15:25:09.496995,21,19,18,39,35,18,20,16,9092,-7336,-10022,5614,779,-1949,-310,14,-5,-3
2025-12-01T15:25:09.512377,22,19,19,40,33,19,18,17,9092,-7336,-10022,5614,782,-1932,-318,9,-4,-3
2025-12-01T15:25:09.535027,19,18,18,35,33,20,17,18,9092,-7336,-10022,5614,781,-1934,-327,-5,-2,-2
2025-12-01T15:25:09.557672,20,19,18,35,38,20,18,18,9092,-7336,-10022,5614,791,-1938,-329,-7,-3,-1
